:Andromeda
  -0.5698071   53.1870041 1
  -0.6375294   53.1849251 1
  -0.7052574   53.1826363 1
  -0.7729816   53.1801338 1
  -0.8406887   53.1774216 1
  -0.9084053   53.1744957 1
  -0.9761162   53.1713676 1
  -1.0438099   53.1680298 1
  -1.0431957   52.1680412 1
  -1.0426083   51.1680603 1
  -1.0420456   50.1680717 1
  -1.0415058   49.1680870 1
  -1.0409870   48.1681023 1
  -1.0404892   47.1681137 1
  -1.0400105   46.1681252 1
  -1.0395470   45.1681366 1
  -1.0391006   44.1681480 1
  -1.0386677   43.1681557 1
  -1.0382500   42.1681709 1
  -1.0378456   41.1681786 1
  -1.0374527   40.1681900 1
  -1.0370712   39.1682014 1
  -1.0367012   38.1682091 1
  -1.0363407   37.1682205 1
  -1.0359879   36.1682281 1
  -1.0356464   35.1682358 1
  -0.9684429   35.1715508 1
  -0.9012241   35.1746559 1
  -0.8340054   35.1775589 1
  -0.7667942   35.1802521 1
  -0.6995697   35.1827354 1
  -0.6323452   35.1850090 1
  -0.5651264   35.1870728 1
  -0.4978962   35.1889267 1
  -0.4306660   35.1905670 1
  -0.3970547   35.1913109 1
  -0.3969154   34.1913147 1
  -0.3967781   33.1913147 1
  -0.3967228   32.7746468 1
  -0.3295403   32.7759666 1
  -0.2623634   32.7770767 1
  -0.1951790   32.7779732 1
  -0.1447945   32.7785072 1
  -0.1447506   32.0285034 1
  -0.0775776   32.0290260 1
  -0.0104160   32.0293350 1
   0.0567555   32.0294342 1
   0.1071325   32.0293655 1
   0.1071318   32.0293655 1
   0.1071162   31.0293674 1
   0.1071010   30.0293655 1
   0.1070860   29.0293655 1
   0.1070811   28.6960354 1
   0.1741895   28.6957588 1
   0.1741567   27.6957588 1
   0.1741245   26.6957569 1
   0.1740929   25.6957588 1
   0.1740618   24.6957588 1
   0.1740313   23.6957569 1
   0.1740011   22.6957588 1
   0.2409946   22.6952686 1
   0.2493763   22.6951923 1
   0.2493281   21.6951923 1
   0.3163048   21.6944637 1
   0.3832912   21.6935215 1
   0.4502770   21.6923676 1
   0.5172521   21.6910019 1
   0.5842367   21.6894245 1
   0.6512204   21.6876354 1
   0.7181931   21.6856365 1
   0.7851749   21.6834278 1
   0.8521556   21.6810112 1
   0.9191250   21.6783848 1
   0.9609877   21.6766376 1
