N4743 125215.6 -412324 13.4  8   1.4   0.5 176  43653 ESO 323-21            
N4744 125219.5 -410338 13.6  8   2.1   1.0 122  43661 ESO 323-22            
N4745 125126.1 +272518 16.1  8   0.8   0.8   0  43539 NGC 4745A             
N4745A125126.1 +272518 16.1  8   0.8   0.8   0  43539 NGC 4745              
N4745B125122.0 +272639 15.8  8   0.6   0.2  10                              
N4746 125155.2 +120459 12.7  8   2.1   0.6 120  43601 UGC 8007              
N4747 125145.4 +254626 12.9  8   3.3   1.3  30  43586 UGC 8005              
N4748 125212.6 -132449 14.6  8   0.8   0.7  45  43643 MCG -2-33-34          
N4749 125112.2 +713806 14.3  8   1.7   0.3 158  43527 UGC 8006              
N4750 125006.5 +725228 12.1  8   2.1   1.9 147  43426 UGC 7994              
N4751 125250.6 -423936 12.2  8   3.0   1.1 175  43723 ESO 323-29            
N4752 125129.1 +134657 15.3  8   0.7   0.3 155  43555 ZWG 71.58             
N4753 125222.1 -011200 10.9  8   6.0   2.8  80  43671 UGC 8009              
N4754 125217.6 +111850 11.5  8   4.4   2.4  23  43656 UGC 8010              
N4755 125337.0 -602122       3  10.0   0.0   0        OCL 892               Jewel Box
N4756 125252.2 -152445 13.4  8   1.7   1.3  50  43725 MCG -2-33-39          
N4757 125249.9 -101839 15.1  8   1.5   0.4  60  43715 MCG -2-33-40          
N4758 125243.9 +155055 13.9  8   3.0   0.7 160  43707 UGC 8014              
N4759A125304.5 -091159 14.0  8   1.9   1.7   5  43754 NGC 4776              
N4759B125305.7 -091214 13.6  8   1.7   1.1 100  43757 NGC 4778              
N4760 125307.2 -102941 12.6  8   2.0   1.8  10  43763 MCG -2-33-41          
N4761 125309.7 -091151 14.9  8   0.8   0.3 173  43768 MCG -1-33-39          
N4762 125255.9 +111350 11.1  8   8.7   1.7  29  43733 UGC 8016              
N4763 125327.1 -170021 13.5  8   1.2   0.8 125  43792 MCG -3-33-13          
N4764 125306.7 -091527 16.1  8   0.3   0.2 115  43760 HCG 62D               
N4765 125314.6 +042747 13.4  8   1.1   0.8  80  43775 UGC 8018              
N4766 125308.2 -102243 15.4  8   1.0   0.3 130  43766 MCG -2-33-42          
N4767 125352.9 -394252 12.5  8   2.6   1.2 123  43845 ESO 323-36            
N4767A125301.3 -395009 16.4  8   0.8   0.3 114  43744 ESO 323-31            
N4767B125444.9 -395111 13.8  8   1.3   0.9  99  43954 ESO 323-41            
N4768 125317.2 -093154       1   0.0   0.0   0                              
N4769 125318.5 -093204       1   0.0   0.0   0                              
N4770 125332.2 -093228 13.8  8   1.5   0.8  90  43804 MCG -1-33-40          
N4771 125320.9 +011612 13.0  8   3.8   0.9 133  43784 UGC 8020              
N4772 125329.0 +021007 11.6  8   3.4   1.7 147  43798 UGC 8021              
N4773 125335.9 -083818 14.9  8   1.3   1.0  88  43810 MCG -1-33-41          
N4773 125335.8 -083843 15.9  8   0.4   0.4   0  43811 MCG -1-33-42          
