#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"   35P/Herschel-Rigollet",29480,0.74849,0.97405,64.207,29.298,355.980,19390809.4640000,SAO/1939,Y,8.3,,,,,,155,,HTC,10,
"   36P/Whipple",56771,3.072395875089189,.2617095134990785,9.92733274756349,200.6202022211424,181.9868527345878,20111223.4549720,"JPL K118/5",,7.5,,4.56,,,,8.48951840115475,2.07655,JFc,17.0,
"   37P/Forbes",56364,1.578223084595576,.5405801452774754,8.95531074820294,329.6436674604699,314.9280231741077,20111211.1421196,"JPL K114/4",,9.0,,1.92,,,,6.36716565809481,.568484,JFc,20.0,
"   38P/Stephan-Oterma",44720,1.57442074805817,0.860022494401565,17.981415367796,358.1910370660319,79.18837876601667,19801205.1761271,"JPL 10",,8.,13.,,,,,37.7226360578495,.590285,HTC,15,10
"   39P/Oterma",52200,5.47114747991526,0.245513956937926,1.94283105545965,56.27834376123234,331.5811183554936,20021221.0203477,"JPL 14",,5.,10.,,,,,19.5276066944962,4.47591,CTc,15.0,10.0
"   40P/Vaisala 1",56717,1.818830938806954,.6320098833195152,11.48978062817381,47.29736753380379,133.8478928043112,20141115.8268032,"JPL K148/4",,5.5,,4.2,,,,10.9886026565042,.845383,JFc,30.0,
"   41P/Tuttle-Giacobini-Kresak",53821,1.0477776349739,0.66041266487128,9.22802804858441,62.19321855938809,141.0929309253469,20060611.7913946,"JPL K064/9",Y,11.8,17.0,1.4,,,,5.41981747692292,.135384,JFc,29.,5.
"   42P/Neujmin 3",53320,2.01471456468843,0.585156236902446,3.98545815966324,147.1604235988238,150.3839203783331,20040715.9444409,"JPL K044/16",,14.0,,2.2,,,,10.7029043342464,.998952,JFc,10.0,
"   43P/Wolf-Harrington",55740,1.357556336398259,.5946651580229637,15.96804647420937,191.491979515038,249.8826570554401,20100701.7950385,"JPL K094/9",,9.5,13.8,3.6,,,,6.12948644579256,.374798,JFc,15.,5.
"   44P/Reinmuth 2",56981,2.118643784681904,.4265483668906708,5.895881617502205,58.28755209542247,286.464275352068,20150324.1575644,"JPL K105/6",,11.4,14.4,3.22,,,,7.10149730273304,1.11733,JFc,10.,5.
"   45P/Honda-Mrkos-Pajdusakova",56060,.5297614214191643,.8246720758970018,4.252433260900838,326.2580403750489,89.00218090291999,20110928.7822613,"JPL K112/2",Y,14.,18.,1.6,,,,5.25233065880804,.060071,JFc,26.0,15.0
"   46P/Wirtanen",56799,1.052262084828943,.659202561356482,11.75713931185802,356.3402053363259,82.16439076917047,20130709.3691697,"JPL K073/17",Y,12.9,15.9,1.2,,,,5.42562286195012,.0682125,JFc,13.,5.
"   47P/Ashbrook-Jackson",56771,2.814293641733177,.3169895596184338,13.03574322076638,357.8626404488979,356.9970887998237,20170610.8771668,"JPL 61",,5.6,13.1,5.6,,,,8.36414018479459,1.8084,JFc,20.,5.
