#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"  187P/LINEAR",54021,3.695427074984028,.1701182218624886,13.73205540848052,131.7178225812288,112.0003402757854,20081004.8859541,"JPL 27",,6.3,13.6,,,,,9.39681796174653,2.70282,JFc,18.,5.
"  188P/LINEAR-Mueller",54041,2.552557752333339,.4156143236868653,10.54642338238299,26.415847837298,359.152366957992,20071216.1233958,"JPL 62",,10.9,13.7,,,,,9.12897933136948,1.56073,JFc,11.,5.
"  189P/NEAT",56364,1.177562746019826,.5967955466821282,20.3759013976059,15.3971378706121,282.1441610466808,20120720.4565465,"JPL 56",Y,18.4,,,,,,4.9911004270027,.170302,JFc,13.,
"  190P/Mueller",53367,2.035714253422129,.5197511294482888,2.189406233768544,49.60882133903502,336.1885706110741,20070708.7646330,"JPL 26",,11.6,16.5,,,,,8.72738028396229,1.04092,JFc,17.,5.
"  191P/McNaught",54601,2.047872872602947,.4202163695385643,8.761342253175723,274.1725470575452,106.5271296219541,20070913.1200395,"JPL 49",,14.1,,,,,,6.63840535559304,1.07352,JFc,7.,
"  192P/Shoemaker-Levy 1",53690,1.526435897381264,.772126286309046,24.38729278371501,310.8321766153857,51.72674724291831,20071219.2931056,"JPL 19",,12.2,15.4,,,,,17.3374297076236,.623249,JFc,14.,5.
"  193P/LINEAR-NEAT",56978,2.166230530151968,.3943325814040706,10.68702635874803,8.453774232306444,335.1943874067554,20141124.7164135,"JPL 30",,7.9,16.5,,,,,6.76416033111005,1.15848,JFc,26.,5.
"  194P/LINEAR",53806,1.707033713502305,.5744269855109287,11.12310181213155,130.6874606135541,352.0736569578513,20080226.1307511,"JPL 66",,13.7,17.7,,,,,8.03360043313288,.745481,JFc,17.,5.
"  195P/Hill",54494,4.438220690510528,.315047798798942,36.36748420072287,249.6535742516584,243.2611246188573,20090121.4311652,"JPL 37",,8.6,12.5,,,,,16.4941957478126,3.6438,JFc,10.,5.
"  196P/Tichy",52872,2.151606626372581,.4311386886727762,19.37422810018398,11.64351317722606,24.36799499995337,20001003.5867674,"JPL 24",,15.0,16.8,,,,,7.35602022801622,1.16008,JFc,8.,5.
"  197P/LINEAR",56717,1.061393390939032,.6296602371558928,25.5427252545893,188.7289004473067,66.3882461525948,20130324.8263090,"JPL 46",Y,18.2,20.0,,,,,4.85201633878229,.0513181,JFc,7.,5.
"  198P/ODAS",52518,1.978230309854365,.4478991359345119,1.349391820477114,69.0389904430001,358.7697269096058,20050502.8184416,"JPL 28",,12.5,16.6,,,,,6.7825942844179,.991753,JFc,13.,5.
"  199P/Shoemaker 4",54353,2.936142672111689,.5069284376022202,24.76767471270187,191.9393427947523,92.94703569264837,20090410.0439395,"JPL 42",,7.8,,,,,,14.5314516481435,1.92364,JFc,15.,
"  200P/Larsen",53954,3.279857680820806,.3333926492953443,12.12229231779412,133.2517567177933,234.8338517386848,20080823.1826949,"JPL 37",,10.2,14.1,,,,,10.914040314772,2.29606,JFc,10.,5.
"  201P/LONEOS",56978,1.339198529821082,.6127644495385919,7.033416624027558,25.05693961310697,35.23985636324752,20150114.6099360,"JPL 38",,13.4,16.0,,,,,6.43150803086094,.355552,JFc,14.,5.
"  202P/Scotti",53585,2.52547811258656,.3304054745670374,2.185350644412855,255.7183519501936,194.5901910419711,20090207.9746994,"JPL 67",,7.8,15.6,,,,,7.32496871913189,1.54146,JFc,25.,5.
"  203P/Korlevic",54815,3.182396295982759,.314653512873307,2.976027527201579,154.5454157226637,290.5608642498839,20100208.2384065,"JPL 105",,12.0,,,,,,10.0063181271212,2.19871,JFc,7.,
"  204P/LINEAR-NEAT",53825,1.938524289787534,.470450969961421,6.582525803250807,355.1308197419123,109.1148842940803,20081209.5409156,"JPL 43",,12.5,,,,,,7.00415595564081,.954348,JFc,16.,
"  205P/Giacobini",54679,1.5263820362452620305049,0.5687994463576102610602,15.304301333222069203543,154.2417479929983,179.6301894881853,20080910.0759150,"JPL 3",,14.1,,,,,,6.66015147947265,.532084,JFc,10.,
"  205P/Giacobini-A",54766,1.526450001972009,.568714327637854,15.30462698794076,154.219453037641,179.6299185991975,20080910.0428953,"JPL 7",,12.0,15.7,,,,,6.65862461283462,.532148,JFc,17.,5.
"  205P/Giacobini-B",54735,1.530213038690974,.5753279137768729,15.40528193605396,154.0793970125158,179.5073325093614,20080909.7638931,"JPL 3",,18.5,,,,,,6.83999014591284,.536385,JFc,10.,
"  205P/Giacobini-C",54679,1.5266815023710049725735,0.5687302569766289339625,15.308543661944190361623,154.2717704299316,179.6270623155098,20080910.2539860,"JPL 1",,,,,,,,6.66050843501621,.532358,JFc,,
"  206P/Barnard-Boattini",51606,.9788121331531039,.6886420878908622,31.97414822324667,179.5749493037745,205.260324700398,19970626.8054613,"JPL 12",Y,20.3,,,,,,5.57400506462474,.0183899,JFc,10.,
"  207P/NEAT",54069,.9439961960321485,.7569889079339783,10.14995410674742,271.195626982121,200.6742212337838,20081106.3770847,"JPL 64",Y,16.5,18.3,,,,,7.65639662195197,.147585,JFc,10.,5.
"  208P/McMillan",54715,2.525207996794979,.3743328662518365,4.414588652425596,310.4845017183517,36.41662900757949,20080513.2139541,"JPL 17",,13.4,15.6,,,,,8.10847016468248,1.52083,JFc,10.,5.
"  209P/LINEAR",55719,.9017135333571934,.6923578061340225,19.44579114033596,150.4654789949985,65.46881158471572,20090417.4337404,"JPL 129",Y,16.9,,,,,,5.01813377145548,.0511307,JFc,15.,
"  210P/Christensen",56908,.5313139131707628,.8325032627208268,10.24010577749047,345.8255533591199,93.82650011598992,20140817.2460284,"JPL 42",Y,15.0,17.9,,,,,5.64970091530556,.170738,JFc,10.,5.
"  211P/Hill",54760,2.361636639775389,.3376969980866255,18.87067563442112,4.434294754739013,117.2984388251147,20090507.8744954,"JPL 25",,11.7,15.4,,,,,6.7335289883667,1.37776,JFc,13.,5.
"  212P/NEAT",54481,1.654233426896859,.5787482775254646,22.39796481094947,15.07100270915987,98.92935707190566,20081203.3100343,"JPL 12",,14.8,18.9,1.7,,0.096,,7.78199336532698,.678506,JFc,17.,5.
"  213P/Van Ness",56080,2.122378014171646,.3806646545095143,10.23692292442821,3.514162933336794,312.5636888548852,20110616.6071643,"JPL 67",,10.3,13.7,,,,,6.34385883741513,1.10908,JFc,11.,5.
"  213P/Van Ness-B",55791,2.122728532462212,.3797273022751771,10.24005100770656,3.341503759615148,312.6706695170379,20110616.4297495,"JPL 11",,7.3,18.2,,,,,6.33105214171125,1.10881,JFc,37.,5.
"  214P/LINEAR",52790,1.839835893817929,.4895520712375712,15.22601869028518,190.1589408985868,348.3073702668507,20020301.0462462,"JPL 17",,12.1,17.4,,,,,6.84304923048928,.845977,JFc,23.,5.
"  215P/NEAT",54614,3.215927477669644,.2006421522188538,12.78921743525425,222.2129949479117,75.45300166630444,20100607.0140804,"JPL 47",,10.1,14.0,,,,,8.06966874041695,2.21444,JFc,11.,5.
"  216P/LINEAR",52542,2.15267508776375,.4453981827522461,9.041436182146274,151.553500355743,359.9337103867218,20010212.6058939,"JPL 28",,6.5,16.9,,,,,7.64722726785962,1.1693,JFc,33.,5.
"  217P/LINEAR",54831,1.223482234338912,.6896427560080348,12.88188017450858,246.775468211001,125.6220203162006,20090908.9802754,"JPL 113",Y,14.1,,,,,,7.82729809139157,.306437,JFc,7.,
"  218P/LINEAR",53372,1.702724064530089,.4902641963700699,18.15111883029338,10.47601370348449,226.7762235271592,20030514.4270818,"JPL 20",,14.7,18.2,,,,,6.10529852643318,.694821,JFc,17.,5.
"  219P/LINEAR",54720,2.363962368943389,.3524985789349789,11.52342456088668,107.8498576799406,231.0999732549801,20100306.2540940,"JPL 65",,11.4,15.0,,,,,6.97602377026266,1.38652,JFc,12.,5.
"  220P/McNaught",53614,1.553965019541111,.5012808687157333,8.123236745874344,180.7488669398854,150.1166166164597,20040616.7876681,"JPL 26",,14.3,17.7,,,,,5.50029543532407,.542763,JFc,17.,5.
"  221P/LINEAR",52802,1.790273499042188,.4861384208099029,11.41304174484816,39.61551751853901,230.0691667642714,20020727.5678993,"JPL 45",,14.6,17.1,,,,,6.50306441518923,.79132,JFc,11.,5.
"  222P/LINEAR",54525,.7808498706471657,.7267415359671936,5.145942506794817,345.4241539176374,7.132259941130999,20090901.2169569,"JPL 29",Y,19.7,,,,,,4.83057780963956,.0623452,JFc,7.,
"  223P/Skiff",54283,2.410426972011884,.4175597146857165,27.04952720729196,38.3163287585471,346.9458965413959,20100816.3845516,"JPL 54",,11.5,15.8,,,,,8.41922393072737,1.46076,JFc,12.,5.
"  224P/LINEAR-NEAT",53299,1.881879882577228,.4369516486843072,14.73038573928028,9.287938918038224,43.51510912458283,20030917.1045986,"JPL 12",,13.1,18.1,,,,,6.11051078591887,.893739,JFc,21.,5.
"  225P/LINEAR",52717,1.192065516873636,.6637644632691145,20.70960946173405,1.329461349227417,15.49778451072043,20021008.0979346,"JPL 42",Y,18.8,,,,,,6.67564097895336,.194983,JFc,9.,
"  226P/Pigott-LINEAR-Kowalski",53543,1.916866128467236,.4804474350021011,46.34724001499503,357.1744426757099,55.06956731516844,20030131.9333287,"JPL 28",,12.0,16.1,,,,,7.08682383930977,.930195,JFc,15.,5.
"  227P/Catalina-LINEAR",54317,1.795923607552712,.4993857905736375,6.523769574684617,90.17063707324975,49.89290679585816,20100904.4395210,"JPL 17",,13.9,18.0,,,,,6.79493384086549,.823741,JFc,13.,5.
"  228P/LINEAR",54354,3.428080978273981,.1763056288704916,7.918129864391853,115.2055164295503,31.06590398312002,20110826.7801404,"JPL 51",,12.4,14.4,,,,,8.49054686463748,2.44902,JFc,9.,5.
"  229P/Gibbs",54917,2.440214877738739,.3782472818322429,26.10875388016393,223.9882742583603,157.9788902746235,20090804.1167305,"JPL 20",,12.2,15.9,,,,,7.77541842456408,1.49742,JFc,13.,5.
"  230P/LINEAR",54949,1.485997271050762,.5628127299863855,14.64331737697453,308.7215566462854,112.5105066625227,20090808.8164631,"JPL 29",,13.1,16.4,,,,,6.26662862996756,.546259,JFc,14.,5.
"  231P/LINEAR-NEAT",56364,3.031214615009153,.2469915801096556,12.32785601829468,42.3875959257247,133.0706575801076,20110516.3282740,"JPL 36",,6.2,14.8,,,,,8.07669128261879,2.05161,JFc,22.,5.
"  232P/Hill",55070,2.983194960688153,.3345199989231166,14.63497612534351,53.42485645037063,56.14551156485062,20091001.5171260,"JPL 26",,10.8,14.5,,,,,9.49135340487715,2.02877,JFc,11.,5.
"  233P/La Sagra",54708,1.794977652991923,.4090272614185136,11.27642868827392,26.91663608905688,75.05137493669618,20100312.3529375,"JPL 7",,17.6,,,,,,5.29353270016844,.817784,ETc,10.,
"  234P/LINEAR",53968,2.856198645064279,.2519116580093193,11.51834129576492,358.4832026793052,179.7669218239004,20091223.4450189,"JPL 15",,12.7,15.2,,,,,7.46038920765268,1.85921,JFc,10.,5.
"  235P/LINEAR",53746,2.74090510481467,.3148400266881949,8.895852024854797,333.8842248554525,204.5184378848083,20020320.2593559,"JPL 10",,13.1,15.4,,,,,8.00131238205177,1.74879,JFc,10.,5.
"  236P/LINEAR",55097,1.831077830951366,.5087712718889918,16.33377594385024,119.3665805413004,245.688697836539,20100908.9411976,"JPL 39",,15.2,,,,,,7.19685533833092,.891141,JFc,10.,
"  237P/LINEAR",53925,2.41972974667848,.3525013694107034,16.15499172813248,20.40128745482515,252.4685926826884,20091202.2726189,"JPL 11",,12.9,16.2,,,,,7.22437391886376,1.41046,JFc,11.,5.
"  238P/Read",56816,2.363628613554339,.2527781196003774,1.26513907168384,325.0874020776336,51.65730767655864,20161022.8568042,"JPL 14",,13.7,17.7,,,,,5.62603836836352,1.36565,ETc,14.,5.
"  239P/LINEAR",53176,1.644353354807071,.6316548361498424,11.31875143664899,220.3612856279761,256.1246512172597,20000217.1825655,"JPL 14",,14.4,18.1,,,,,9.43231871501915,.677378,JFc,16.,5.
"  240P/NEAT",56364,2.126377339364245,.4501319645263105,23.52493992821157,352.0995201777944,74.95220577193484,20101004.6542680,"JPL 61",,10.6,13.9,,,,,7.60468087380608,1.14123,JFc,14.,5.
"  241P/LINEAR",54642,1.861588651907305,.6188715697106489,20.74244932053037,111.473113930239,306.2377241941247,20100716.3631235,"JPL 43",,12.0,15.4,,,,,10.7951024237329,.978945,JFc,14.,5.
"  242P/Spahr",55396,3.870809879286362,.3141331711681838,32.12853959439605,250.6365642910514,181.1320399524953,20120411.8029288,"JPL 86",,5.7,12.6,,,,,13.4076067872657,3.04393,JFc,16.,5.
"  243P/NEAT",53227,2.457541495507164,.3585752873074576,7.638086544517654,284.234854272704,87.77137427374707,20030907.3107626,"JPL 40",,8.3,15.0,,,,,7.49964936699513,1.47104,JFc,21.,5.
"  244P/Scotti",55188,3.936847298628236,.2042131382581726,2.267626444055058,90.31567868723677,354.3328820338426,20120105.2649056,"JPL 126",,6.5,12.5,,,,,11.0036282554771,2.95365,JFc,15.,5.
"  245P/WISE",54416,2.141160723521259,.4662892068735632,21.08549942714007,316.3026248516925,318.5278557190417,20100204.2321839,"JPL 12",,14.4,17.0,,,,,8.03568911450391,1.1717,JFc,14.,5.
"  246P/NEAT",54706,2.869070114148458,.2863758531722661,15.98565888718644,176.4105773888173,78.82041733987307,20050105.2190310,"JPL 163",,5.1,11.3,,,,,8.06149593866069,1.85403,JFc,16.,5.
"  247P/LINEAR",54711,1.504499730477432,.6234222264034647,13.72815426052222,44.33956542540266,56.64080994614673,20110105.6298299,"JPL 18",,16.4,,,,,,7.98572496154771,.553005,JFc,11.,
"  248P/Gibbs",55427,2.146740200550406,.6411612168497145,6.367796542417012,209.9127515514211,207.7882343574147,20110208.7098002,"JPL 17",,12.7,16.7,,,,,14.6328315459673,1.16174,JFc,14.,5.
"  249P/LINEAR",54097,.5105866304092663,.8161461212438361,8.434120261243669,64.04040549093841,240.646140121099,20060828.5350012,"JPL 20",Y,16.2,,,,,,4.62810459526111,.0525406,JFc,15.,
"  250P/Larson",55447,2.214029140504394,.4064797230434751,13.2934987453533,44.88900702277459,73.75685831794287,20101114.3615499,"JPL 18",,13.3,16.5,,,,,7.20493156613921,1.25045,JFc,14.,5.
"  251P/LINEAR",53234,1.71150329705604,.5095517978606823,23.50698982523187,30.84361594866725,219.5609750848955,20040618.6838591,"JPL 26",,13.6,17.0,,,,,6.51906171005653,.731815,JFc,16.,5.
"  252P/LINEAR",52306,1.001368430550512,.6724112480844789,10.38105210892936,343.2826818694117,190.9962851138974,20000309.9581254,"JPL 25",Y,18.6,,,,,,5.34448144360416,.0173893,JFc,17.,
"  253P/PANSTARRS",56364,2.038016453638003,.4125583951342929,4.940348956269786,230.8727177836223,146.8956372024383,20111123.6939329,"JPL 13",,13.1,15.9,,,,,6.46208518336362,1.04187,JFc,14.,5.
"  254P/McNaught",55046,3.213581518959383,.3119069854691572,32.5641515653615,221.0233767504911,130.0946217215172,20101028.0946954,"JPL 20",,10.9,14.4,,,,,10.0930275929735,2.27023,JFc,10.,5.
"  255P/Levy",56981,1.008177639939959,.6681889016894792,18.26659348408196,179.6923293670564,279.7300366550929,20170502.7154773,"JPL 37",Y,11.5,15.2,,,,,5.29635920592084,.0245169,JFc,40.,5.
"  256P/LINEAR",55458,2.689772102245466,.417937535578262,27.64178305459467,124.2007783347942,81.44894038170409,20130318.0153767,"JPL 43",,12.8,15.6,,,,,9.93406595171366,1.78278,JFc,10.,5.
"  257P/Catalina",55531,2.127007426245468,.4336173942170644,20.24394193539759,117.7936252286737,207.8783782203701,20130603.8759792,"JPL 82",,11.7,15.2,,,,,7.27774527059475,1.19772,JFc,12.,5.
"  258P/PANSTARRS",55394,3.479202800187067,.2088043835288372,6.74623638637479,25.82897843772859,126.3448348260112,20110319.1203159,"JPL 6",,12.4,16.1,,,,,9.22150932793153,2.49123,JFc,11.,5.
"  259P/Garradd",54857,1.793066441621314,.3421712179073474,15.90312237027258,256.503595389284,51.99141863645769,20080725.2805151,"JPL 11",,14.8,19.5,,,,,4.50021713640764,.853785,ETc,15.,5.
"  260P/McNaught",55590,1.49817817906159,.5935048395532496,15.73693835496121,15.61411176427704,351.9811657692145,20120912.4441914,"JPL 72",,12.2,15.4,,,,,7.0757150362788,.500697,JFc,16.,5.
"  261P/Larson",55280,2.189781319530618,.3895433798507963,6.322909897948778,58.5954912929043,298.5350695282509,20120928.7300715,"JPL 36",,4.4,15.7,,,,,6.79402452724019,1.19372,JFc,37.,5.
"  262P/McNaught-Russell",55913,1.280276582973298,.8154028826429843,29.07941912183574,171.1690205549158,218.014288416019,20121204.4590957,"JPL 39",Y,13.1,17.0,,,,,18.2652883645772,.291456,JFC,16.,5.
"  263P/Gibbs",54246,1.251302076337578,.5869803961071717,14.47117649895024,26.3154858427866,113.3508576070025,20061228.7660367,"JPL 15",Y,16.7,20.5,,,,,5.27345751245289,.284398,JFc,15.,5.
"  264P/Larsen",53379,2.437294547040511,.3737711207200287,25.14768852090738,346.5743929575982,220.9723222594372,20040313.1926385,"JPL 13",,13.2,16.2,,,,,7.67839747750983,1.43624,JFc,13.,5.
"  265P/LINEAR",52926,1.505449672592639,.6460250873419684,14.69119860325759,32.72047022939254,344.7112831800904,20030905.8088085,"JPL 29",,14.8,17.5,,,,,8.77099452075928,.526735,JFc,15.,5.
"  266P/Christensen",56981,2.327993362585576,.3404246531820948,3.428807826227298,97.96763594706306,5.020850501079844,20130831.3402700,"JPL 41",,14.4,,,,,,6.63107877387312,1.34731,ETc,8.,
"  267P/LONEOS",54278,1.337751720552732,.593340592152269,5.368572547606922,96.85229934475858,245.2515244345748,20060902.9129099,"JPL 19",,18.6,20.9,,,,,5.96657691811788,.347071,JFc,17.,5.
"  268P/Bernardi",53976,2.345951177728285,.4792852923246126,15.61750225999874,357.4715888150815,129.6789170152686,20050812.9159505,"JPL 16",,13.7,17.1,,,,,9.56284000895325,1.3606,JFc,11.,5.
"  269P/Jedicke",53948,4.070164592367185,.4345091393919922,6.612796331062036,224.1992447465684,249.0325974859319,20141201.8525857,"JPL 57",,6.5,13.5,,,,,19.3102445869547,3.09053,JFc,11.0,5.0
"  270P/Gehrels",54692,3.594357172105763,.4676709227926323,2.859390575049124,211.4735307269304,225.6726172565459,20130718.2237873,"JPL 62",,3.,14.,,,,,17.5456622434793,2.61104,JFc,20,5
"  271P/van Houten-Lemmon",55652,4.252107662645674,.389829738793725,6.85645501861733,35.03489759186957,9.590497325604408,20130705.5139367,"JPL 24",,5.5,10.5,,,,,18.3966194722184,3.26246,JFc,15.0,10.0
"  272P/NEAT",54882,2.437835785905812,.4524759832592989,18.27698987243619,25.96317864451423,111.8580020084505,20130309.6530021,"JPL 26",,12.7,16.1,,,,,9.39528834372735,1.46565,JFc,13.,5.
"  273P/Pons-Gambart",56799,.8104310477145535,.9750961432178844,136.3989718929838,20.18419247403626,320.4310687697371,20121219.5569888,"JPL 9",Y,11.4,14.9,,,,,185.644630706466,.171765,HTC,8.,5.
"  274P/Tombaugh-Tenagra",56216,2.441800002545996,.4406543954050188,15.8372786239001,38.45497584089328,81.36224547445791,20130223.3200035,"JPL 25",,11.5,14.8,,,,,9.12122129476826,1.47874,JFc,13.,5.
"  275P/Hermann",53034,1.649031437256484,.7139327785605359,21.56993959079301,173.1337161256061,349.2710118560676,19990219.8351342,"JPL 18",,15.,,,,,,13.8404260244805,.658816,JFc,10,
"  276P/Vorobjov",56032,3.922640046718807,.2689146425028647,14.49768128450595,206.1270848504977,214.3382662174946,20130118.8942387,"JPL 15",,5.8,14.6,,,,,12.4286443389318,2.94153,JFc,19.,5.
"  277P/LINEAR",53919,1.919051721063361,.5035597506028568,16.72552685432161,152.299858194571,276.3780968083573,20051103.9435446,"JPL 17",,12.8,16.8,,,,,7.6004226612257,.948625,JFc,15.,5.
"  278P/McNaught",54561,2.087964319516129,.434489728510642,6.687257607039748,238.1043404804568,15.51970739217313,20060627.2375537,"JPL 26",,5.8,17.5,,,,,7.09466780664049,1.08255,JFc,37.,5.
"  279P/La Sagra",55029,2.147705838988561,.3993528168141439,5.054679258305331,5.962040527449206,346.2607570432411,20091010.5167648,"JPL 14",,13.9,17.5,,,,,6.76147165811024,1.14135,JFc,15.,5.
"  280P/Larsen",54787,2.625432149506652,.4180949726414225,11.77968038734452,104.8350120016027,131.4963398852575,20040510.9173818,"JPL 33",,11.6,14.5,,,,,9.58365644900335,1.6466,JFc,12.,5.
"  281P/MOSS",55430,4.018061706335871,.1735992815756038,4.721092122703737,26.01457121473731,87.18681736250591,20120509.6485101,"JPL 9",,11.3,14.4,,,,,10.7212908101391,3.0367,JFc,10.,5.
"  283P/Spacewatch",55932,2.127432639934013,.4856289687883189,14.46397486293796,21.93427367660663,161.2660714405355,20130406.9375175,"JPL 6",,13.1,16.7,,,,,8.41157219844053,1.13913,JFc,15.,5.
"  284P/McNaught",56978,2.289452492860323,.3767060748083489,11.86323077775152,202.859503670661,144.2934056087589,20140902.4831399,"JPL 54",,8.1,13.4,,,,,7.03989716540574,1.28672,JFc,19.,5.
"  285P/LINEAR",53807,1.710245605115939,.6209279165176597,24.49718721600884,177.2960744652221,186.442100153618,20031204.6460351,"JPL 22",,13.6,17.8,,,,,9.58325895132836,.709803,JFc,17.,5.
"  286P/Christensen",54216,2.366642572797061,.4251626016738834,17.04432164554172,24.76482820685491,284.0601399829757,20050824.7991748,"JPL 25",,13.0,17.0,,,,,8.35390800715521,1.36295,JFc,13.,5.
"  287P/Christensen",54588,3.039432899093957,.2711928837184817,16.31547639819318,188.9555298192284,139.134996303286,20060615.6192951,"JPL 28",,6.1,14.8,,,,,8.51683307527002,2.02745,JFc,21.,5.
"  289P/Blanpain",53368,.998868143016448,.675731025694528,5.931193203668197,9.07083295435246,69.33537785916175,20031211.6360401,"JPL 3",Y,22.9,,,,,,5.40645196858909,.0166423,JFc,16.,
"  290P/Jager",55313,2.154521454645669,.6470333931575453,19.06838971251925,180.9161601850016,303.4834519636219,20140314.8146909,"JPL 82",,6.5,11.5,,,,,15.0811342850885,1.17086,JFc,10.0,5.0
"  291P/NEAT",54665,2.604870210503615,.4286430750700019,5.947114846128064,175.9569171618763,241.0127663326594,20040325.2958180,"JPL 56",,5.5,14.7,,,,,9.73477891530909,1.61784,JFc,25.,5.
"  292P/Li",54908,2.535346037400804,.586725264903078,24.31556433164206,318.8497288383364,91.8609257887704,20140206.5745345,"JPL 50",,6.0,13.8,,,,,15.1951776462839,1.59833,JFc,22.,5.
"  293P/Spacewatch",55196,2.109632181559224,.419342964183725,9.068342873963521,41.4169019665751,78.44808796642582,20070208.6919858,"JPL 22",,15.4,,,,,,6.92530293943029,1.13549,JFc,8.,
"  294P/LINEAR",55173,1.297734649363861,.5945159337133528,19.08579830143665,233.2695181857633,315.4433206774755,20080613.8346331,"JPL 27",Y,15.4,18.8,,,,,5.72567065292863,.393614,JFc,16.,5.
"  295P/LINEAR",54102,2.058893530478413,.6148858445354058,21.10619366261328,73.39251957014193,7.753923633840101,20020112.8552643,"JPL 3",,15.3,17.4,,,,,12.3616035897555,1.18017,JFc,8.,5.
"  296P/Garradd",55981,1.83233120103904,.4766286291817307,25.20205490193744,350.0377739893009,263.6730243355021,20140301.6625668,"JPL 31",,12.2,17.2,,,,,6.55087366324125,.81996,JFc,17.,5.
"  297P/Beshore",54898,2.4086462428112,.3086498338097453,10.26285033703739,131.8141910830173,98.28317734300157,20080321.0197732,"JPL 33",,6.1,13.8,,,,,6.50310288294621,1.4131,ETc,22.,5.
"  298P/Christensen",54302,2.050710321270187,.4124291387296715,8.021703046418468,95.6185967471979,57.11739421429378,20070305.2746990,"JPL 15",,15.2,17.8,,,,,6.52040096237666,1.07919,JFc,11.,5.
"  299P/Catalina-PANSTARRS",56446,3.141923362802635,.281717077107087,10.47991090731468,323.3774902962072,271.6824061374874,20150222.8394137,"JPL 19",,6.2,13.7,,,,,9.14867651516779,2.13868,JFc,19.,5.
"  300P/Catalina",56981,.8259797783223232,.6934621680484665,5.69147092141346,222.7484631067154,95.80660339535025,20140529.8784016,"JPL 9",Y,18.3,,,,,,4.42319618797048,.0244537,JFc,8.,
"  301P/LINEAR-NEAT",52666,2.346307228960666,.5874165509761219,10.61823649922945,189.3997252327268,355.7835668129545,20010130.6781786,"JPL 3",,11.0,16.0,,,,,13.5618150439691,1.3491,JFc,16.,5.
"  302P/Lemmon-PANSTARRS",55477,3.283596065771502,.2303736703896931,6.03650115888251,208.6065627048943,121.8288234294521,20070706.4024260,"JPL 1",,12.2,15.2,,,,,8.81277976172446,2.27362,JFc,10.,5.
"  303P/NEAT",54809,2.484604301952437,.5104360885266247,7.069634876721601,356.5258692717113,348.2142294933645,20030430.6990805,"JPL 32",,12.6,15.7,,,,,11.4335200453075,1.47714,JFc,13.,5.
"  304P/Ory",54982,1.382315263645453,.573726674090421,2.755146245885483,329.5920389447426,60.70659557336914,20081019.0178300,"JPL 51",,14.8,,,,,,5.83964735076741,.38857,JFc,19.,
"  305P/Skiff",55292,1.407533409778838,.6955260943332109,11.49856945477088,144.8038636930153,242.0756676765884,20141119.2999695,"JPL 33",,15.3,18.8,,,,,9.93965140121002,.432372,JFc,15.,5.
"  306P/LINEAR",53391,1.246918534416035,.5982594906974988,8.364457776766727,.7688016312200395,341.4986017466438,20030813.9688969,"JPL 31",Y,17.7,21.1,,,,,5.46823139731549,.239208,JFc,16.,5.
"  307P/LINEAR",56338,1.888707908755389,.674759595538191,4.424916314321911,222.1085447470102,158.1231128478046,20141220.0768738,"JPL 16",,14.0,16.9,,,,,13.9942188658898,.89252,JFc,13.,5.
"  308P/Lagerkvist-Carsenty",52641,4.253574889719864,.3636459421989451,4.834750813096634,334.4482936057576,63.21209937102057,19980310.4321251,"JPL 39",,9.5,13.,,,,,17.2818846024259,3.26105,JFc,10.0,5.0
"  309P/LINEAR",54774,1.753597638577875,.6062057186827463,17.65501572783139,50.8262736803764,11.42276003974554,20050927.7500045,"JPL 33",,16.1,,,,,,9.39721195886607,.817696,JFc,7.,
"  310P/Hill",54414,2.397866898995065,.4245806955866329,13.17710318310596,31.23275396680511,9.055847513229704,20061018.2018715,"JPL 25",,9.8,15.9,,,,,8.50685772854134,1.4154,JFc,20.,5.
"  311P/PANSTARRS",56466,1.936378759609211,.1152834645135037,4.968458674964833,144.2127841838233,279.2894280674857,20140415.7632530,"JPL 19",,14.9,19.2,,,,,3.23807908077336,.953651,ETc,16.,5.
"  312P/NEAT",53999,1.949549621715002,.4348130810974868,19.85554487950109,207.0122613518747,145.0812680045634,20071123.6455331,"JPL 8",,14.6,,,,,,6.40650973407466,.959782,JFc,12.,
"  313P/Gibbs",56546,2.391503979624666,.2421827708480264,10.96633520007556,253.5131800811228,106.494934836279,20140828.4918428,"JPL 11",,13.4,16.7,,,,,5.60619438209242,1.41533,ETc,14.,5.
"  314P/Montani",52463,4.212697455903784,.4180096653557003,3.992092497683336,213.6555453273347,267.7739853139025,19970408.8469656,"JPL 27",,9.,14.5,,,,,19.4748871431686,3.228,JFc,10.0,5.0
"  315P/LONEOS",53608,2.375700683901592,.5098347732474316,20.1169850179714,63.101542464165,71.21628231052595,20050902.5189319,"JPL 1",,9.6,13.5,,,,,10.6704328923081,1.46536,JFc,13.,5.
"     C/1760 A1 (Great comet)",-36128,0.96576,1.0,175.126,301.727,83.553,17591217.3410000,SAO_2008,,,,,,,,,,PAR,,
"     C/1760 B1 (Messier)",-36148,0.80139,1.0,79.084,273.928,143.007,17591127.5020000,SAO_2008,,,,,,,,,,PAR,,
"     C/1762 K1 (Klinkenberg)",-35235,1.00905,1.0,85.668,115.480,351.868,17620528.8350000,SAO_2008,,,,,,,,,,PAR,,
