124131.006-0.0192-485734.71-0.005 2.4A0                        				   
132355.550+0.0142+545531.39-0.020 2.4A2pMizar           :zeta Ursa Majoris  		   
072405.700-0.0002-291811.30+0.004 2.4B5pAludra          :eta Canis Majoris  		   
000910.719+0.0686+590858.99-0.183 2.4F5 Caph            :beta Cassiopeiae  		   
002617.076+0.0189-421821.76-0.395 2.4K0 Ankaa           :alpha Phoenicis  		   
165009.826-0.0492-341735.82-0.257 2.4K0                 :epsilon Scorpii  		   
175636.375-0.0007+512920.26-0.019 2.4K5 Eltanin         :gamma Draconis  		   
010943.942+0.0147+353713.93-0.113 2.4M0 Mirach          :beta Andromedae  		   
115349.835+0.0107+534141.15+0.012 2.5A0 Phecda          :gamma Ursa Majoris  		   
053200.397+0.0001-001756.81-0.002 2.5B0 Mintaka         :delta Orionis  		   
160020.021-0.0007-223718.01-0.022 2.5B0 Dschubba        :delta Scorpii  		   
174229.264-0.0006-390148.28-0.029 2.5B2                 :kappa Scorpii  		   
004030.465+0.0065+563214.43-0.032 2.5K0 Schedar         :alpha Cassiopeiae  		   
214411.166+0.0021+095230.00+0.000 2.5K0 Enif            :epsilon Pegasi  		   
143530.429-0.0031-420928.10-0.031 2.6+++                :eta Centauri  			   
230445.656+0.0043+151218.89-0.042 2.6A0 Markab          :alpha Pegasi  			   
171022.695+0.0027-154329.43+0.098 2.6A2                        				   
111406.498+0.0102+203125.26-0.130 2.6A3 Zozma           :delta Leonis  			   
211834.783+0.0220+623508.02+0.049 2.6A5 Alderamin       :alpha Cephei  			   
133953.282-0.0028-532758.72-0.013 2.6B1                 :epsilon Centauri  		   
092206.848-0.0007-550038.52+0.009 2.6B3 Markab          :kappa Velorum  		   
101958.346+0.0217+195029.93-0.147 2.6K0 Al Gieba        :gamma Leonis  			   
204612.686+0.0287+335812.92+0.328 2.6K0 Gienah          :epsilon Cygni  		   
230346.460+0.0142+280458.07+0.137 2.6M0 Scheat          :beta Pegasi  			   
055943.300+0.0040+371244.66-0.081 2.7A0p                       				   
190236.710-0.0012-295249.11-0.002 2.7A2                        				   
015438.402+0.0069+204828.73-0.112 2.7A5 Sheratan        :beta Arietis  			   
163709.548+0.0010-103401.55+0.027 2.7B0                 :zeta Ophiuchi  		   
151700.430-0.0064-092258.53-0.019 2.7B8 Zuben el Chamali:beta Librae  			   
053243.799+0.0000-174920.24+0.002 2.7F0 Arneb           :alpha Leporis  		   
144459.229-0.0037+270427.14+0.021 2.7K0 Pulcherrima     :epsilon Bootis  		   
071708.585-0.0004-370550.99+0.005 2.7K5                 :pi Puppis  			   
012548.986+0.0403+601406.91-0.052 2.8A5 Ruchbah         :delta Cassiopeiae  		   
005642.514+0.0035+604300.10-0.006 2.8B0pTsih            :gamma Cassiopeiae  		   
145831.910-0.0033-430802.46-0.040 2.8B2p                :beta Lupi  			   
173045.843-0.0001-371745.05-0.031 2.8B3 Lesath          :upsilon Scorpii  		   
053938.953+0.0006-340427.11-0.027 2.8B5pPhakt           :alpha Columbae  		   
121548.371-0.0112-173230.99+0.023 2.8B8 Gienah          :gamma Corvi  			   
135441.076-0.0044+182351.72-0.358 2.8G0 Muphrid         :eta Bootis  			   
104646.194+0.0075-492512.29-0.048 2.8G5                        				   
123423.241+0.0002-232348.22-0.053 2.8G5 Kraz            :beta Corvi  			   
154416.092+0.0092+062532.34+0.047 2.8K0 Unukalhai       :alpha Serpentis  		   
163013.200-0.0070+212922.49-0.015 2.8K0 Kornephoros     :beta Herculis  		   
064956.168+0.0038-503653.16-0.075 2.8K0                 :tau Puppis  			   
182059.673+0.0029-294941.39-0.029 2.8K0 Kaus Media      :delta Sagittari  		   
194615.590+0.0012+103647.91+0.000 2.8K2 Tarazed         :gamma Aquilae  		   
172518.024-0.0006-553147.62-0.025 2.8K2                 :beta Arae  			   
030216.777-0.0006+040522.93-0.078 2.8M0 Menkab          :alpha Ceti  			   
125601.670-0.0198+381906.22+0.057 2.9A0pCor Caroli      :alpha Canum Venaticorum  	   
132035.842-0.0281-364244.29-0.085 2.9A2                 :iota Centauri  		   
050750.969-0.0063-050511.17-0.080 2.9A3 Cursa           :beta Eridani  			   
145052.719-0.0073-160230.39-0.067 2.9A3 Zuben El Genubi :alpha Librae  			   
163552.953-0.0007-281257.76-0.023 2.9B0                 :tau Scorpii  			   
035407.925+0.0005+315300.94-0.011 2.9B1 Atik            :omicron Persei  		   
160526.238-0.0003-194819.37-0.018 2.9B1 Graffias        :beta Scorpii  			   
001314.156+0.0002+151100.80-0.012 2.9B2 Algenib         :gamma Pegasi  			   
144155.798-0.0017-472317.40-0.017 2.9B2 Men             :alpha Lupi  			   
123710.956-0.0089-690807.65-0.009 2.9B3                 :alpha Muscae  			   
120821.534-0.0033-504320.79-0.009 2.9B3p                :delta Centauri  		   
030810.131+0.0003+405720.44-0.001 2.9B8 Algol           :beta Persei  			   
124139.598-0.0377-012657.71+0.012 2.9F0                        				   
080732.644-0.0061-241815.21+0.051 2.9F5                 :rho Puppis  			   
002545.217+0.6712-771515.63+0.322 2.9G0                        				   
162359.488-0.0024+613051.25+0.060 2.9G5                        				   
174328.357-0.0027+043402.20+0.159 2.9K0 Kelb al Rai     :beta Ophiuchi  		   
182758.249-0.0032-252518.11-0.185 2.9K0 Kaus Borealis   :lambda Sagittari  		   
045659.613+0.0002+330957.90-0.018 2.9K2 Kabdhilinan     :iota Aurigae  			   
221830.192-0.0086-601534.53-0.043 2.9K2                 :alpha Tucanae  		   
053525.982+0.0001-055435.60+0.001 2.9Oe5Na'ir al Saif   :iota Orionis  			   
194458.535+0.0050+450750.66+0.048 3.0A0                        				   
190524.611-0.0004+135148.44-0.096 3.0A0                 :zeta Aquilae  			   
214702.458+0.0184-160738.19-0.296 3.0A5 Deneb Algiedi   :delta Capricorni  		   
104257.334-0.0038-642339.86+0.012 3.0B0                 :theta Carinae 			   
035751.220+0.0015+400036.66-0.026 3.0B1                 :epsilon Persei  		   
155851.124-0.0008-260650.61-0.024 3.0B2                 :pi Scorpii  			   
153508.456-0.0013-411000.53-0.028 3.0B3                        				   
053738.681+0.0000+210833.03-0.022 3.0B3p                :zeta Tauri  			   
173150.558-0.0027-495234.52-0.073 3.0B3pTchou           :alpha Arae  			   
034729.074+0.0013+240618.33-0.047 3.0B5pAlcyone         :eta Tauri  			   
143204.679-0.0096+381829.70+0.153 3.0F0 Seginus         :gamma Bootis  			   
155508.533-0.0286-632550.13-0.395 3.0F0                        				   
015846.229+0.0373-613411.41+0.027 3.0F0                        				   
190945.839+0.0001-210125.04-0.035 3.0F2                 :pi Sagittari  			   
052814.725-0.0002-204534.28-0.090 3.0G0 Nihal           :beta Leporis  			   
173025.957-0.0017+521805.07+0.014 3.0G0 Rastaban        :beta Draconis  		   
164117.216-0.0368+313610.60+0.394 3.0G0 Ras Algethi     :alpha Herculis  		   
130210.599-0.0186+105732.98+0.021 3.0K0 Vindemiatrix    :epsilon Virginis  		   
093113.295-0.0041-570204.11+0.001 3.0K5                        				   
161420.740-0.0030-034139.53-0.143 3.0M0 Yed Prior       :delta Ophiuchi  		   
030447.788-0.0001+533023.24-0.005 3.1+++                :gamma Persei  			   
122951.857-0.0145-163055.56-0.138 3.1A0 Algorab         :delta Corvi  			   
151854.580-0.0128-684045.98-0.027 3.1A0                        				   
152043.726-0.0038+715002.53+0.021 3.1A2 Pherkab         :gamma Ursa Minoris  		   
085912.452-0.0442+480229.76-0.229 3.1A5 Talitha Borealis:iota Ursa Majoris  		   
020932.615+0.0121+345914.16-0.041 3.1A5                 :beta Trianguli  		   
162111.315-0.0008-253534.12-0.020 3.1B1 Al Niyat        :sigma Scorpii  		   
135532.383-0.0056-471717.96-0.041 3.1B2p                :zeta Centauri  		   
062018.797+0.0008-300348.10+0.004 3.1B3 Furud           :zeta Canis Majoris  		   
121508.675-0.0053-584455.81-0.006 3.1B3                 :delta Crucis  			   
165152.228-0.0010-380251.02-0.028 3.1B3p                       				   
034255.490+0.0027+474715.21-0.035 3.1B5                 :delta Persei  			   
070301.475-0.0002-235000.13+0.001 3.1B5p                :omicron Canis Majoris  	   
072709.038-0.0035+081721.50-0.038 3.1B8 Gomeisa         :beta Canis Minoris  		   
094706.083-0.0019-650418.79+0.011 3.1F0                        				   
174735.095+0.0001-400737.18-0.006 3.1F5p                :iota Scorpii  			   
213133.545+0.0015-053416.27-0.008 3.1G0 Sadalsud        :beta Aquarii  			   
224300.139+0.0011+301316.49-0.026 3.1G0 Matar           :eta Pegasi  			   
094551.073-0.0034+234627.21-0.011 3.1G0p                :epsilon Leonis  		   
110939.785-0.0062+442954.65-0.027 3.1K0                 :psi Ursa Majoris 		   
180548.488-0.0041-302526.66-0.185 3.1K0 Al Nasl         :gamma Sagittari  		   
165837.223-0.0021-555924.48-0.036 3.1K5                 :zeta Arae  			   
071332.351+0.0107-443822.76+0.330 3.1M5e                       				   
193043.309+0.0003+275734.59-0.004 3.2K5 Albireo         :beta Cygni  			   
171501.912-0.0015+245021.22-0.156 3.2A2 Sarin           :delta Herculis  		   
170847.224-0.0029+654252.76+0.022 3.2B5 Kaou Pih        :zeta Draconis  		   
063745.659+0.0001-431145.31-0.004 3.2B8                 :nu Puppis  			   
215355.744+0.0087-372153.48-0.020 3.2B8 Al Dhanab       :gamma Gruis  			   
220547.033+0.0013-001911.38-0.009 3.2G0 Sadalmelik      :alpha Aquarii  		   
064355.922-0.0004+250751.89-0.014 3.2G5 Mebsuta         :epsilon Geminorium  		   
121007.488-0.0051-223711.01+0.015 3.2K0 Minkar          :epsilon Corvi  		   
191233.286+0.0165+673941.57+0.092 3.2K0 Altais          :delta Draconis  		   
055057.596+0.0049-354606.11+0.402 3.2K0 Wazn            :beta Columbae  		   
203734.058+0.0054-471729.35+0.066 3.2K0 Al Nair         :alpha Indi  			   
035801.773+0.0043-133030.64-0.111 3.2K5 Zaurak          :gamma Eridani  		   
102219.744-0.0072+412958.28+0.035 3.2K5 Tania Australis :mu Ursa Majoris  		   
062257.618+0.0039+223048.77-0.111 3.2M0 Tejat           :mu Geminorium  		   
034714.381+0.0123-741420.26+0.114 3.2M0                        				   
181737.642-0.0106-364542.18-0.167 3.2M3                 :eta Sagittari  		   
202100.672+0.0029-144652.93+0.002 3.3+++Dabih           :beta Capricorni  		   
051255.867+0.0027-161219.99-0.027 3.3A0p                :mu Leporis  			   
185856.614-0.0003+324122.32+0.001 3.3A0pSulaphat        :gamma Lyrae  			   
064811.440-0.0097-615629.02+0.268 3.3A5                 :alpha Pictoris  		   
212839.628+0.0024+703338.67+0.008 3.3B1 Alphirk         :beta Cephei  			   
134937.015-0.0018-422825.71-0.022 3.3B2p                :mu Centauri  			   
050630.880+0.0025+411404.16-0.068 3.3B3                 :eta Aurigae  			   
124616.897-0.0070-680629.47-0.017 3.3B3                        				   
184539.383+0.0039-265926.77+0.001 3.3B8                        				   
113546.817-0.0063-630111.16-0.003 3.3B9                 :lambda Centauri  		   
044950.413+0.0313+065740.66+0.013 3.3F8                 :pi Orionis  			   
093251.414-0.1025+514038.39-0.532 3.3F8p                :theta Ursa Majoris 		   
