# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
C Western
M 192947
D 193495
D 194943
D 195094
D 194636
D 193495
D 193432
# 
# BANK SPREAD (NaaEon)
M 196662
D 196857
D 196777
# 
# BASKET FOR SILKWORM (BuuGwang)
M 173524
D 175306
D 171635
M 170073
D 175306
D 172728
D 170693
M 168151
D 172728
# 
# OFFICER FOR CART (HaeJuung)
M 181276
D 184006
D 185395
D 175535
# 
# FERRY OF SKY (CheonJin)
M 202109
D 202904
D 202444
D 199629
D 197345
D 192577
D 186882
D 194093
D 197989
D 202109
# 
# FRUIT (Gwa)
M 197963
D 196867
D 196524
D 197461
D 197963
M 196524
D 196180
# 
# SEED (PaeGwa)
M 199253
D 195943
D 196544
D 196755
D 195810
D 195943
# 
# STORAGE FOR LADY (iiJuu)
M 196758
D 196574
D 196321
D 195135
# 
# COURT LADY (SuuNyeo)
M 198026
D 198667
D 198743
D 198001
# 
# JUDGE FAULT (SaaBii)
M 216397
D 214868
# 
# AMEND FAULT (SaaWii)
M 215373
D 213420
# 
# GRANT LIFE (SaaRok)
M 214680
D 211073
# 
# PUNISH (SaaMyeong)
M 202275
D 201601
# 
# EMPTY HOUSE (Heo)
M 202447
D 204867
# 
# WEEP (Gok)
M 205767
D 206834
# 
# SOB (Eup)
M 207052
D 206301
# 
# CASTLE WITH RAMPART (CheonRuSeong)
M 200761
D 200499
D 201184
D 202320
D 203387
D 202369
D 200761
# 
# HOOK FOR DRESS (Guu)
M 207260
D 206936
D 206672
D 207330
D 205435
D 203064
D 200905
D 201251
# 
# GROOM (ChoBo)
M 210939
D 213306
D 210839
M 210745
D 213306
D 211336
# 
# OFFICE FOR CHARIOT (GeoBuu)
M 206749
D 205835
D 205512
D 206774
D 206749
D 209945
D 212120
D 213310
# 
# HUMAN (iinSeong)
M 204724
D 207089
D 208108
M 206859
D 207089
D 203504
# 
# INNER PESTLE (NaeJeo)
M 211388
D 210354
# 
# MORTAR (Gu)
M 212097
D 210027
D 206901
D 206826
# 
# WAREHOUSE OF SKY (Wii)
M 206778
D 210418
D 209750
# 
# TOMB (BunMyo)
M 213998
D 213051
D 212061
M 213052
D 212571
# 
# COVER OF HOUSE (GaeOok)
M 211391
D 209409
# 
# BROKEN MORTAR (PaeGuu)
M 197692
D 198542
D 204075
D 203638
# 
# CLIMBING SERPENT (DeungSaa)
M 221253
D 219134
D 217476
D 218376
D 221253
D 223165
D 224014
D 224572
D 219623
D 218031
D 219080
D 219734
D 222107
D 222439
D 222173
D 217675
M 216946
D 218031
D 217050
# 
# PALACE OF EMPEROR (Shil)
M 220657
D 220061
D 217906
D 215182
D 214994
M 217906
D 216131
D 215665
M 217906
D 218045
# 
# DETACHED PALACE (iiGuung)
M 220061
# 
# OFICE FOR CONSTRUCTION (TouGongRi)
M 215648
D 214923
# 
# LIGHTENING (JeonNwoe)
M 218700
D 218329
D 218918
M 218329
D 216735
D 216385
# 
# RAMPART (NuByeokJin)
M 216386
D 213320
D 209819
D 207098
D 206088
D 205637
D 206453
D 207098
# 
# TROOPS OF SKY (URimGuun)
M 1038
D 787
D 225132
D 693
D 225212
D 223559
D 222661
D 222643
D 222574
D 223024
D 223640
M 225212
D 1014
D 28
D 224926
M 352
D 224926
D 224533
M 587
D 28
D 224935
M 222661
D 222093
D 222493
D 223170
D 223524
M 222093
D 219832
D 219688
D 219449
D 219576
D 219215
D 218060
M 219832
D 219834
D 220278
D 220321
D 220704
D 221565
M 219834
D 216032
D 215167
D 215721
D 218594
D 218640
D 218240
M 219877
D 219215
# 
# VILLAGE FOR PATROL (BukRakSaMuun)
M 216956
# 
# NETOF SKY (CheonMang)
M 214748
# 
# STABLE OF SKY (CheonGu)
M 195295
D 192806
D 192685
D 192944
D 193911
D 196740
D 197752
D 198809
D 199169
D 197912
D 195295
# 
# EASTERN WALL (DongByeok)
M 358
D 886
# 
# CIVIL ENGINEER (TouGong)
M 2411
D 4676
# 
# THUNDERBOLTS (ByeokRyeok)
M 224617
D 222368
D 220954
D 219615
D 217891
# 
# CLOUDS AND RAIN (UunUu)
M 223075
D 222603
D 220825
D 218527
# 
# HIGHWAY (GaakDo)
M 15089
D 11415
D 8538
D 7927
D 6961
D 4636
D 4180
# 
# WHIP (Chaek)
M 2905
# 
# OFFICER FOR CHARIOT OF (WaangRaang)
M 5394
D 432
D 3360
M 4614
D 432
D 3712
# 
# SIDE ROAD (BuRo)
M 6811
# 
# ARMORY (Gyu)
M 4727
D 5448
D 6860
D 7034
D 7106
D 7964
D 7318
D 6903
D 5516
D 4502
D 3546
D 3627
D 3369
D 3421
D 3817
D 4727
# 
# SOUTHERN GATE OF EMPERATOR (GuunNaamMun)
M 11443
# 
# OUTER FOLDING SCREEN (WaeByeong)
M 11559
D 10380
D 9138
D 7344
D 6186
D 4656
D 2913
# 
# TOILET OF SKY (CheonHoun)
M 7804
D 5112
D 3196
D 6203
D 7672
D 7804
# 
# ARCHITECT (SaaGong)
M 4128
# 
# EMPERATOR (CheonJaangGuun)
M 13520
D 12533
D 9826
D 8799
D 9927
D 10516
M 12533
D 13041
D 13161
D 14055
D 16058
# 
# WATCHTOWER (Ruu)
M 12929
D 11636
D 11502
# 
# LEFT ELM (JwaGyeong)
M 16432
D 13555
D 14191
M 13555
D 13325
D 13596
D 14191
# 
# RIGHT ELM (UuGyeong)
M 11909
D 9780
D 9270
D 9919
D 10164
D 9780
# 
# STOREHOUSE OF SKY (CheonChang)
M 1522
D 6805
D 8512
D 11353
D 10700
D 12274
# 
# STACK OF CEREALS (CheonYu)
M 10830
D 10148
D 9132
D 10830
# 
# SHIP OF SKY (CheonSeon)
M 26764
D 26961
D 26630
D 25940
D 22928
D 22192
D 20902
D 18925
D 17506
# 
# STORE OF WATER (JeokSuu)
M 25642
# 
# MAUSOLEUM (DaeReung)
M 12303
D 17878
D 19373
D 19476
D 19356
D 19058
D 17584
D 16739
# 
# HEAP OF CORPSES (JeokShi)
# 
# STOMACH OF TIGER (Wii)
M 17573
D 17361
D 16908
D 17573
# 
# STORE OF MILLET FOR (CheonReum)
M 21754
D 21686
D 21364
D 21120
# 
# STOREHOUSE FOR CEREALS (CheonGyun)
M 18604
D 17094
D 15318
D 13611
D 12446
D 12573
D 13612
D 15779
D 16582
D 16970
D 18884
D 20630
D 22484
# 
# WHETSTONE (RyeoSeok)
M 27396
D 29094
D 30504
D 30834
# 
# ROLLED TONGUE (GwonSeol)
M 23230
D 24760
D 24912
D 24398
D 23180
D 22951
# 
# SHAMAN OF SKY (CheonCham)
M 17506
# 
# EAR AND EYE OF (Myo)
M 23850
D 23630
D 23480
D 23302
D 23408
D 23630
M 23408
D 23338
D 23288
D 23302
# 
# MOON (Wol)
M 25604
# 
# HILL OF SKY (CheonAa)
M 29763
# 
# CONSPIRACY OF SKY (CheonEum)
M 26793
D 27820
D 26722
M 26912
D 27820
D 26690
# 
# FODDER (ChuuGo)
M 16212
D 16620
D 15130
D 15798
# 
# HILL OF SKY (Cheonwon)
M 29085
D 29291
D 28028
D 27376
D 24160
D 24072
D 23319
D 22663
D 20794
D 18622
D 16815
D 15427
D 17652
D 20010
# 
# GARAGE FOR CHARIOT (OoGeo)
M 34029
D 31398
D 35497
D 40312
D 40183
D 34029
# 
# POND FOR FISH (HaamJii)
M 34759
D 34411
D 33641
# 
# PILLAR (Ju)
M 32630
D 31964
D 32068
# 
# PILLAR (Ju)
M 39003
D 38944
D 38656
# 
# PILLAR (Ju)
M 36371
D 37269
D 35600
# 
# PUDDLE OF SKY (CheonHwang)
M 34578
D 34078
D 34452
M 34334
D 34078
D 33959
# 
# KINGS (JaeWaang)
M 23985
D 25823
D 27382
D 27638
D 31592
D 32990
# 
# GATEWAY OF SKY (CheonGwan)
M 37202
# 
# FLAGE OF SAAM (SaamGii)
M 32549
D 31421
D 31283
D 31295
D 30739
D 30652
D 30836
D 31237
D 31767
# 
# VILLAGE OF SKY (CheonGa)
M 28024
D 27045
# 
# BELVEDERE OF SKY (CheonGo)
M 37711
D 36389
D 35296
D 35770
D 37711
# 
# GENERAL OF BORDER (Piil)
M 28305
D 27962
D 27697
D 27371
D 25204
M 27371
D 28052
D 28527
D 29139
D 29488
# 
# CERFICATE OF SKY (CheonJeol)
M 28910
D 28100
D 27397
M 28100
D 28355
D 29388
D 29140
D 29499
# 
# FLAG OF EMPEROR (GuuYuu)
M 31925
D 31444
D 30814
D 30606
D 30495
D 30127
D 29755
D 30238
# 
# NINE TERRITORY (GuJuJuGu)
M 30211
D 31109
D 30076
D 29065
D 26965
D 26574
D 27861
D 29248
D 29391
D 30211
# 
# GARDEN OF SKY (CheonWon)
M 25025
D 23614
D 23249
D 22049
D 20320
D 18322
D 17081
D 17206
D 17824
D 18978
D 20720
D 22203
D 23754
D 24587
D 25267
# 
# SETTLED FLAG (JwaGii)
M 43039
D 40111
D 39357
D 38751
D 36819
D 35708
D 34559
D 32301
# 
# FORCAST CALAMITY (SaaGwae)
M 39587
D 41117
D 43042
# 
# SCOUT OF THREE TROOPS (Zaa)
M 44402
D 44762
# 
# SAAM (Saam)
M 39801
D 37742
D 38771
M 35468
D 36486
D 34085
M 37742
D 37128
D 36486
# 
# EXPEDITIONARY FORCE (Beol)
M 37128
D 37018
D 37022
D 37043
# 
# WELL FOR MILLITARY (GuunJeong)
M 33802
D 33949
D 34816
D 34863
# 
# WELL OF JADE (OkJeong)
M 34503
D 33111
D 32249
D 33328
# 
# FOLDING SCREEN (Byeong)
M 32887
D 33904
# 
# TOILET (Cheuk)
M 36673
D 36079
D 38393
D 39364
# 
# ARROW (Shii)
M 36597
# 
# PILED BRUSHWOOD (JeokShin)
M 61110
# 
# STORE OF WATER (JeokSuu)
M 58142
# 
# NORTHERN RIVER (BuukHa)
M 62509
D 60178
D 58946
# 
# FIVE LORDS (OJeHuu)
M 62345
D 60522
D 58207
D 54719
D 50019
# 
# WINE GLASS OF THE SKY (CheonJuun)
M 56986
D 62721
D 60107
D 56986
# 
# EASTERN WELL (DongJeong)
M 56537
D 52973
D 49908
D 48329
M 49908
D 45542
D 44478
M 45542
D 47105
D 52973
M 47105
D 48737
M 44478
D 42995
# 
# FLOOD CONTROL (SuuBuu)
M 43153
D 42545
D 41753
D 42560
D 43153
# 
# BALANCE OF WATER (SuuWii)
M 69267
# 
# FOUR SPIRITS OF THE RIVER (SaaDok)
M 50635
D 47839
D 46300
D 44769
# 
# SOUTHERN RIVER (NamHa)
M 61421
D 58715
D 58972
# 
# TWIN GATE (GwolGu)
M 66141
D 55185
# 
# BOW (Ho)
M 63032
D 54605
D 65456
D 63032
D 59717
D 56855
D 58350
D 63700
D 67797
D 65456
# 
# STAR OF WOLF (RangSeong)
M 48915
# 
# WILD FOWLS (YaGae)
M 44743
# 
# MARKET FOR ARMY (GuunShii)
M 47205
D 47667
D 46184
D 44951
D 41695
D 41511
D 42042
D 43955
D 47205
# 
# GRANDCHILDREN (Soun)
M 52089
D 50013
# 
# SON(Za)
M 36861
D 36822
D 37160
D 36861
# 
# GROWN-UP (Zaang_iin)
M 37795
D 39425
# 
# OLD MAN (Noin)
M 45348
# 
# BEACON (Gwan)
M 74739
D 76219
D 78235
D 76813
D 74739
# 
# EYE OF SKY (Kwii)
M 74442
D 74198
D 72292
D 72094
D 74442
# 
# PILE OF DEAD (JeokShii)
M 73665
# 
# GREEN RIDGE (CheonGu)
M 91942
D 90853
D 89388
D 91465
D 93070
D 94510
D 93563
D 91942
# 
# OUTER KITCHEN (WaeJuu)
M 71155
D 67594
D 65695
D 64235
D 62902
D 61935
# 
# DOG OF SKY (CheonGu)
M 45546
D 45725
D 43232
# 
# SPIRIT OF GURYOUNG (CheonSa)
M 68273
D 74180
D 74956
D 81188
M 74956
D 71129
M 74180
D 78647
# 
# FLAG OF WINE OFFICER (JuuGii)
M 76756
D 79554
D 78316
D 76756
# 
# OFFICER OF KITCHEN (Ryu)
M 79469
D 77996
D 76294
D 74874
D 73262
D 73471
D 74280
D 75137
# 
# EQUALITY AND FAIR (NaePyeong)
M 86146
D 82741
D 87696
M 82741
D 82635
# 
# EMPEROR HEONWON (HeonWon)
M 70272
D 75506
D 76943
D 77912
D 80081
D 80493
D 81146
D 82308
D 84441
D 85503
D 89025
D 89484
D 87737
D 87901
D 83808
M 87901
D 91316
M 87901
D 87837
# 
# CAPITAL OF SKY (Seong)
M 83618
D 82446
D 81997
D 81809
D 81797
D 80586
D 80499
# 
# CHIEF OF FARMING (Jiik)
M 75691
D 74575
D 66811
D 73634
D 82434
D 74575
# 
# OFFICER OF TOMB (Jaang)
M 92214
D 90432
D 88284
D 87504
D 85444
D 83754
M 85444
D 85951
D 90432
# 
# TOMB OF SKY (CheonMyo)
M 82734
D 81799
D 80874
D 78541
D 78922
D 81169
D 82205
D 83332
D 84367
D 85859
D 85905
D 83953
D 82734
# 
# WING OF RED BIRD (iik)
M 98430
D 99211
D 97277
D 95272
D 98430
M 95272
D 93813
M 99211
D 102070
M 98430
D 95808
D 99167
D 101198
M 99167
D 100889
D 104304
M 97277
D 96202
D 96819
D 100286
M 96202
D 90610
D 94890
D 99322
D 101431
D 103192
# 
# EASTERN POTTERY (DonGu)
M 93497
D 92139
D 91504
D 91355
D 88955
# 
# CHARIOT OF EMPEROR (Jin)
M 105452
D 105707
D 106625
D 108767
D 109085
M 108767
D 109379
D 105707
# 
# SAND FOR LIFE (JangSaa)
M 105707
D 107348
# 
# GATEWAY FOR TROOPS (GuunMuun)
M 100673
D 98718
# 
# CIVIL ENGINEER (TouSaaGong)
M 93030
D 96566
D 97534
D 96918
# 
# GUARDIAN KNIGHT (NangJaang)
M 112412
# 
# THREE STEPS (SaamTae)
M 76644
D 77327
D 89021
D 89758
D 98262
D 98230
# 
# FIVE FEUDAL LORDS (OZehu)
M 106661
D 107383
D 109511
D 112033
D 114710
# 
# SANGJIIN (SangJiin)
M 109485
D 108722
D 108382
D 108381
M 108382
D 107700
D 106714
# 
# LOW FENCE (SoMii)
M 95608
D 94601
D 92125
D 90537
# 
# TALL FENCE (TaeMi)
M 97603
D 97633
D 99028
D 98664
D 102870
# 
# TALL FENCE (TaeMi)
M 107259
D 110379
D 112300
D 113226
D 114378
# 
# NINE LORDS (GuGyeong)
M 112769
D 111862
D 111067
# 
# DUNG OF TIGER (HoBuun)
M 97778
# 
# CROWN PRINCE (TeaJaa)
M 102509
# 
# CHAMBERLAIN (JongGwan)
M 101484
# 
# FIVE EMPEROR (OJe)
M 102647
D 103578
# 
# FOLDING SCREEN (Byeong)
M 104979
D 104321
D 102212
D 102124
# 
# THREE MINISTER (SaamGongNaeJwa)
M 111028
D 110411
D 110951
D 111028
# 
# OFFICER FOR AUDIENCE (AlZaa)
M 107328
# 
# GRAVE FRONT (MyeongDang)
M 100920
D 99998
D 98058
# 
# OBSERVATORY (YeongDae)
M 96097
D 95345
D 95578
# 
# FEMALE OFFICER (YeoEoGwan)
M 149681
D 152303
D 148048
D 145622
D 149681
# 
# WIDE LODGING AREA (JeonSaa)
M 12216
D 219916
D 218029
D 216228
D 209790
D 203280
D 198149
# 
# EIGHT CEREALS (PalGok)
M 30614
D 42818
D 50522
D 40035
D 34787
D 31910
D 30614
M 34787
D 31278
D 32537
# 
# ADVANCE GUARD (CheonBae)
M 160762
D 164058
D 159181
D 159541
D 163588
# 
# THREE MINISTERS (SamGong)
M 118232
D 115735
D 116957
D 118232
# 
# THREE MINISTERS (SamGong)
M 92424
D 90745
D 89822
D 92424
# 
# NORTHERN DIPPER (BukDuu)
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
# 
# HELPER (Bo)
M 116842
# 
# VIRTUE (EumDeok)
M 136064
D 132813
# 
# EMPEROR'S GOD OF WAR (Cheon_iil)
M 109551
# 
# EMPEROR'S GOD OF WEATHER (Tae_iil)
M 108907
# 
# INNER KITCHEN (NaeJuu)
M 113092
D 112429
# 
# FLAP OF FLAG (HyeonGwa)
M 133208
# 
# MINISTER (Saang)
M 102224
# 
# GENERAL AND MINISTER (TaeYaangSuu)
M 96833
# 
# JAIL OF SKY (CheonRyoe)
M 93859
D 94247
D 92095
D 90839
D 91480
D 92728
D 93859
# 
# SIX DEPARTMENT (MunChang)
M 71369
D 78362
D 81937
D 84999
D 85235
D 82328
D 78209
# 
# INNER STAIRWAY (NaeGae)
M 83489
D 82210
D 78154
D 76827
D 73108
D 72037
# 
# SPEAR OF SKY (CheonChang)
M 124674
D 126660
D 125161
# 
# COVER FOR EMPEROR (HwaGae)
M 206952
D 209369
D 205021
D 206952
D 210807
D 214470
D 218658
D 222404
D 209369
D 218658
M 214470
D 209369
D 210807
# 
# PLACE FOR FIVE EMPEROR (OJeJwa)
M 181984
D 174980
D 170153
M 176524
D 174980
D 175286
# 
# 60 YEARS (YuukGaap)
M 192907
# 
# KITCHEN OF SKY (CheonJu)
M 182564
D 180711
D 185144
D 188119
D 190940
D 182564
# 
# NORTH POLE (BukGeuk)
M 137422
D 131873
D 127700
D 124547
D 112028
# 
# WOUND LODGE (GuJiin)
M 216446
D 5848
D 8890
D 166205
D 153751
D 142105
# 
# SINGLE-LOG BRIDGE (Gaang)
M 199095
D 196787
D 199437
D 203501
D 205072
D 201908
D 203399
# 
# GREAT EMPEROR (CheonHwangTaeJae)
M 217382
# 
# OFFICER FOR OPINION (SaangSeo)
M 138852
D 141653
D 137443
M 137389
D 141653
D 138265
# 
# PILLAR OF SKY (CheonJu)
M 146603
D 147662
D 148293
M 145454
D 147662
D 149212
D 148293
# 
# SECRETARY (JuHaSa)
M 162003
# 
# MAID (YeoSa)
M 162004
# 
# DESK OF WOMAN (YeoSaang)
M 157779
D 156729
D 156283
# 
# JUDGE PRISON (DaeRii)
M 102328
D 103605
D 99747
# 
# PURPLE FENCE (JaMi)
M 170000
D 160922
D 155763
D 148387
D 144284
D 137759
D 123299
# 
# PURPLE FENCE (JaMi)
M 109387
D 100029
D 92523
D 83506
D 49878
D 33564
# 
# ORDER OF SKY (CheonGii)
M 169702
D 168775
D 166229
D 167006
D 164136
D 163993
D 161797
D 158899
D 156164
# 
# SEVEN MINISTER (ChilGong)
M 135722
D 137391
D 142373
D 145389
D 147394
D 149630
D 150997
# 
# 
# THREAD STRAW (GwanSak)
M 143807
D 143107
D 141714
D 140436
D 139006
D 137909
D 138749
# 
# MARKET FENCE (CheonShi)
M 155125
D 159876
D 163917
D 168723
D 173370
D 175638
D 177724
D 173667
D 169414
D 166182
D 164669
# 
# MARKET FENCE (CheonShi)
M 148856
D 147547
D 145001
D 142860
D 141003
D 138917
D 140573
D 141795
D 146051
D 146791
D 149757
# 
# FEUDAL LORD (Huu)
M 159561
# 
# SEAT FOR EMPEROR (JaeJwa)
M 156014
# 
# ROYAL FAMILY (JongSeong)
M 165777
D 165760
# 
# HEAD OF FAMILY (JongJeong)
M 161096
D 161868
# 
# RECORD OF FAMILY (Jong_iin)
M 164284
D 165341
D 164577
M 165341
D 164353
# 
# OFFICER FOR FAMILY (JongDaeBuu)
M 171802
D 171834
D 168656
D 168387
D 171802
# 
# TOWER IN MARKET (ShiRuu)
M 155970
D 155078
D 159975
D 159170
D 157950
D 156928
D 155970
# 
# MEASURE CEREAL (Gok)
M 148857
D 147449
D 145892
D 147869
# 
# CEREAL MEASURE REGULATION (Duu)
M 153210
D 152614
D 151217
D 151956
D 151525
# 
# EUNUCH (HwanJaa)
M 156681
D 155644
D 154494
D 154143
# 
# OFFICER FOR CHARIOTS (GeoSaa)
M 156266
D 151769
# 
# MEASURE AMOUNT (BaekTaak)
M 169191
D 166230
# 
# BUTCHERY (DoSaa)
M 176411
D 173880
# 
# OFFICER FOR JEWEL (YeolSaa)
M 148112
D 149161
# 
# ROYAL (JwaHaal)
M 109085
# 
# LORD (UuHaal)
M 105452
# 
# LEFT EXECUTOR (JwaJipBeop)
M 107259
# 
# RIGHT EXECUTOR (UuJipBeop)
M 102870
# 
# CROSSBEAM FOR HEO (HeoRyang)
M 212320
D 211838
D 211392
D 210424
# 
# THREADING COINS (CheonJeon)
M 210960
D 212010
D 212643
D 212271
D 211291
D 210848
D 210244
D 210960
# 
# 
C Lakota
# HAND
M 33111
D 35411
D 36486
D 37128
D 37742
D 37043
M 37128
D 34085
# 
# SNAKE
M 67523
D 63700
D 62623
D 58350
D 54605
D 53138
D 52089
D 50013
D 45813
D 44402
D 44762
D 43785
D 40494
D 37795
D 36597
D 39425
D 40494
# 
# FIREPLACE
M 87901
D 89484
D 89025
D 85503
D 84441
# 
# DIPPER
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
# 
# RACE TRACK
M 34029
D 23850
D 34085
D 48915
D 61421
D 62509
D 60178
D 40183
D 34029
# 
# ANIMAL
M 39801
D 36486
D 34085
D 37128
D 39801
D 37742
D 34085
M 23850
D 36486
D 37128
D 37742
D 48915
# 
# ELK
M 6118
D 7318
D 9270
D 12446
D 6186
D 4656
D 224617
M 9270
D 6186
# 
# SEVEN LITTLE GIRLS
M 23850
D 23862
D 23630
D 23338
D 23302
D 23480
D 23630
D 23850
# 
# DRIED WILLOW
M 13161
D 11443
D 13869
D 13161
M 12929
D 11636
D 11502
D 12929
# 
# SALAMANDER
M 197345
D 194093
D 188484
M 186882
D 194093
D 197989
# 
# TURTLE
M 886
D 4502
D 358
D 886
D 218045
D 215665
D 217906
D 218045
M 217906
D 358
# 
# THUNDERBIRD
M 137759
D 144284
D 148387
D 155763
D 174123
D 159181
D 164058
D 174123
D 180711
D 188119
D 170153
D 174123
D 131873
D 137422
D 174123
# 
# BEAR'S LODGE
M 60178
D 54719
D 48329
D 52973
D 56986
D 62345
D 62509
D 60178
# 
# 
C Maori
# TAKI-O-AUTAHI
M 108903
D 108249
M 111123
D 106490
# 
# TE TAURA-O-TE-WAKA-O-TAMARERETI
M 128620
D 122451
# 
# TAU-TORO
M 37742
D 37128
D 36486
# 
# THE GREAT BOAT OF TAMA RERETI
M 151680
D 151890
D 152334
D 155203
D 159532
D 161471
D 160578
D 158926
D 158408
# 
# MATAKAREHU
M 29139
D 28319
D 27371
D 27697
D 28305
# 
# THE SAIL OF TAINUI
#M 29139
#D 28319
#D 27371
#D 27697
#D 28305
#M 29139
#D 28305
#M 27371
#D 36486
#M 23302
#D 27371
#M 37742
#D 37128
#D 36486
# 
# 
C Navaro
# REVOLVING MALE
# 
# REVOLVING FEMALE
# 
# MAN WITH FEET APART
M 110379
D 114330
D 110014
D 108767
D 109379
D 111597
M 109379
D 105707
D 105452
D 103192
M 105707
D 106625
D 107038
D 100889
M 107038
D 108510
D 110014
M 108510
D 108643
D 106952
D 106775
D 109756
D 109685
D 108643
# 
# LIZARD
M 16895
D 12740
D 9927
M 16895
D 14164
D 12533
M 9927
D 10516
D 12303
M 9927
D 5448
D 1280
M 5448
D 3369
D 224882
D 217906
D 358
D 3627
D 6860
D 7106
M 6860
D 12533
D 13161
D 14055
# 
# DILYEHE
M 23850
D 23862
D 23630
D 23850
M 23630
D 23480
D 23302
D 23338
D 23630
# 
# FIRST BIG ONE
M 147575
D 148743
D 148804
D 146051
D 145937
D 147575
D 147082
D 144069
D 138905
D 142198
D 139063
D 136422
M 144069
D 143275
D 143018
D 142669
D 141556
D 143118
M 142669
D 149438
D 151680
D 151890
M 149438
D 148898
D 148786
D 149757
D 155125
D 149757
D 147082
# 
# RABBIT TRACKS
M 158408
D 160578
D 158926
M 160578
D 161471
# 
# FIRST SLIM ONE
M 31421
D 30652
D 30836
D 31237
M 40932
D 39801
D 40932
D 40086
D 41076
D 42770
D 42035
D 40932
D 39801
D 36861
D 39801
D 35468
M 39801
D 36486
D 35411
D 34085
M 36486
D 37128
D 37742
D 39801
M 37742
D 36960
D 38771
# 
# 
# 
C Norse
# AURVANDIL'S TOE
M 138749
D 137909
D 139006
D 140436
D 141714
D 143107
D 143807
# 
# WOLF'S MOUTH
M 29139
D 28319
D 27371
D 27697
D 28305
# 
# THE FISHERMEN
M 37742
D 37128
D 36486
# 
# WOMAN'S CART
M 142105
D 148048
D 137422
D 131873
D 142105
D 153751
D 166205
D 8890
# 
# MAN'S CART
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
# 
# THE ASAR BATTLEFIELD
M 35497
D 40312
D 40183
D 34029
D 32068
D 31398
D 35497
# 
# 
C Polynesian
# BAILER
M 48915
D 61421
D 62509
D 60178
D 40183
D 34029
D 31398
D 35497
D 40312
D 40183
# 
# CAT'S CRADLE
M 39801
D 35468
D 34085
D 38771
D 39801
M 39801
D 37128
D 34085
M 35468
D 37128
D 38771
# 
# VOICE OF JOY
M 109379
D 108767
D 106625
D 105707
D 109379
# 
# THE SEVEN
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
# 
# MAUI'S FISHHOOK
M 158926
D 160578
D 161471
D 159532
D 155203
D 152334
D 151890
D 151680
D 149438
D 148478
D 144218
D 143275
# 
# NAVIGATOR'S TRIANGLE
M 187642
D 197345
D 172167
D 187642
# 
# KITE OF KAWELO
M 358
D 217906
D 218045
D 886
D 358
# 
# FRIGATE BIRD
M 11415
D 8538
D 5394
D 3712
D 432
# 
# CARED FOR BY MOON
M 108903
D 108249
M 111123
D 106490
# 
# DOLPHIN
M 195810
D 196524
D 196775
D 197964
D 197461
D 196524
# 
# 
C Tupi-Guarani
# EMA(GUIRA-NHANDU)
M 144217
D 143275
M 144470
D 143275
D 143018
D 142669
D 141556
D 138690
D 134505
D 135379
D 125628
D 110829
D 108248
D 109668
D 110879
D 113904
D 116243
D 129422
D 141891
D 145544
D 151249
D 152786
D 152980
D 158427
D 166006
D 165189
M 166006
D 163376
M 166006
D 163145
M 152980
D 152824
D 152334
D 151890
D 151680
D 149438
D 148478
D 147165
D 143275
M 152334
D 155203
D 159532
D 161471
D 160578
M 161471
D 158926
M 145502
D 144470
M 161892
D 161471
D 160668
M 160578
D 158926
# 
# HOMEM VELHO (TUIVAE)
M 35468
D 36486
D 37128
D 37742
D 38771
M 35468
D 39801
M 29139
D 35468
M 29139
D 28319
M 29139
D 28305
D 27697
D 27371
D 28319
M 27697
D 23850
M 30652
D 30739
D 31295
M 30652
D 30836
M 31237
D 30836
M 33276
D 32549
M 33276
D 33554
M 31295
D 32549
M 34085
D 33111
M 32549
D 31295
M 31237
D 33111
# 
# ANTA DO NORTE (TAPI'I)
M 210745
D 216228
M 210745
D 207260
D 203280
M 210745
D 213306
D 218376
D 432
D 3712
D 3901
D 4614
M 3901
D 223047
D 222107
D 212120
D 205835
D 202850
M 205835
D 205512
M 202850
D 202444
M 8538
D 5394
M 202850
D 199629
D 198639
D 197345
D 198478
D 200905
D 200120
M 208095
D 210745
M 207330
D 208095
M 207330
D 200120
M 432
D 2905
D 4775
D 6972
M 5394
D 432
# 
# VEADO
M 108248
D 107446
D 106490
D 111123
D 108903
M 108248
D 106983
D 110879
D 112985
D 109668
D 105211
D 109026
D 102249
D 101379
D 93030
D 90589
D 89080
D 91056
D 85123
D 80007
D 84810
D 89388
D 80404
D 79351
D 74956
M 68273
D 73634
D 74772
D 78647
D 82434
M 78647
D 79940
M 78647
D 79186
D 78004
D 81188
D 86440
M 68273
D 70930
D 72108
D 73155
D 74753
D 74956
M 74753
D 78004
M 86440
D 91324
D 98718
D 107079
D 108903
# 
# JOYKEXO
M 37742
D 37128
D 36486
# 
# VESPEIRO (EIXU)
M 23850
D 23630
D 23480
D 23408
M 23630
D 23302
M 23408
D 23338
M 23408
D 23432
# 
# QUEIXADA DA ANTA (TAPI'I RAINHYKA)
M 29139
D 28305
D 27697
D 27371
D 28319
D 29139
#
#
