# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
C Western
D 81188
D 86440
D 93497
D 92139
D 91504
D 88955
D 82434
D 78647
D 74772
D 73634
D 68243
# 
# Virgo
M 102212
D 102870
D 107259
D 110379
D 114330
D 116658
D 118098
D 112300
D 110379
M 112300
D 113226
M 116658
D 124850
D 129502
M 118098
D 122408
D 130109
# 
# Volans
M 78045
D 71878
D 68520
D 63295
M 55864
D 63295
D 57623
# 
# Vulpecula
M 180968
D 183439
D 187811
#
#
C Chinese
# NORTHERN DIPPER
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
# 
# CURVED ARRAY
M 142105
D 153751
D 166205
D 8890
D 5848
D 217382
# 
# COILED THONG
M 138749
D 137909
D 139006
D 140436
D 141714
D 143107
D 143807
# 
# WINGS
M 103632
D 102070
D 99211
D 95272
D 93813
M 102070
D 98991
D 95272
M 99211
D 98430
D 99167
D 100889
M 98991
D 97277
D 96202
# 
# CHARIOT
M 109379
D 108767
D 106625
D 105707
D 105452
# 
# TAIL
M 151680
D 151890
D 152334
D 155203
D 159532
D 161471
D 160578
D 158926
M 160578
D 158408
# 
# WINNOWING BASKET
M 167618
D 169022
D 168454
D 165135
# 
# DIPPER
M 176687
D 177716
D 175191
D 173300
D 169916
D 167264
# 
# DRUM
M 188512
D 187642
D 186791
# 
# THREE STEPS
M 76644
D 77327
D 89021
D 89758
D 94264
D 94600
# 
# IMPERIAL GUARDS
M 129056
D 130807
D 133242
D 135734
D 136504
D 133955
D 132058
D 132200
D 136298
D 138690
# 
# HORN
M 116658
D 118098
M 119149
D 114330
# 
# WILLOW
M 79469
D 77996
D 76294
D 74874
D 73262
D 73471
D 74280
D 75137
# 
# IMPERIAL PASSAGEWAY
M 175865
D 180163
D 180809
D 187013
# 
# KITCHEN
M 180711
D 185144
D 188119
D 190940
D 182564
# 
# RIVER TURTLE
M 169467
D 176638
D 177873
D 178345
D 178253
D 177474
D 175813
D 172777
D 170845
D 169467
# 
# STOMACH
M 17573
D 17361
D 16908
# 
# GREAT GENERAL
M 10516
D 9927
D 10072
D 9826
D 10205
D 13161
D 13869
D 14055
D 12533
D 10516
# 
# WALL
M 358
D 886
# 
# LEGS
M 4727
D 3369
D 3627
D 3546
D 4502
D 5516
D 7087
D 7318
D 7964
D 8126
D 7106
D 7034
D 6860
D 5448
D 4727
# 
# ROOT
M 130841
D 134759
D 138905
D 135742
# 
# RAMPARTS
M 207098
D 206453
D 205637
D 206088
D 207098
D 209819
D 213320
D 216386
D 219215
D 224533
D 224926
D 28
D 224935
D 224533
# 
# FLYING CORRIDOR
M 15089
D 11415
D 8538
D 7927
D 6961
D 4636
D 4180
# 
# OUTER FENCE
M 12446
D 11559
D 10380
D 9138
D 7344
D 6186
D 4656
# 
# FORD
M 202109
D 202904
D 202444
D 199629
D 197345
D 192577
D 186882
D 194093
D 197989
D 202109
# 
# SEVEN EXCELLENCIES
M 135722
D 137391
D 138481
D 142373
D 145389
D 147394
D 150450
# 
# MARKET
M 156164
D 158899
D 161797
D 166014
D 175492
D 177724
D 175638
D 173370
D 168723
D 163917
D 159876
D 155125
M 149757
D 148367
D 146791
D 146051
D 141795
D 140573
D 138917
D 141003
D 142860
D 145001
D 147547
D 148856
# 
# FIVE CHARIOTS
M 35497
D 40312
D 40183
D 34029
D 31398
# 
# ROLLED TONGUE
M 23230
D 24760
D 24912
D 24398
D 23180
D 22951
# 
# NET
M 29139
D 28319
D 27371
D 25204
M 28305
D 27697
D 27371
# 
# TOILET
M 36673
D 36079
D 38393
D 39364
# 
# SCREEN
M 33904
D 32887
# 
# SOLDIERS' MARKET
M 44743
D 46328
D 50877
D 51199
D 50707
D 47442
D 44743
# 
# SQUARE GRANARY
M 1522
D 6805
D 8512
D 11353
D 10700
D 12274
D 9132
M 12274
D 11930
# 
# THREE STARS
M 39801
D 37742
D 38771
M 35468
D 36486
D 34085
M 37742
D 37128
D 36486
# 
# FOUR CHANNELS
M 52960
D 49161
D 46300
D 44769
# 
# WELL
M 56537
D 52973
D 49908
D 48329
M 48737
D 47105
D 45542
D 44478
M 52973
D 47105
M 49908
D 45542 
# 
# SOUTH RIVER
M 61421
D 58715
D 58367
M 58715
D 58972
# 
# NORTH RIVER
M 62509
D 62044
D 60178
D 58946
# 
# FIVE FEUDAL KINGS
M 64145
D 60522
D 58207
D 54719
D 50019
# 
# ORCHARD
M 29085
D 29291
D 28028
D 27376
D 24160
D 24072
D 23319
D 18622
D 16754
D 15371
D 14228
D 11937
D 9362
# 
# MEADOWS
M 25025
D 23614
D 23249
D 22049
D 20320
D 18322
D 17081
D 17206
D 17824
D 18978
D 20720
D 22203
D 23754
D 24587
D 25267
# 
# CIRCULAR GRANARY
M 16582
D 16970
D 16161
D 15318
D 13611
D 17094
D 18604
D 20630
D 18884
# 
# PURPLE PALACE
M 123299
D 109387
D 100029
D 82210
D 49340
D 30614
D 20336
M 4382
D 218658
D 196502
D 176524
D 155763
D 148387
D 144284
D 137759
# 
# EXTENDED NET
M 92214
D 90432
D 88284
D 87504
D 85444
D 83754
M 90432
D 85951
D 85444
# 
# ARSENAL
M 121263
D 127972
D 123139
D 120323
D 117440
D 110304
D 109787
D 108483
# 
# HOOK
M 195725
D 198149
D 203280
D 209790
D 216228
D 218029
D 219916
# 
# SUPREME PALACE
M 114378
D 113226
D 112300
D 110379
D 107259
M 102870
D 98664
D 99028
D 97633
D 97603
# 
# JADE WELL
M 34503
D 33111
D 32249
D 33328
# 
# LANCE
M 127665
D 128167
D 129988
D 129712
# 
# BOAT
M 17506
D 18925
D 20902
D 21071
D 22192
D 22928
D 25940
D 26630
D 26961
D 26764
# 
# MAUSOLEUM
M 12303
D 17878
D 19373
D 19476
D 19356
D 19058
D 17584
D 16739
# 
# DOG
M 73634
D 74772
D 74006
D 74575
D 75691
M 74575
D 76483
# 
# EARTH GOD'S TEMPLE
M 68273
D 74180
D 74272
D 74956
D 81188
D 82668
# 
# BOW AND ARROW
M 52089
D 50013
D 56855
D 63032
D 65456
D 63462
D 61555
D 58350
D 52089
M 63465
D 63032
D 61330
D 58350
D 56618
D 54605
# 
# PESTLE
M 211388
D 210459
# 
# MORTAR
M 212097
D 210027
D 206901
D 206826
# 
# ROOFTOP
M 206778
D 210418
D 209750
D 209409
# 
# THUNDERBOLT
M 224617
D 222368
D 220954
D 219615
D 217891
# 
# CHARIOT YARD
M 216397
D 214868
D 212120
D 205435
D 200120
D 200905
D 205835
# 
# GOOD GOURD
M 196867
D 197963
D 197461
D 196524
D 196867
# 
# ROTTEN GOURD
M 195325
D 195810
D 196544
D 196725
D 195943
D 195810
# 
# ENCAMPMENT
M 218045
D 217906
# 
# THUNDER AND LIGHTNING
M 214923
D 215648
D 216385
D 218329
D 220363
D 221115
# 
# PALACE GATE
M 55185
D 49293
# 
# EMPTINESS
M 202447
D 204867
# 
# WEAVING GIRL
M 173582
D 172167
D 173649
# 
# GIRL
M 198026
D 198743
D 198001
# 
# OX
M 192947
D 193495
D 194943
# 
# HEART
M 149438
D 148478
D 147165
# 
# ROOM
M 142669
D 143018
D 143275
D 144218
# 
# SPRING
M 181869
D 181454
D 181623
# 
# ESTABLISHMENT
M 181615
D 181577
D 180540
D 178524
D 177241
D 175687
# 
# FLAIL
M 160762
D 164058
D 159181
D 159560
D 163588
# 
# SPEAR
M 124674
D 125161
D 126660
# 
# RIGHT FLAG
M 184406
D 185507
D 182640
D 182835
D 184930
D 184915
# 
# LEFT FLAG
M 185958
D 187076
D 189319
D 192425
# 
# DRUMSTICK
M 187929
D 191692
# 
# BOND
M 12929
D 11636
D 11502
# 
# WOMAN'S BED
M 163770
D 156633
D 153808
D 150680
D 147677
# 
# WESTERN DOOR
M 145570
D 142983
D 142198
# 
# EASTERN DOOR
M 148898
D 147700
D 148184
D 148786
# 
# FARMLAND
M 122408
D 118022
# 
# STAR
M 83618
D 82446
D 81997
D 81797
D 80499
D 80586
D 81797
# 
# GHOSTS
M 74442
D 74198
# 
# XUANYUAN
M 83808
D 87901
D 87737
D 89484
D 89025
D 85503
D 84441
D 82308
D 81146
D 80493
D 80081
D 77912
D 76943
# 
# TRIPOD
M 114710
D 112989
D 113996
# 
# NECK
M 126868
D 124850
D 124294
D 125337
# 
# ZAOFU
M 207260
D 206936
D 210745
D 211336
D 214665
# 
# MARKET OFFICER
M 171443
D 172748
D 173009
D 173819
D 173764
D 175751
D 176678
D 177756
# 
# BANNER OF THREE STARS
# 
# 
# 
C Egyptian
# BULL'S FORELEG
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
# 
# TWOPOLES
M 180711
D 137759
D 144284
D 148387
D 155763
M 192907
D 131873
D 123299
D 137422
D 131873
# 
# LION
M 84441
D 85503
D 89025
D 89484
D 87737
D 87901
M 83808
D 87901
D 97633
D 97603
M 102647
D 97603
D 95608
D 87737
# 
# TWOJAWS
M 11415
D 8538
D 5394
D 3712
D 432
# 
# SAH
M 30652
D 30836
D 31237
D 33111
D 33802
D 33949
D 33904
D 32887
D 36079
D 36673
D 38771
D 37016
D 37742
D 39801
D 37490
D 36486
D 35411
D 35369
D 34085
D 33111
M 32887
D 29291
M 36079
D 36597
M 38771
D 40136
D 38393
M 40136
D 43232
D 45725
M 36486
D 37128
D 37742
M 33904
D 36673
# 
# BIRD
M 11443
D 14055
D 17584
D 19356
D 23193
D 24912
D 22846
D 26630
D 25642
D 20902
D 17506
D 16895
D 19476
D 13161
D 11443
# 
# SEK
M 69267
D 73471
D 81797
D 85444
D 90432
D 96202
D 100407
D 99211
D 98430
D 83618
D 79469
D 77996
D 69267
# 
# TRIANGLE
M 48915
D 53244
D 50778
D 48915
# 
# FERRY BOAT
M 68243
D 66811
# 
# BOAT
M 207098
D 206088
D 204381
D 204075
D 200914
D 198542
D 197692
D 193495
D 192947
M 206356
D 203387
M 203705
D 201381
D 199285
# 
# CROCODILE
M 168775
D 160542
D 143894
D 140159
D 141477
D 148856
D 156164
D 158899
D 161797
D 166014
D 168775
# 
# SELKIS
M 102212
D 98664
D 100920
D 110379
D 116658
D 118098
D 112300
D 110379
M 112300
D 113226
M 118098
D 130109
M 116658
D 130841
# 
# PROW
M 160578
D 158926
D 159532
D 155203
D 152334
D 151680
D 148478
D 147165
D 143275
M 144218
D 143275
D 143018
# 
# HORUS
M 82328
D 76644
D 75506
D 76943
