034416.528+0.0066-542840.26+0.114 7.2K0 
041556.639+0.0850-531833.59+0.410 7.2K0 
044806.692-0.0005-632849.35-0.013 7.2K0 
053424.576+0.0013-523743.40+0.040 7.2K0 
053907.064+0.0004-585727.61+0.034 7.2K0 
055456.322+0.0012-593628.93+0.034 7.2K0 
060515.309-0.0004-542431.34-0.003 7.2K0 
004625.267+0.0089-575539.89-0.008 7.2K0 
070329.623+0.0007-555654.82+0.018 7.2K0 
071059.948+0.0004-675739.13+0.018 7.2K0 
082012.310+0.0002-420333.09-0.017 7.2K0 
122831.478-0.0048-605344.95-0.023 7.2K0 
184635.084+0.0007-315426.65-0.007 7.2K0 
084621.567-0.0040-335407.90+0.014 7.2K0 
134959.478-0.0048-323956.74-0.026 7.2K0 
023753.043-0.0034-334039.08-0.012 7.2K0 
182703.804-0.0001-312223.24-0.031 7.2K0 
061627.207-0.0011-352551.50+0.023 7.2K0 
065011.218+0.0008-390318.06-0.026 7.2K0 
175141.616-0.0057-362802.41+0.012 7.2K0 
175403.917+0.0030-351222.39-0.094 7.2K0 
175958.027+0.0001-390345.77-0.007 7.2K0 
182336.538-0.0024-385113.01-0.002 7.2K0 
220204.876+0.0027-353249.27-0.046 7.2K0 
135756.448-0.0053-534216.65-0.020 7.2K0 
063526.757-0.0035+803424.16+0.010 7.2K0 
222248.244+0.0280+850342.58+0.019 7.2K0 
181246.256-0.0065+812835.09+0.030 7.2K0 
094342.704-0.0006+340550.20+0.009 7.2K0 
122449.054-0.0038+310202.01+0.005 7.2K0 
211002.168+0.0016+321221.24+0.005 7.2K0 
213804.466+0.0003+330728.28-0.001 7.2K0 
215005.269+0.0017+315052.83+0.009 7.2K0 
232345.345+0.0000-082736.61-0.021 7.2K0 
102847.931-0.0031-571359.90+0.008 7.2K0 
042319.705-0.0004-074217.35-0.010 7.2K0 
084635.416-0.0016-083828.31-0.020 7.2K0 
181808.531+0.0009-083800.77+0.003 7.2K0 
093118.849-0.0020-031919.92-0.011 7.2K0 
111246.361-0.0010-050701.18+0.005 7.2K0 
120812.571+0.0010-041712.83+0.015 7.2K0 
141141.610-0.0038-055127.11-0.001 7.2K0 
154527.620-0.0021-060843.48-0.003 7.2K0 
013449.094+0.0048+201020.75-0.059 7.2K0 
152950.754-0.0011+183000.01+0.015 7.2K0 
193049.653-0.0005+181501.99-0.010 7.2K0 
200913.442+0.0012+190423.37+0.001 7.2K0 
201656.538+0.0007+164556.98-0.008 7.2K0 
211741.617+0.0014+200022.21+0.002 7.2K0 
234016.476+0.0025+181252.04+0.000 7.2K0 
080406.034-0.0068+134114.97+0.058 7.2K0 
072718.933+0.0002+012708.04-0.027 7.2K0 
204827.828-0.0012+014321.83-0.034 7.2K0 
161311.210-0.0038-003109.63-0.027 7.2K0 
231920.257+0.0030+071253.50-0.015 7.2K0 
173955.965-0.0020+074804.19-0.013 7.2K0 
214159.908-0.0024+185618.65-0.063 7.2K0 
063927.290-0.0001-120207.68-0.007 7.2K0 
083753.088-0.0002-124222.09-0.007 7.2K0 
130212.800-0.0069-120631.99+0.038 7.2K0 
181950.041-0.0014-174502.70-0.003 7.2K0 
043804.236+0.0002-174858.27-0.012 7.2K0 
163834.646-0.0019-184931.46+0.006 7.2K0 
164404.679-0.0010-183228.43-0.006 7.2K0 
071704.306-0.0037-211122.75-0.103 7.2K0 
103442.059-0.0005-221211.28+0.003 7.2K0 
205221.529-0.0013-211351.52+0.003 7.2K0 
220738.336+0.0016-204532.69-0.021 7.2K0 
000722.508+0.0092+262702.81-0.109 7.2K0 
220707.314+0.0012+301902.52-0.024 7.2K0 
081736.267+0.0006+245012.55-0.027 7.2K0 
102615.401+0.0009+244255.12-0.004 7.2K0 
114912.437+0.0017+280717.35+0.002 7.2K0 
121027.835-0.0025+290406.20+0.006 7.2K0 
132346.779-0.0032+253252.26+0.008 7.2K0 
