M  6.31500  36.0000
D  6.28583  36.3411
D  6.24861  36.7781
D  6.21139  37.2133
D  6.17750  37.3381
D  6.14389  37.4614
D  6.08361  37.5289
D  6.06000  38.0517
D  6.02083  38.4778
D  5.99667  38.9986
D  5.95667  39.4217
D  5.91667  39.8428
D  5.86083  40.1622
D  5.83472  40.6778
D  5.79306  41.0917
D  5.76639  41.6047
D  5.75278  41.8611
S  4.95472  36.4503
D  4.98028  36.0000
M  5.75278  41.8611
D  5.71000  42.2700
D  5.67444  42.7281
D  5.63056  43.1317
D  5.58611  43.5325
D  5.53333  43.8764
D  5.48778  44.2700
D  5.45722  44.7700
D  5.41861  45.2133
D  5.35556  45.4864
D  5.31583  45.5636
D  5.29194  45.7525
S  4.92528  37.6997
D  4.93694  37.0442
D  4.95472  36.4503
M  5.29194  45.7525
D  5.25194  45.8253
D  5.21194  45.8953
D  5.15417  45.7050
D  5.09694  45.5086
D  5.05167  45.1472
D  4.98361  45.0972
D  4.92750  44.8822
D  4.88778  44.9281
D  4.84806  44.9711
D  4.80833  45.0108
S  4.64333  39.6197
D  4.69028  39.3008
D  4.73694  38.9772
D  4.78306  38.6489
D  4.84167  38.4431
D  4.88694  38.1047
D  4.92528  37.6997
M  4.80833  45.0108
D  4.76833  45.0475
D  4.71722  45.3736
D  4.67694  45.4031
D  4.63667  45.4294
D  4.59639  45.4525
D  4.53000  45.6253
D  4.46278  45.7889
S  4.36361  40.7208
D  4.40083  40.7158
D  4.43806  40.7078
D  4.47528  40.6969
D  4.53028  40.4631
D  4.56556  40.0217
D  4.61306  39.7108
D  4.64333  39.6197
M  4.46278  45.7889
D  4.42306  46.2219
D  4.36861  46.5117
D  4.32750  46.9369
D  4.30667  47.1483
S  4.14139  40.2644
D  4.19028  40.5628
D  4.22722  40.5722
D  4.26444  40.5783
D  4.30139  40.5814
D  4.36361  40.7208
M  4.30667  47.1483
D  4.30667  47.5725
D  4.33444  48.1389
D  4.37722  48.5614
D  4.39222  49.2672
D  4.42222  49.8289
D  4.43833  50.5331
D  4.40194  51.0339
D  4.34194  51.3208
D  4.29667  51.3194
D  4.23694  51.0289
D  4.19333  50.5944
D  4.15056  50.1564
