232756.528+0.0017-151758.74-0.025 6.9K5                 
233526.900+0.0003+083110.44-0.016 6.9K5                 
041220.391-0.0007-042438.07-0.007 6.9K5                 
053843.777+0.0036+415021.20-0.038 6.9K5                 
054511.519-0.0002+184216.10+0.004 6.9K5                 
015117.077+0.0010+645115.54-0.026 6.9K5                 
225725.757+0.0032+430046.58+0.011 6.9K5                 
235304.882+0.0010+604216.49-0.001 6.9K5                 
072740.539-0.0009+220828.34-0.013 6.9K5                 
123843.331-0.0031-042225.09-0.005 6.9K5                 
045649.504-0.0007+554926.49-0.028 6.9K5                 
110619.659-0.0007-502648.07+0.032 6.9K5                 
175707.501+0.0005-235619.95+0.013 6.9K5                 
180834.752+0.0009-750618.33-0.024 6.9K5                 
103958.419+0.0001-491647.16+0.025 6.9K5                 
104301.094-0.0005-490325.45+0.034 6.9K5                 
170808.362-0.0006-485301.28-0.026 6.9K5                 
025106.246+0.0003-405747.63+0.001 6.9K5                 
100544.243-0.0026-611019.79+0.014 6.9K5                 
135459.399-0.0017-550117.41+0.009 6.9K5                 
185545.618+0.0004-562524.82-0.008 6.9K5                 
234417.464+0.0032-642021.40+0.008 6.9K5                 
063327.201-0.0002-321335.87-0.006 6.9K5                 
071619.370-0.0004-320234.51-0.053 6.9K5                 
070827.719-0.0007-183612.02+0.011 6.9K5                 
010821.831-0.0002+095429.99+0.003 6.9M0                 
100745.845-0.0016-073753.16-0.036 6.9M0                 
101717.635-0.0077+412802.38-0.021 6.9M0                 
164042.682+0.0025+724018.03+0.006 6.9M0                 
021757.284+0.0011+290026.46-0.003 6.9M0                 
200342.325+0.0022+212947.64+0.011 6.9M0                 
023430.882+0.0210+764304.85-0.054 6.9M0                 
222503.394+0.0056+511521.58+0.029 6.9M0                 
232535.986-0.0019+525846.31-0.010 6.9M0                 
233256.638+0.0063+460723.69-0.018 6.9M0                 
045709.491-0.0012+590713.57-0.019 6.9M0                 
070716.864-0.0002+241005.03-0.036 6.9M0                 
071157.028-0.0012+494723.95-0.017 6.9M0                 
115813.944+0.0007+032855.29-0.006 6.9M0                 
234220.812+0.0004+643055.81-0.002 6.9M0                 
064417.434-0.0016+403722.52-0.155 6.9M0                 
124113.828-0.0013-275429.31+0.003 6.9M0                 
010424.120+0.0078-475626.63+0.000 6.9M0                 
113732.633+0.0012-392132.53-0.017 6.9M0                 
123000.253-0.0043-425546.68-0.003 6.9M0                 
124313.104+0.0005-245925.16-0.004 6.9M0                 
180615.665-0.0002-462832.44-0.010 6.9M0                 
