I 605 102224.1 +011156 14.6  8   0.6   0.5  12  30363 UGC 5606              
I 606 102332.6 +105735 15.3  8   0.5   0.3  30  30448 NGC 3217              
I 607 102408.5 +164430 14.6  8   1.3   0.9 105  30496 UGC 5628              
I 608 102421.0 -060222 15.2  8   0.8   0.4 108  30500 MCG -1-27-8           
I 609 102535.4 -021251 14.2  8   1.5   0.7  28  30600 UGC 5641              
I 610 102628.4 +201337 14.8  8   1.8   0.3  29  30670 IC 611                
I 611 102628.4 +201337 14.8  8   1.8   0.3  29  30670 IC 610                
I 612 102705.8 +110317 15.4  8   0.6   0.3   0 141451 MCG 2-27-19           
I 613 102707.7 +110041 15.4  8   0.8   0.8   0  30728 MCG 2-27-18           
I 614 102651.8 -032753 15.3  5   0.8   0.4  27  30699 MCG 0-27-15           
I 615 102721.9 +110450 14.9  8   1.1   0.3 143  30751 UGC 5665              
I 616 103247.4 +155138 14.4  8   1.0   1.0   0  31159 UGC 5730              
I 616 103247.2 +155043 17.0  8   0.2   0.2   0        NPM1G +16.0223        
I 617 103243.8 -123812 15.7  8   0.7   0.5 130  31153 NGC 3280A             
I 618 103245.3 -124300 14.9  8   0.7   0.7   0  31155 NGC 3296              
I 619 103239.0 +121041 15.3  8   0.8   0.7  30  31147 ZWG 65.50             
I 620 103333.4 +115215 15.2  8   0.6   0.3  80  31215 ZWG 65.55             
I 621 103321.0 +023700 14.7  8   0.4   0.3  90  31196 ZWG 37.74             
I 622 103442.6 +111149 14.0  8   2.9   0.4 152  31302 NGC 3279              
I 623 103521.0 +033330 15.0  8   1.0   0.4 152  31356 UGC 5748              
I 624 103615.3 -082003 14.1  8   2.7   0.5  42  31426 MCG -1-27-26          
I 625 104237.9 -235606 13.7  8   2.3   0.5 110  31919 MCG -4-26-1           
I 626 103657.2 -070126 14.9  8   1.2   1.0 141  31501 MCG -1-27-28          
I 627 103719.8 -032126 15.1  8   0.6   0.6   0  31543 MCG 0-27-32           
I 628 103736.2 +053612 14.7  8   0.9   0.7 118  31567 UGC 5780              
I 629 103702.3 -273356 12.7  8   3.3   1.2 175  31513 NGC 3312              
I 630 103833.9 -071014 13.5  8   2.1   1.7 130  31636 MCG -1-27-29          
I 631 103858.8 -070306 16.2  8   0.5   0.5   0 155542 NPM1G -06.0307        
I 632 103911.8 -002435 14.8  8   0.9   0.6  30  31673 UGC 5792              
I 633 103924.1 -002319 14.8  8   0.6   0.3 102  31691 UGC 5796              
I 634 104054.8 +055931 15.0  8   1.2   0.4 116  31799 UGC 5811              
I 635 104145.3 +153836 15.1  8   1.6   0.3   5  31858 UGC 5821              
I 636 104150.6 +041951 15.0  8   0.9   0.4  48  31867 UGC 5824              
I 637 104221.9 +152137 15.0  8   1.0   0.5  15  31900 ZWG 94.107            
I 638 104348.0 +155344 15.4  8   0.6   0.2   5  31988 MK 632                
I 639 104552.0 +165546 15.0  8   1.1   0.3   0  32129 MCG 3-28-7            
I 640 104648.0 +344500       0   0.0   0.0   0                              
I 641 104749.3 +344021       0   0.0   0.0   0                              
I 642 104807.9 +181119 13.8  8   1.3   1.3   0  32278 UGC 5905              
I 643 104927.1 +121204 15.3  8   0.6   0.2  75  32392 ZWG 66.30             
I 644 105131.2 +552328 14.5  8   1.0   0.3  78  32564 NGC 3398              
I 645 105009.2 -060235 15.5  8   0.5   0.4  90                              
I 646 105135.1 +552759 15.5  8   0.9   0.4 114  32568 MCG 9-18-39           
I 647 105034.4 -125114 16.0  8   0.3   0.2  80        NPM1G -12.0336        
I 648 105100.2 +121716 14.8  8   0.8   0.5 120  32522 MCG 2-28-17           
I 648 105100.7 +121724 14.7  8   0.8   0.7   0        MCG 2-28-17           
I 649 105052.0 +010955 15.2  8   0.7   0.5 171  32506 MCG 0-28-19           
I 649 105052.1 +010943 15.5  8   0.3   0.3   0  93105 MCG 0-28-19           
I 650 105040.5 -132630 15.5  8   0.8   0.6   5 170094                       
I 651 105058.2 -020901 12.7  8   0.8   0.8   0  32517 UGC 5956              
I 652 105057.6 -122652 14.6  8   1.8   1.5 175  32514 NGC 3421              
I 653 105206.7 -003340 14.0  8   1.9   0.9  55  32611 UGC 5985              
I 654 105350.4 -114332 15.0  8   1.2   0.6 126  32716 MCG -2-28-18          
I 655 105422.1 -002156 15.3  8   1.0   0.2  45  32758 ZWG 10.42             
I 656 105508.8 +173642 16.0  1   0.2   0.2   0                              
I 657 105753.5 -045415 15.9  8   1.2   0.5 165  32966 MCG -1-28-9           
I 658 105816.2 +081432 14.4  8   0.7   0.5  57  33004 MCG 2-28-33           
I 659 105803.8 -061536 15.3  8   1.4   1.0 147  32979 MCG -1-28-10          
I 660 105826.6 +012300 15.4  8   0.9   0.5  41  33017 ZWG 10.48             
I 661 105851.4 +013904 15.7  8   0.6   0.6   0  33051 ZWG 10.50             
I 662 105920.5 +013558 15.3  8   0.9   0.7  85  33091 ZWG 10.56             
I 663 110037.3 +102614 15.4  8   0.8   0.6 175  33182 ZWG 66.87             
I 664 110045.4 +103311 14.4  8   1.3   0.9  40  33191 MCG 2-28-42           
I 665 110029.9 -135158 15.3  8   0.8   0.4 135 170101 NPM1G -13.0307        
I 666 110114.8 +102851 15.2  8   0.5   0.3 160  33232 MK 1276               
I 667 110636.5 +150521 15.2  8   0.3   0.3   0  33603 ZWG 95.111            
I 668 110639.4 +150228 15.4  8   0.7   0.4  87  33613 MCG 3-28-59           
I 669 110716.5 +061811 14.4  8   1.2   0.7 165  33662 UGC 6174              
I 670 110728.7 +064252 14.5  8   1.0   0.8  51  33680 UGC 6178              
I 671 110731.6 +004700 14.4  8   1.3   1.2  22  33689 UGC 6180              
I 672 110803.2 -122903 15.4  8   0.5   0.2 153  33725 MCG -2-29-2           
I 673 110925.2 -000552 14.3  8   1.7   0.7 165  33817 UGC 6200              
I 674 111106.4 +433759 14.3  8   1.7   0.7 120  33982 UGC 6221              
I 675 111057.4 +033541       1   0.0   0.0   0                              
I 676 111239.7 +090322 13.1  8   2.1   1.3  10  34107 UGC 6245              
I 677 111356.6 +121806 13.7  8   1.5   0.6  45  34211 UGC 6262              
I 678 111406.3 +063440 14.9  8   0.7   0.5 147  34222 MCG 1-29-21           
I 679 111636.5 -135817 15.6  8   0.9   0.6 120 170124 NPM1G -13.0320        
I 680 111754.6 -015648 14.9  8   0.7   0.4 165  34520 MCG 0-29-12           
I 681 111831.9 -120825 14.8  8   0.9   0.4  18  34572 MCG -2-29-17          
I 682 112118.0 +201400       0   0.0   0.0   0                              
I 683 112131.7 +024508 15.0  8   0.8   0.6   0  34807 ZWG 39.138            
I 684 112132.9 +024837 15.1  8   1.5   0.7  63  34814 NGC 3644              
I 685 112206.5 +174515 16.2  8   0.4   0.3 169  34871                       
I 686 112305.1 +053839 15.3  8   0.4   0.2  30  34950 ZWG 39.158            
I 687 112417.3 +475053 15.2  8   0.8   0.8   0  35029 MCG 8-21-32           
I 688 112340.0 -094745 15.5  8   0.7   0.3 110 156572 IRAS11211-0931        
I 689 112338.3 -134951 14.0  8   1.6   0.6 137  34986 NGC 3661              
I 690 112420.5 -082029 15.4  8   0.9   0.3 170 170138 NPM1G -08.0343        
I 691 112644.0 +590920 14.2  8   0.6   0.4 150  35206 UGC 6447              
I 692 112553.5 +095915 14.3  8   0.7   0.5 125  35151 UGC 6438              
I 693 112648.6 -050016 15.6  8   0.7   0.4  90  35208 MCG -1-29-22          
I 694 112827.2 +583443 16.0  8   0.3   0.3   0  35325 MCG 10-17-2A          
I 695 112758.3 -114255 15.7  8   0.8   0.2  85 170143                       
I 696 112839.9 +090557 14.4  8   1.0   0.9 144  35332 UGC 6477              
I 697 112834.4 -013744 15.3  8   0.4   0.2 135  35327 ZWG 11.106            
I 698 112903.6 +090645 14.4  8   1.0   0.5 147  35364 UGC 6482              
I 699 112906.5 +085921 14.6  8   1.2   0.3  12  35365 UGC 6485              
I 700 112915.2 +203458 14.3  8   1.0   0.5  59  35382 UGC 6487              
I 701 113100.6 +202811 14.7  8   0.6   0.5 105  35494 UGC 6503              
I 702 113054.6 -045520 16.0  8   0.6   0.3 130                              
I 703 113154.0 -113600       0   0.0   0.0   0                              
I 704 113200.0 -113300       0   0.0   0.0   0                              
I 705 113256.3 +501432 15.5  8   0.8   0.4  27  35644 MCG 8-21-49           
I 706 113312.6 -132017 15.3  8   1.3   0.2 111  35658 MCG -2-30-4           
I 707 113344.6 +212248 14.4  8   0.5   0.4  18  35708 UGC 6543              
I 708 113359.1 +490344 14.0  8   1.4   0.9 174  35720 UGC 6549              Papillon Galaxy
I 709 113414.5 +490237 15.0  8   0.6   0.6   0  35736 MCG 8-21-57           
I 710 113427.3 +255234 15.7  8   0.4   0.2   0  35750 ZWG 126.98            
I 711 113446.5 +485722 15.1  8   0.5   0.5   0  35780 MCG 8-21-62           
I 712 113449.1 +490440 14.8  8   1.1   0.7  98  35785 MCG 8-21-63           
I 713 113448.0 +165100       0   0.0   0.0   0                              
I 714 113630.2 -095050 13.5  8   1.1   1.1   0  35907 NGC 3763              
I 715 113654.3 -082232 15.8  8   0.7   0.4 160 170166                       
I 715 113654.8 -082244 16.0  8   0.4   0.3  70                              
I 716 113903.3 -001220 14.8  8   1.6   0.3 132  36102 UGC 6612              
I 717 113850.8 -103503 14.5  8   1.9   1.0  85  36084 NGC 3779              
I 718 113952.7 +085228 14.5  8   1.2   0.5   4  36174 UGC 6626              
I 719 114018.5 +090035 13.8  8   1.3   0.4  52  36205 UGC 6633              
I 720 114222.3 +084602 14.7  8   1.1   0.6   0  36333 MCG 2-30-16           
I 721 114228.8 -082025 15.1  8   1.3   0.3 115  36354 MCG -1-30-26          
I 722 114243.7 +085828 14.7  8   1.1   0.7  66  36365 MCG 2-30-19           
I 723 114257.5 -081955 14.7  4   0.7   0.6   3  36384 MCG -1-30-27          
I 724 114334.6 +085633 13.6  8   2.3   0.9  60  36450 UGC 6695              
I 725 114329.4 -014006 15.1  8   0.5   0.5   0  36444 ZWG 12.65             
I 726 114345.5 +332334 17.0  8   0.3   0.2   0 213876                       
I 727 114428.7 +104700 15.0  8   1.6   0.2 161  36536 UGC 6715              
I 728 114450.5 -013605 14.5  8   1.3   0.6  65  36580 UGC 6720              
I 729 114518.3 +332009 15.5  8   0.8   0.3   2  36627 ZWG 186.37            
I 730 114535.2 +031356 14.6  8   0.8   0.5  36  36658 NGC 3849              
I 731 114518.1 +493413 15.9  8   0.5   0.3  80  36626 MCG 8-21-96           
I 732 114559.7 +202620 15.1  8   0.5   0.3 140  83488 MCG 4-28-50           
I 732 114559.4 +202652 15.5  4   0.4   0.2 155  36688 MCG 4-28-50           
I 733 114558.8 -080921 15.7  8   0.7   0.2  88                              
I 734 114603.8 -081615 15.3  8   1.0   0.4   0  36701 MCG -1-30-31          
I 734 114603.9 -081555 15.6  8   0.4   0.4   0        MCG -1-30-31          
I 735 114812.8 +131232 14.8  8   1.4   0.8 103  36849 UGC 6775              
I 736 114820.0 +124302 15.6  8   0.5   0.5   0  36853 MCG 2-30-37           
I 737 114827.5 +124338 14.7  8   0.6   0.5 100  36861 MCG 2-30-39           
I 738 114854.7 -044055 14.6  4   0.8   0.4 100  36895                       
I 739 115131.3 +235146 14.9  8   1.1   0.8 150  37097 UGC 6830              
I 740 115038.4 +552114 13.5  8   2.6   2.6   0  37024 NGC 3913              
I 741 115031.8 -045011 14.8  8   0.8   0.3 135  37008 MCG -1-30-37          
I 742 115102.2 +204759 14.7  8   1.2   1.1   0  37056 UGC 6822              
I 743 115322.3 -131553 15.2  8   1.2   0.4 147  37267 MCG -2-30-37          
I 744 115404.7 +231134 15.7  8   1.0   0.3  81  37333 ZWG 127.102           
I 745 115412.2 +000813 13.9  8   0.7   0.7   0  37339 UGC 6877              
I 746 115535.1 +255320 14.6  8   1.1   0.3 169  37440 UGC 6898              
I 747 115704.8 -081730 15.4  8   0.6   0.4  45 170182 NPM1G -08.0363        
I 748 115726.6 +072741 15.4  8   0.6   0.5  81  37600 MCG 1-31-6            
I 749 115833.9 +424400 12.9  8   2.3   2.0 150  37692 UGC 6962              
I 750 115852.0 +424322 12.8  8   2.6   1.2  43  37719 UGC 6973              
I 751 115852.4 +423412 15.1  8   1.2   0.3  30  37721 UGC 6972              
I 752 115915.0 +423401 15.2  8   0.6   0.5   0  37747 ZWG 215.14            
I 753 115912.8 -003125 14.6  8   0.4   0.3  30  37745 UGC 6979              
I 754 115923.5 -013916 14.2  8   1.1   0.9  19  37757 UGC 6984              
I 755 120110.5 +140615 14.0  8   2.4   0.3 145  37912 NGC 4019              
I 756 120257.8 +045042 14.3  8   1.8   0.7 102  38054 UGC 7026              
I 757 120402.3 +523526 13.1  8   2.5   1.6  30  38148 NGC 4068              
I 758 120411.9 +623020 14.1  8   1.9   1.6   9  38173 UGC 7056              
I 759 120509.3 +201536       0   0.0   0.0   0                              
I 760 120553.5 -291734 13.4  8   1.7   0.5 148  38345 ESO 440-52            
I 761 120553.6 -124022 15.8  8   0.7   0.2 102 157368 MCG -2-31-14          
I 762 120811.9 +254523 15.1  8   0.7   0.4 144  38532 MCG 4-29-34           
