055931.77 +445650.8 -000056.4-000000.900039.7 01.9000.08A2 1 0.07   0.00Menkalinan : beta Aurigae
164839.87 -690139.5 +000017.9-000032.900007.8 01.9101.45K2 0            
063742.70 +162357.9 -000002.0-000066.900031.1 01.9300.00A0 0            Alhena : gamma Geminorium
084442.20 -544230.8 +000028.8-000104.100040.9 01.9300.04A1 1            
202538.85 -564405.6 +000007.7-000086.200017.8 01.94-0.12B2 0            Peacock : alpha Pavonis
023147.08 +891550.9 +000044.2-000011.700007.6 01.9700.64F7 0 0.04   3.97Polaris : alpha Ursa Minoris
062241.99 -175721.3 -000003.5-000000.500006.5 01.98-0.24B1 0 0.03   0.25Mirzam : beta Canis Majoris
092735.25 -083931.3 -000014.5+000033.200018.4 01.9901.44K3 0            Alphard : alpha Hydrae
020710.29 +232746.0 +000190.7-000145.800049.5 02.0101.15K2 0            Hamal : alpha Arietis
101958.16 +195030.7 +000310.8-000152.900026.0 02.0101.13K0 1            Al Gieba : gamma Leonis
004335.23 -175912.1 +000232.8+000032.700034.0 02.0401.02K0 0            Diphda : beta Ceti
185515.92 -261747.7 +000013.9-000052.600014.5 02.05-0.13B2 0            Nunki : sigma Sagittari
140641.32 -362207.3 -000519.3-000517.900053.5 02.0601.01K0 0            Menkent : theta Centauri
000823.17 +290527.0 +000135.7-000162.900033.6 02.07-0.04B9 1            Alpheratz : alpha Andromedae
054745.39 -094010.6 +000001.6-000001.200004.5 02.07-0.17B0 0            Saiph : kappa Orionis
010943.80 +353715.0 +000175.6-000112.200016.4 02.0701.58M0 0            Mirach : beta Andromedae
145042.40 +740919.7 -000032.3+000011.900025.8 02.0701.47K4 0            Kocab : beta Umi
224239.93 -465304.4 +000135.7-000004.500019.2 02.0701.61M5 0            
173456.00 +123338.1 +000110.1-000222.600069.8 02.0800.15A5 1            Rasalhague : alpha Ophiuchi
030810.13 +405720.3 +000002.4-000001.400035.1 02.09-0.00B8 1 0.14   0.00Algol : beta Persei
020353.92 +421947.5 +000043.1-000050.900009.2 02.1001.37B8 1            Almach : gamma Andromedae
114903.88 +143420.4 -000499.0-000113.800090.2 02.1400.09A3 0            Denebola : beta Leonis
005642.50 +604300.3 +000025.6-000003.800005.3 02.15-0.05B0 0            Tsih : gamma Cassiopeiae
124131.20 -485735.6 -000187.3-000001.200025.0 02.20-0.02A1 1            
080335.07 -400011.5 -000030.8+000016.800002.3 02.21-0.27O5 0            Naos : zeta Puppis
091705.43 -591630.9 -000019.0+000013.100004.7 02.2100.19A8 0            Aspidiske : iota Carinae
153441.19 +264253.7 +000120.4-000089.400043.6 02.2200.03A0 1            Alphecca : alpha Coronae Borealis
132355.42 +545531.5 +000121.2-000022.000041.7 02.2300.06A2 1            Mizar : zeta Ursa Majoris
202213.70 +401524.1 +000002.4-000000.900002.1 02.2300.67F8 0            Sadr : gamma Cygni
090759.78 -432557.4 -000023.2+000014.300005.7 02.2301.67K4 0            Suhail : lambda Velorum
004030.39 +563214.7 +000050.4-000032.200014.3 02.2401.17K0 0            Schedar : alpha Cassiopeiae
175636.38 +512920.2 -000008.5-000023.100022.1 02.2401.52K5 0            Eltanin : gamma Draconis
053200.40 -001756.7 +000001.7+000000.600003.6 02.25-0.17O9 1 0.10   0.00Mintaka : delta Orionis
000910.09 +590900.8 +000523.4-000180.400059.9 02.2800.38F2 0 0.04   0.10Caph : beta Cassiopeiae
133953.27 -532758.9 -000014.6-000012.800008.7 02.29-0.17B1 1            
160020.01 -223717.8 -000008.7-000036.900008.1 02.29-0.12B0 1            Dschubba : delta Scorpii
165010.24 -341733.4 -000611.8-000255.900049.9 02.2901.14K2 0            
144155.77 -472317.3 -000021.1-000024.200006.0 02.30-0.15B1 0 0.03   0.26Men : alpha Lupi
143530.45 -420927.9 -000035.3-000032.400010.6 02.33-0.16B1 0 0.07   1.28
110150.39 +562256.4 +000081.7+000033.700041.1 02.3400.03A1 0            Merak : beta Ursa Majoris
144459.25 +270427.0 -000050.6+000020.000015.6 02.3500.97A0 1            Pulcherrima : epsilon Bootis
214411.14 +095230.0 +000030.0+000001.400004.8 02.3801.52K2 0            Enif : epsilon Pegasi
174229.28 -390147.7 -000006.5-000025.600007.0 02.39-0.17B1 0 0.02   0.20
002616.87 -421818.4 +000232.8-000353.600042.1 02.4001.08K0 1            Ankaa : alpha Phoenicis
115349.74 +534141.0 +000107.8+000011.200039.0 02.4100.04A0 0            Phecda : gamma Ursa Majoris
171022.66 -154330.5 +000041.2+000097.700038.8 02.4300.06A2 1            
230346.33 +280456.8 +000187.8+000137.600016.4 02.4401.66M2 0            Scheat : beta Pegasi
072405.71 -291811.2 -000003.8+000006.700001.0 02.45-0.08B5 0            Aludra : eta Canis Majoris
211834.58 +623507.6 +000149.9+000048.300066.8 02.4500.26A7 0            Alderamin : alpha Cephei
092206.83 -550038.5 -000010.7+000011.200006.0 02.47-0.14B2 0            Markab : kappa Velorum
204612.43 +335810.0 +000356.2+000330.300045.3 02.4801.02K0 0            Gienah : epsilon Cygni
230445.62 +151219.3 +000061.1-000042.600023.4 02.49-0.00B9 0            Markab : alpha Pegasi
163709.53 -103401.7 +000013.1+000025.400007.1 02.5400.04O9 0            
030216.78 +040523.7 -000011.8-000078.800014.8 02.5401.63M2 0            Menkab : alpha Ceti
135532.43 -471717.8 -000057.1-000044.800008.5 02.55-0.18B2 0            
111406.41 +203126.5 +000143.3-000130.400056.5 02.5600.13A4 0            Zozma : delta Leonis
160526.23 -194819.4 -000006.8-000024.900006.2 02.56-0.07B0 1            Graffias : beta Scorpii
053243.81 -174920.3 +000003.3+000001.500002.5 02.5800.21F0 0            Arneb : alpha Leporis
120821.54 -504320.7 -000047.5-000006.400008.2 02.58-0.13B2 0            
121548.47 -173231.1 -000159.6+000022.300019.8 02.58-0.11B8 0            Gienah : gamma Corvi
190236.72 -295248.4 -000014.1+000003.700036.6 02.6000.06A3 1            
151700.47 -092258.3 -000096.4-000020.800020.4 02.61-0.07B8 0            Zuben el Chamali : beta Librae
154416.00 +062531.9 +000134.7+000044.100044.5 02.6301.17K2 0            Unukalhai : alpha Serpentis
015438.35 +204829.9 +000096.3-000108.800054.7 02.6400.17A5 1            Sheratan : beta Arietis
053938.94 -340426.6 -000000.1-000024.100012.2 02.65-0.12B7 0            Phakt : alpha Columbae
055943.24 +371246.0 +000042.1-000073.600018.8 02.65-0.08A0 0 0.03   3.62
123423.23 -232347.8 +000000.9-000056.000023.3 02.6500.89G5 0            Kraz : beta Corvi
012548.60 +601407.5 +000297.2-000049.500032.8 02.6600.16A5 0            Ruchbah : delta Cassiopeiae
135441.12 +182354.9 -000061.0-000358.100088.2 02.6800.58G0 1            Muphrid : eta Bootis
145831.95 -430801.9 -000034.1-000038.300006.2 02.68-0.18B2 0            
104646.12 -492512.5 +000062.5-000053.600028.2 02.6900.90G5 1            
123711.08 -690807.9 -000039.9-000012.400010.7 02.69-0.18B2 0            
045659.62 +330958.1 +000003.6-000018.500006.4 02.6901.49K3 0            Kabdhilinan : iota Aurigae
173045.84 -371744.7 -000004.2-000029.100006.3 02.70-0.18B2 0            Lesath : upsilon Scorpii
071708.56 -370551.0 -000010.6+000007.000003.0 02.7101.62K3 1            
182059.62 -294940.9 +000030.0-000026.400010.7 02.7201.38K3 0            Kaus Media : delta Sagittari
194615.57 +103647.8 +000015.7-000003.100007.1 02.7201.51K3 0            Tarazed : gamma Aquilae
162359.51 +613050.7 -000017.0+000056.700037.2 02.7300.91G8 0            
161420.77 -034138.3 -000045.8-000142.900019.2 02.7301.58M1 0            Yed Prior : delta Ophiuchi
104257.43 -642340.1 -000018.9+000012.100007.4 02.74-0.22B0 1            
124140.00 -012658.3 -000616.7+000060.700084.5 02.7400.37F0 1            
