I1569 004028.0 +064311 15.6  8   0.4   0.4   0   2430 MCG 1-2-53            
I1570 004034.2 +064512 17.0  8   0.4   0.2 179  73426 DRCG 2-23             
I1571 004037.8 -001949 14.6  8   1.5   1.2  42   2440 UGC 432               
I1572 004118.0 +161600       0   0.0   0.0   0                              
I1573 004210.2 -233532 16.7  8   1.2   0.1  70   2521 ESO 474-13            
I1574 004304.0 -221446 14.4  8   2.1   0.8 175   2578 ESO 474-18            
I1575A004333.1 -040700 14.5  8   1.2   1.0  45   2602 MCG -1-3-2            
I1575B004333.6 -040710 14.0  8   1.5   1.0  30   2601 MCG -1-3-3            
I1576 004413.8 -250633 15.7  8   0.7   0.4 144   2630 ESO 474-20            
I1577 004334.4 -081108 14.1  8   1.0   0.8  25   2603 IC 48                 
I1578 004425.8 -250435 15.3  8   0.8   0.3  18   2637 ESO 474-21            
I1579 004532.2 -263352 15.0  8   0.9   0.6   5   2667 ESO 474-22            
I1580 004621.3 +295614       1   0.0   0.0   0                              
I1581 004546.4 -255510 16.2  8   0.9   0.2  46   2676 ESO 474-23            
I1582 004616.8 -241647 15.9  8   1.1   0.3  46   2701 ESO 474-24            
I1583 004710.2 +230428 15.7  8   0.5   0.3  21   2760 MCG 4-3-1             
I1584 004718.5 +274942 15.3  8   1.6   1.4  90   2766 UGC 489               
I1585 004714.2 +230315 15.6  8   0.8   0.5 108   2764 MCG 4-3-2             
I1586 004756.5 +222224 14.9  8   0.3   0.2   0   2813 MK 347                
I1587 004843.2 -233342 15.6  8   1.4   0.4  36   2852 ESO 474-31            
I1588 005057.7 -233331 16.4  8   0.7   0.3 155   2965 ESO 474-33            
I1589 005159.3 -342519       1   0.0   0.0   0        ESO 351-**13          
I1590 005206.8 +563630       5   0.0   0.0   0                              
I1591 005206.5 -224049 15.8  8   1.0   0.4  90   3054 NGC 276               
I1592 005327.1 +054611 15.1  8   1.0   0.7 165   3139 UGC 543               
I1593 005439.5 +323111       1   0.0   0.0   0                              
I1594 005345.2 -473852 15.2  8   1.3   0.4 130   3161 ESO 195-12            
I1595 005347.0 -451111 15.4  8   1.5   0.2  12   3162 ESO 243-8             
I1596 005442.7 +213123 14.8  8   1.8   0.6 120   3219 UGC 550               
I1597 005332.1 -580626 15.0  8   1.7   0.3 151   3144 ESO 112-10            
I1598 005441.7 +054627 15.0  8   1.0   0.5   2   3217 UGC 553               
I1599 005432.7 -232940 15.5  8   1.1   0.2 106   3210 ESO 474-42            
I1600 005504.2 -233128 15.6  8   0.8   0.4  88   3253 ESO 474-43            
I1601 005534.7 -240912 14.5  8   0.9   0.4 117   3287 ESO 474-44            
I1602 005551.8 -095907 15.3  8   0.7   0.6 174   3306 MCG -2-3-47           
I1603 005659.7 -452446 14.6  8   1.3   0.8 111   3401 ESO 243-14            
I1604 005733.9 -161348       0   0.0   0.0   0                              
I1605 005737.4 -485410 13.7  8   1.6   1.3 138   3436 ESO 195-19            
I1606 005824.0 -121100       0   0.0   0.0   0                              
I1607 005848.9 +003514 14.5  8   0.9   0.9   0   3512 UGC 611               
I1608 005924.2 -341947 13.7  8   2.0   0.9 170   3549 ESO 351-27            
I1609 005946.7 -402001 13.6  8   1.4   1.4   0   3567 ESO 295-26            
I1610 010142.7 -153404 13.8  8   1.4   1.0 110   3681 MCG -3-3-20           
I1611 005948.7 -721957       3   1.0   0.0   0        ESO 29-SC27           
I1612 005959.6 -722215       3   0.7   0.0   0        ESO 29-SC28           
I1613 010454.2 +020802  9.9  8  16.6  14.9  50   3844 UGC 668               
I1614 010506.9 +331125 17.6  8   0.3   0.3   0        NPM1G +32.0038        
I1615 010406.8 -510758 14.3  8   1.3   0.6 143   3812 ESO 195-27            
I1616 010456.1 -272544 13.3  8   1.6   1.4   4   3846 ESO 412-4             
I1617 010416.7 -510157 14.6  8   1.4   0.6 125   3818 ESO 195-28            
I1618 010555.9 +322446 15.7  8   1.2   0.5 159   3899 UGC 671               
I1619 010722.4 +330401 15.5  8   0.7   0.5 102   3975 MCG 5-3-54            
I1620 010714.0 +135718 14.2  8   1.0   0.7  90   3960 UGC 681               
I1621 010622.6 -464331 14.6  8   1.3   0.4   3   3915 ESO 243-28            
I1622 010736.6 -173219 14.6  8   0.7   0.5 165   3997 ESO 541-22            
I1623 010746.8 -173024 14.5  4   0.9   0.7  12   4007 IC 1623A              
I1623 010748.1 -173024 15.5  8   0.7   0.6  12   4009 IC 1623B              
I1623A010746.8 -173024 14.5  4   0.9   0.7  12   4007 IC 1623-1             
I1623B010748.1 -173024 15.5  8   0.7   0.6  12   4009 IC 1623-2             
I1624 010521.9 -720233       3   0.7   0.0   0        ESO 51-SC17           
I1625 010742.6 -465430 13.0  8   1.6   1.2   7   4001 ESO 243-33            
I1626 010613.4 -731753       3   0.0   0.0   0        ESO 29-SC30           
I1627 010810.8 -460538 13.7  8   2.5   0.6 139   4027 ESO 243-34            
I1628 010847.5 -283456 13.5  8   1.1   1.1   0   4075 ESO 412-7             
I1629 010918.1 +023405 15.4  8   0.4   0.3  50   4122 ZWG 385.9             
I1630 010816.8 -464515 15.2  8   1.5   0.3  65   4036 ESO 243-36            
I1631 010844.7 -462831 14.2  8   0.9   0.6  82   4068 ESO 243-40            
I1632 011043.4 +174100 16.5  8   0.2   0.2   0   4205 DRCG 5-52             
I1633 010955.5 -455553 12.4  8   2.6   2.4  93   4149 ESO 243-46            
I1634 011103.0 +173945 15.7  8   0.4   0.4   0   4232 UGC 740               
I1635 011103.6 +173906 15.7  8   0.3   0.3   0   4231 UGC 739               
I1636 011137.3 +332118 15.2  8   0.3   0.2  90   4280 ZWG 501.125           
I1637 011101.2 -302619 13.5  8   1.7   1.3  90   4227 ESO 412-10            
I1638 011221.7 +332154 15.1  8   0.7   0.7   0   4338 MCG 5-3-82            
I1639 011146.5 -003950 14.1  8   0.9   0.8 100   4292 UGC 750               
I1640 011151.2 -003750 15.4  8   0.2   0.2   0   4299 ZWG 385.24            
I1641 010939.1 -714608       3   0.0   0.0   0        ESO 51-SC21           
I1642 011227.3 +154502 16.5  8   0.4   0.4   0  95507 IC 1645               
I1643 011208.5 -002435 15.2  8   0.8   0.8   0   4328 MCG 0-4-33            
I1644 010912.0 -731144       5   0.0   0.0   0        ESO 29-EN35           
I1645 011227.3 +154502 16.5  8   0.4   0.4   0  95507 IC 1642               
I1646 011243.8 +154225 15.3  8   0.5   0.5   0   4357 MCG 2-4-9             
I1647 011314.5 +385307 15.7  8   0.7   0.3  39   4390 MCG 6-3-24            
I1648 011342.2 +331305 15.3  8   0.4   0.3 132   4417 ZWG 501.131           
I1649 011150.8 -555124 14.7  8   1.7   0.3 136   4298 ESO 151-30            
I1650 011218.9 -502407 14.4  8   1.3   0.7  62   4334 ESO 195-34            
I1651 011327.5 +020422       1   0.0   0.0   0                              
I1652 011456.5 +315652 14.5  8   1.1   0.3 169   4498 UGC 792               
I1653 011507.5 +332240 14.5  8   0.8   0.7  57   4512 NGC 443               
I1654 011511.8 +301143 14.3  8   1.3   1.2  42   4520 UGC 798               
I1655 011153.8 -711954       3   1.0   0.0   0        ESO 51-SC23           
I1656 011537.9 +330359 14.5  8   2.2   2.2   0   4550 NGC 447               
I1657 011406.8 -323902 13.2  8   2.4   0.6 170   4440 IC 1663               
