Chittagong		Bangladesh	 22° 15' 00"	 91° 49' 59"	6.0	--	0.00
Dacca		Bangladesh	 23° 51' 00"	 90° 24' 00"	6.0	--	10.62
Bridgetown		Barbados	 13° 04' 00"	-59° 30' 00"	-3.0	--	20.68
Antwerp		Belgium	 51° 13' 00"	 4° 24' 00"	1.0	EU	8.98
Brussels	Brabant	Belgium	 50° 51' 00"	 4° 20' 59"	1.0	EU	18.24
Humain		Belgium	 50° 11' 05"	 5° 15' 15"	1.0	EU	255.90
Oostende	Flandre occidentale	Belgium	 51° 07' 48"	 2° 32' 59"	1.0	EU	5.00
Ukkel		Belgium	 50° 47' 09"	 4° 21' 29"	1.0	EU	82.75
Belize City		Belize	 15° 31' 59"	-88° 17' 59"	-6.0	--	1158.14
Hamilton		Bermuda	 32° 22' 01"	-64° 40' 58"	-4.0	US	3.86
La Paz		Bolivia	-16° 31' 01"	-68° 10' 58"	-4.0	--	4050.72
Santa Cruz		Bolivia	-17° 38' 59"	-63° 07' 59"	-4.0	--	378.00
Sarajevo		Bosnia and Herzegovina	 43° 49' 55"	 18° 20' 06"	1.0	EU	507.50
Francistown		Botswana	-21° 17' 00"	 27° 50' 00"	2.0	--	961.77
Gaborone		Botswana	-24° 40' 00"	 25° 55' 00"	2.0	--	1004.02
Lobatsi		Botswana	-25° 13' 00"	 25° 40' 00"	2.0	--	1345.13
Belem		Brazil	-1° 22' 59"	-48° 28' 59"	-3.0	--	13.48
Brasilia		Brazil	-15° 52' 00"	-47° 55' 00"	-3.0	BZ	1056.24
Itapetinga		Brazil	-23° 11' 01"	-46° 33' 45"	-3.0	BZ	812.24
Manaus		Brazil	-3° 01' 59"	-60° 02' 59"	-4.0	--	74.70
Natal		Brazil	-5° 17' 59"	-35° 47' 59"	-3.0	BZ	129.27
Recife		Brazil	-8° 07' 58"	-34° 55' 58"	-3.0	BZ	53.14
Rio de Janeiro		Brazil	-22° 26' 59"	-42° 43' 01"	-3.0	BZ	139.82
São Paulo		Brazil	-23° 32' 51"	-46° 37' 59"	-3.0	BZ	765.40
Bandar Seri Begawan		Brunei	 4° 57' 00"	 114° 56' 12"	8.0	--	33.05
Sofia		Bulgaria	 42° 43' 00"	 23° 19' 59"	2.0	EU	535.00
Bobo-Dioulasso		Burkina Faso	 11° 11' 00"	 4° 17' 00"	0.0	--	146.60
Ouagadougou		Burkina Faso	 12° 21' 00"	-1° 31' 00"	0.0	--	312.44
Bujumburo		Burundi	-3° 19' 00"	 29° 19' 00"	2.0	--	780.65
Bururi		Burundi	-4° 35' 00"	 30° 01' 00"	2.0	--	1641.99
Gitega		Burundi	-3° 43' 00"	 30° 33' 00"	2.0	--	1214.98
Muyinga		Burundi	-3° 26' 00"	 30° 32' 00"	2.0	--	1354.67
Ngozi		Burundi	-3° 31' 00"	 30° 22' 00"	2.0	--	1265.57
Ruyigi		Burundi	-3° 47' 00"	 30° 24' 00"	2.0	--	1141.58
Cotonou		Bénin	 6° 21' 00"	 2° 23' 00"	1.0	--	5.85
Porto Novo		Bénin	 6° 30' 00"	 2° 47' 00"	1.0	--	17.79
Douala		Cameroon	 4° 01' 01"	 9° 43' 01"	1.0	--	9.57
Tiko		Cameroon	 1° 00' 05"	 9° 12' 00"	1.0	--	114.05
Yaounde		Cameroon	 3° 50' 00"	 11° 31' 00"	1.0	--	698.35
100 Mile House	British Columbia	Canada	 51° 39' 00"	-121° 17' 00"	-8.0	US	915.78
Abbotsford	British Columbia	Canada	 49° 01' 48"	-122° 19' 11"	-8.0	US	70.70
Airdrie	Alberta	Canada	 51° 18' 00"	-114° 02' 00"	-7.0	US	1086.66
Alert	Nunavut	Canada	 82° 31' 11"	-62° 16' 48"	-5.0	US	1.00
Alexis Creek	British Columbia	Canada	 52° 05' 00"	-123° 17' 00"	-8.0	US	751.58
Algonquin		Canada	 45° 57' 03"	-78° 04' 30"	-5.0	US	257.00
Alma	Quebec	Canada	 48° 33' 00"	-71° 39' 00"	-5.0	US	79.25
Alonsa	Manitoba	Canada	 50° 59' 00"	-99° 03' 00"	-6.0	US	267.00
Amherst	Nova Scotia	Canada	 45° 50' 00"	-64° 12' 00"	-4.0	US	23.03
Amos	Quebec	Canada	 48° 34' 00"	-78° 07' 00"	-5.0	US	301.12
Amqui	Quebec	Canada	 48° 28' 00"	-67° 26' 06"	-5.0	US	153.70
Anahim Lake	British Columbia	Canada	 52° 28' 00"	-125° 19' 00"	-8.0	US	1093.23
Antigonish	Nova Scotia	Canada	 45° 37' 00"	-62° 00' 00"	-4.0	US	16.09
Anzac	Alberta	Canada	 56° 27' 00"	-111° 02' 00"	-7.0	US	498.00
Arborg	Manitoba	Canada	 50° 54' 26"	-97° 13' 01"	-6.0	US	226.00
Argentia	Newfoundland	Canada	 47° 17' 39"	-53° 59' 41"	-3.5	US	4.00
Armstrong	Ontario	Canada	 50° 18' 00"	-89° 02' 00"	-5.0	US	360.00
Arnold's Cove	Newfoundland	Canada	 47° 46' 10"	-53° 59' 20"	-3.5	US	21.92
Ashern	Manitoba	Canada	 51° 10' 56"	-98° 20' 44"	-6.0	US	269.00
Assiniboia	Saskatchewan	Canada	 49° 38' 00"	-105° 59' 00"	-7.0	--	741.00
Athabasca	Alberta	Canada	 54° 43' 00"	-113° 17' 00"	-7.0	US	544.35
Atikokan	Ontario	Canada	 48° 46' 00"	-91° 37' 00"	-6.0	US	410.42
Auden	Ontario	Canada	 50° 14' 00"	-87° 53' 00"	-5.0	US	318.00
Baddeck	Nova Scotia	Canada	 46° 06' 00"	-60° 45' 00"	-4.0	US	5.78
Badger	Newfoundland	Canada	 48° 59' 00"	-56° 02' 00"	-3.5	US	78.00
Baie Verte	Newfoundland	Canada	 49° 56' 00"	-56° 11' 00"	-3.5	US	0.00
Baie-Comeau	Quebec	Canada	 49° 08' 24"	-68° 10' 48"	-5.0	US	2.00
Baie-Saint-Paul	Quebec	Canada	 47° 25' 00"	-70° 29' 00"	-5.0	US	203.76
Bancroft	Ontario	Canada	 45° 02' 00"	-77° 45' 00"	-5.0	US	317.00
Banff	Alberta	Canada	 51° 10' 47"	-115° 32' 59"	-7.0	US	1425.43
Barkerville	British Columbia	Canada	 53° 04' 00"	-121° 31' 00"	-8.0	US	1286.84
Barrage Manic-3	Quebec	Canada	 49° 45' 00"	-68° 37' 40"	-5.0	US	281.51
Barrage Manic-5	Quebec	Canada	 50° 38' 49"	-68° 43' 35"	-5.0	US	207.00
Barrie	Ontario	Canada	 44° 24' 00"	-79° 40' 00"	-5.0	US	267.37
Barry's Bay	Ontario	Canada	 45° 29' 00"	-77° 41' 00"	-5.0	US	309.31
Bathurst	New Brunswick	Canada	 47° 37' 34"	-65° 37' 42"	-4.0	US	0.00
Bay Bulls	Newfoundland	Canada	 47° 19' 00"	-52° 49' 00"	-3.5	US	18.57
