I4419 142554.6 +163755 16.7  8   0.4   0.4   0  84167 DRCG 29-35            
I4420 142539.3 +252244 15.4  8   0.7   0.5  10  51520 MCG 4-34-27           
I4421 142831.2 -373501 13.4  8   1.1   0.7 164  51704 ESO 385-27            
I4422 142559.1 +302826 15.2  8   0.8   0.7  96  51530 MCG 5-34-39           
I4423 142617.6 +261444 15.3  8   1.1   0.6  73  51549 UGC 9247              
I4424 142732.3 +044917 14.6  8   0.9   0.3 111  51624 IC 1016               
I4425 142644.3 +271123 15.2  8   0.6   0.6   0  51575 ZWG 163.49            
I4426 142717.0 +164954 15.3  8   0.5   0.5   0  51607 MCG 3-37-16           
I4427 142659.6 +265150 15.4  8   0.8   0.3 120  51591 MCG 5-34-41           
I4428 142725.6 +161127 16.0  8   0.5   0.3  45  84193 DRCG 29-12            
I4429 142737.3 +165401 15.1  8   0.7   0.7   0  51637 MCG 3-37-17           
I4430 142919.3 -332718 13.0  8   2.3   1.3  15  51763 MCG -5-34-14          
I4431 142709.5 +305654 14.6  8   1.2   0.8 105  51600 IC 1012               
I4432 142849.7 -393307 16.4  8   1.1   0.2  50  51727 ESO 326-25            
I4433 142753.3 +161143 16.1  8   0.3   0.2   0  84202 KUG 1425+164          
I4434 142754.7 +161228 15.4  8   1.0   0.7   0  51651 ZWG 104.30            
I4435 142724.1 +372819 15.2  8   0.7   0.6  45  51615 MCG 6-32-37           
I4436 142758.2 +263015 14.9  8   1.0   0.9   0  51654 MCG 5-34-45           
I4437 142731.9 +413009       1   0.0   0.0   0                              
I4438 142834.5 +172003 16.6  8   0.5   0.4  84  51709 MCG 3-37-20           
I4439 142840.0 +170129 15.7  8   0.5   0.3  75  51720 ZWG 104.35            
I4440 142859.2 +171915 15.4  8   0.8   0.7   0  51734 MCG 3-37-22           
I4441 143138.8 -432506 12.2  8   1.5   1.3  90  51905 IC 4444               
I4442 142845.2 +285753 15.4  8   1.0   0.6  13  51725 UGC 9287              
I4443 142917.4 +161053 15.9  8   0.9   0.6  10  84220 DRCG 29-8             
I4444 143138.8 -432506 12.2  8   1.5   1.3  90  51905 IC 4441               
I4445 143154.3 -460207 15.0  8   1.2   0.4 153  51917 ESO 272-15            
I4446 142901.4 +372749 16.0  8   0.9   0.4 114  51742 MCG 6-32-44           
I4447 142917.9 +304957 14.6  8   1.2   0.8 175  51754 UGC 9306              
I4448 144027.5 -784833 13.9  8   1.0   0.8 168  52426 ESO 22-2              
I4449 143121.6 +151426 16.5  8   0.5   0.3 100                              
I4450 143212.4 +283326 15.2  8   1.2   0.5  48  51939 UGC 9349              
I4451 143437.0 -361710 12.7  8   1.8   1.1  89  52094 ESO 385-46            
I4452 143227.4 +272538 15.0  8   0.5   0.5   0  51951 ZWG 163.76            
I4453 143428.6 -273105 13.2  8   2.2   1.0 160  52084 ESO 512-4             
I4454 143316.6 +174244 17.4  8   0.5   0.3   0        NPM1G +17.0504        
I4455 143343.7 -143710 15.0  8   0.8   0.3  30  52033 NGC 5664              
I4456 143409.1 +161103 16.0  8   0.5   0.2 135                              
I4457 143428.9 +181328 16.2  8   0.3   0.2  75                              
I4458 143805.0 -382825       1   0.0   0.0   0                              
I4459 143432.2 +305826 15.5  8   0.5   0.2  10  52087 MCG 5-34-74           
I4460 143436.5 +301645 15.8  8   0.5   0.3 171  52089 MCG 5-34-75           
I4461 143501.8 +263239 15.2  8   1.3   0.7  45  52119 UGC 9384              
I4462 143504.1 +263229 16.8  8   0.3   0.3   0  52123 UGC 9384              
I4463 143549.0 +160110 15.1  8   0.4   0.4   0  52175 ZWG 104.46            
I4464 143748.9 -365243 12.8  8   1.6   0.6  61  52286 ESO 385-50            
I4465 143551.1 +153423 16.3  8   0.4   0.1  80                              
I4466 143647.9 +182035 15.5  8   1.0   0.9  10  52228 ZWG 104.48            
I4467 143653.6 +182216 16.6  8   0.4   0.4   0        NPM1G +18.0416        
I4468 143826.8 -222202 13.8  8   2.2   0.7 155  52324 ESO 580-6             
I4469 143720.6 +181456 15.6  8   1.6   0.2 110  52258 UGC 9414              
I4470 142822.8 +785310 15.2  8   1.0   0.2  85  51696 MCG 13-10-19          
I4471 143632.0 +414107 14.7  8   1.1   0.7  21  52207 NGC 5697              
I4472 144010.5 -441856 13.9  8   2.2   0.5   0  52410 ESO 272-23            
I4473 143754.0 +155149 15.5  8   0.7   0.4   5  52287 MCG 3-37-27           
I4473 143754.4 +155139 15.5  8   0.5   0.2  90        MCG 3-37-27           
I4474 143822.4 +232544 16.0  8   0.6   0.4  50                              
I4475 143823.2 +232003 14.9  8   0.9   0.8 174  52325 MCG 4-35-1            
I4476 143951.8 -161441 15.3  8   0.6   0.4 170 170358 NPM1G -16.0465        
I4477 143835.3 +282732 15.6  8   0.5   0.3  10  52327 ZWG 164.3             
I4478 143912.6 +155241 15.0  8   0.6   0.4  24  52363 ZWG 104.59            
I4479 143845.9 +283021 14.5  8   1.3   1.3   0  52338 UGC 9433              
I4480 143945.6 +182932 15.4  8   0.5   0.5   0  52394 MCG 3-37-34           
I4481 144010.1 +160830 16.5  8   0.3   0.2  85                              
I4482 144012.4 +185637 15.3  8   0.6   0.4   9  52408 ZWG 104.64            
I4483 144019.4 +164106 14.9  8   1.5   0.5  26  52417 UGC 9455              
I4484 144744.9 -731825 14.7  8   2.6   0.3 132  52837 ESO 41-9              
I4485 144031.4 +284010 15.6  8   0.6   0.4   0  52419 ZWG 164.10            
I4486 144140.7 +183327 15.2  8   0.4   0.2 145  52481 ZWG 104.68            
