#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"  2582 Harimaya-Bashi (1981 SA)",55600,2.9884761,3.1985026,0.0656640,18.15086,238.43170,56.33557,151.22208,20080913.3301286,MPO139102,10.50,,N,,,28.87,,0.1337,7.238,5.7204245130732,,MBA
"  2587 Gardner (1980 OH)",55600,2.6689900,3.1637285,0.1563783,2.63154,184.99854,87.78067,194.73192,20130908.5908047,MPO183459,11.2,,N,,,,,,,5.6273897404517,,MBA
"  2591 Dworetsky (1949 PS)",55600,2.8215448,2.9400714,0.0403142,1.54437,275.98987,356.34607,124.69459,20090511.2061219,MPO47590,11.4,,N,,,,,,12.77,5.0413286543463,,MBA
"  2592 Hunan (1966 BW)",55600,2.7276487,3.1196388,0.1256524,1.33334,8.25196,204.70713,349.65262,20110406.8472598,MPO193858,11.6,,N,,,,,,,5.5101658247776,,MBA
"  2594 Acamas (1978 TB)",55600,4.6441270,5.0749724,0.0848961,5.53063,280.34829,356.70362,16.03375,20100806.0134480,MPO169563,11.5,,N,,,,,,,11.432960724709,,TJN
"  2597 Arthur (1980 PN)",55600,2.5353523,3.0023967,0.1555572,1.09205,275.63875,120.45617,257.45922,20120802.2459361,MPO41498,11.9,,N,,,,,,,5.2024786666667,,MBA
"  2599 Veseli (1980 SO)",55600,2.1180957,2.5352164,0.1645306,15.34640,341.21556,353.51104,209.50081,20121016.3858185,MPO112687,11.2,,N,,,,,,18.54,4.0367397552361,,MBA
"  2600 Lumme (1980 VP)",55600,2.7533943,3.0139130,0.0864387,11.69655,214.80330,95.56112,5.13876,20110111.7196267,MPO169563,11.4,,N,,,,,,,5.2324399192334,,MBA
"  2601 Bologna (1980 XA)",55600,2.9293684,3.1280366,0.0635121,9.59675,196.82692,288.27387,106.79652,20090618.5392292,MPO167516,11.2,,N,,,19,,0.1626,,5.5324301913758,,MBA
"  2606 Odessa (1976 GX2)",55600,2.0399532,2.7650503,0.2622365,12.44684,352.75955,197.33840,212.39826,20121227.5602934,MPO157262,11.3,,N,,,,,,8.2426,4.5979344339493,,MBA
"  2612 Kathryn (1979 DE)",55600,2.4221569,2.8956498,0.1635187,20.17382,359.35727,132.92371,196.25097,20130506.6414281,MPO169563,10.8,,N,,,,,,7.71,4.9275071017112,,MBA
"  2613 Plzen (1979 QE)",55600,2.8888507,3.0391497,0.0494543,12.99281,193.88422,277.81199,222.63091,20130215.4363816,MPO128610,11.20,,N,,,28.18,,0.0737,,5.2982975017112,,MBA
"  2617 Jiangxi (1975 WO1)",55600,2.4343275,3.1636373,0.2305289,12.90122,348.82815,73.60263,98.09508,20090727.9546780,MPO139102,10.40,,N,,,52.65,,0.0441,11.79,5.6271465319644,,MBA
"  2621 Goto (1981 CA)",55600,2.5405138,3.0818003,0.1756397,13.03213,273.64912,95.83858,334.51472,20110627.8917403,MPO155864,10.70,,N,,,46.53,,0.0428,22.006,5.4102201765914,,MBA
"  2622 Bolzano (1981 CM)",55600,2.6900342,3.0017025,0.1038305,11.00896,217.91457,134.73988,50.11327,20100519.5764408,MPO181515,11.7,,N,,,,,,,5.2006745889117,,MBA
"  2624 Samitchell (1962 RE)",55600,3.4940234,3.9496735,0.1153640,2.79591,139.38701,161.58347,103.79977,20081103.3263026,MPO53553,10.7,,N,,,,,,12.41,7.8496447912389,,OMB
"  2626 Belnika (1978 PP2)",55600,2.7771213,2.8496658,0.0254572,1.48948,125.82986,355.99991,123.66404,20090614.4263713,MPO169563,11.7,,N,,,,,,,4.8105983958932,,MBA
"  2630 Hermod (1980 TF3)",55600,2.7058166,3.0769647,0.1206215,1.91362,23.88150,3.05727,212.77275,20130424.2466085,MPO38158,11.8,,N,,,,,,,5.3974916208077,,MBA
"  2632 Guizhou (1980 VJ1)",55600,2.7257663,3.0390715,0.1030924,10.47058,311.55336,18.62535,321.16940,20110904.7283325,MPO169563,11.40,,N,,,29.07,,0.0576,,5.2980930135524,,MBA
"  2634 James Bradley (1982 DL)",55600,3.2683531,3.4520458,0.0532127,6.40321,342.73227,133.75255,204.79769,20131113.9710379,MPO169563,10.20,,N,,,39.91,,0.0923,,6.4139122699521,,OMB
"  2636 Lassell (1982 DZ)",55600,2.7921684,3.0118019,0.0729243,10.45025,153.89884,98.69552,118.39096,20090521.1526420,MPO110568,11.0,,N,,,,,,5.012,5.22694349295,,MBA
"  2646 Abetti (1977 EC1)",55600,2.7134099,3.0131573,0.0994795,9.68084,39.56572,352.52510,320.04918,20110908.0090162,MPO110568,11.60,,N,,,22.38,,0.0808,,5.2304723318275,,MBA
"  2649 Oongaq (1980 WA)",55600,2.2568837,2.6265914,0.1407557,12.19332,169.12437,245.38887,26.25580,20101017.6008043,MPO181515,11.8,,N,,,,,,8.64,4.2569347655031,,MBA
"  2650 Elinor (1931 EG)",55600,2.1084705,2.6345323,0.1996794,13.95618,22.94927,332.52854,38.43081,20100825.2634744,MPO177903,11.5,,N,,,,,,9.087,4.2762539233402,,MBA
"  2651 Karen (1949 QD)",55600,1.9978198,2.9783413,0.3292173,17.77241,276.74296,126.43873,295.13378,20120112.2799203,MPO47591,11.1,,N,,,,,,6.3227,5.1400803156742,,MBA
"  2655 Guangxi (1974 XX)",55600,2.6844028,3.1935164,0.1594210,17.17439,353.24919,88.01746,118.35042,20090324.7177718,MPO120681,11.2,,N,,,,,,,5.7070534737851,,MBA
"  2657 Bashkiria (1979 SB7)",55600,2.6928670,3.1786011,0.1528138,2.24310,13.48443,50.36166,142.33122,20081111.6292080,MPO147071,11.6,,N,,,,,,,5.6671176016427,,MBA
"  2659 Millis (1981 JX)",55600,2.7925145,3.1324952,0.1085335,1.31914,328.51709,157.20426,242.01994,20121202.6516415,MPO47591,11.66,,N,,,26.42,,0.0549,6.132,5.5442631646817,,MBA
"  2661 Bydzovsky (1982 FC1)",55600,2.7326109,3.0249817,0.0966521,9.94312,116.61444,321.37114,268.11370,20120612.4907475,MPO158360,11.3,,N,,,,,,,5.2612911008898,,MBA
"  2666 Gramme (1951 TA)",55600,2.4905730,3.1866486,0.2184350,13.38922,207.33171,200.64636,148.66377,20081002.9702521,MPO169563,11.7,,N,,,,,,14.12,5.6886534726899,,MBA
"  2670 Chuvashia (1977 PW1)",55600,2.9249755,3.1669436,0.0764043,9.84064,171.21827,285.10075,224.60795,20130323.1936277,MPO128610,10.5,,N,,,,,,,5.6359704123203,,MBA
"  2672 Pisek (1979 KC)",55600,2.2187650,2.6115035,0.1503879,14.15371,152.70537,129.07764,157.54017,20090404.4360105,MPO183459,11.70,,N,,,20.18,,0.0907,,4.2203077341547,,MBA
"  2674 Pandarus (1982 BC3)",55600,4.8304949,5.1826147,0.0679425,1.85442,40.33801,179.79434,93.04960,20080121.1317722,MPO186489,9.00,,N,,,98.10,,0.0461,8.480,11.798629994524,,TJN
"  2677 Joan (1935 FF)",55600,2.8472270,2.9929753,0.0486968,10.10508,20.69291,194.77305,192.94735,20130704.6148818,MPO47591,11.60,,N,,,20.59,,0.0955,,5.1780100117728,,MBA
"  2679 Kittisvaara (1939 TG)",55600,2.3519840,2.6201078,0.1023331,10.10512,281.29152,208.25636,193.22891,20130125.6215054,MPO121260,11.9,,N,,,,,,10.123,4.2411824328542,,MBA
"  2683 Brian (1981 AD1)",55600,2.7447163,2.9156990,0.0586421,1.48866,14.22399,342.39116,141.53135,20090223.0714977,MPO169563,11.8,,N,,,,,,,4.9787720005476,,MBA
"  2684 Douglas (1981 AH1)",55600,2.9329311,3.0568580,0.0405406,9.92903,112.87802,151.00723,100.64572,20090811.2369176,MPO47591,11.6,,N,,,,,,,5.3446727644079,,MBA
"  2686 Linda Susan (1981 JW1)",55600,2.8500731,3.0025463,0.0507813,9.31801,289.67688,225.75747,315.82669,20110929.1795372,MPO65989,11.6,,N,,,,,,,5.2028675364819,,MBA
