N6501 175603.7 +182225 13.3  8   1.8   1.6  54  61128 UGC 11049             
N6502 180414.0 -652435 13.6  8   1.3   1.1  42  61352 ESO 103-2             
N6503 174927.5 +700837 10.9  8   7.0   2.5 123  60921 UGC 11012             
N6504 175605.6 +331231 13.5  8   2.2   0.5  94  61129 UGC 11053             
N6505 175107.3 +653153 15.6  8   1.1   1.0 126  60995 UGC 11026             
N6506 175953.4 -244107       3   0.0   0.0   0        OCL 16                
N6507 175950.7 -172616  9.6  3   7.0   0.0   0        OCL 32                
N6508 174946.3 +720118 14.3  8   1.3   1.3   0  60938 UGC 11023             
N6509 175925.3 +061714 13.3  8   1.6   1.2 105  61230 UGC 11075             
N6510 175439.2 +604902 14.4  8   1.0   0.6  30  61086 NGC 6511              
N6511 175439.2 +604902 14.4  8   1.0   0.6  30  61086 NGC 6510              
N6512 175450.2 +623844 14.9  8   0.5   0.4  57  61089 MCG 10-25-115         
N6513 175934.3 +245315 14.5  8   1.2   0.9  40  61235 UGC 11078             
N6514 180218.0 -230200  6.3  5  20.0  20.0   0                        M  20 Trifid Nebula        
N6515 175725.3 +504339 14.0  8   1.6   1.0  10  61167 UGC 11071             
N6516 175516.6 +624010 15.8  8   0.5   0.2 135  61109 MCG 10-25-118         
N6517 180150.6 -085730       4   4.0   0.0   0        GCL 81                
N6518 175943.6 +285202 14.9  8   0.4   0.4   0  61238 MCG 5-42-24           
N6519 180320.1 -294814       3   0.0   0.0   0                              
N6520 180325.0 -275328       3   5.0   0.0   0        OCL 10                
N6521 175548.3 +623642 13.4  8   1.6   1.3 160  61121 UGC 11061             
N6521A175634.8 +623701 15.7  8   0.7   0.2  88  61141 MCG 10-25-121         
N6522 180334.1 -300200       4   9.4   0.0   0        GCL 82                
N6523 180348.0 -242300  5.0  5  45.0  30.0   0                        M   8 Lagoon Nebula        
N6524 175914.8 +455317 13.9  8   1.4   1.0 155  61221 UGC 11079             
N6525 180206.0 +110131       3   4.0   0.0   0                              
N6526 180406.0 -242600       5  40.0   0.0   0        ESO 521-*N18          
N6527 180146.2 +194345 15.1  8   1.4   1.0 150  61297 UGC 11094             
N6528 180449.6 -300319       4   5.0   0.0   0        GCL 84                
N6529 180529.0 -361748       0   0.0   0.0   0        ESO 394-?28           
N6530 180430.9 -242054       3  15.0   0.0   0        OCL 19                
N6531 180413.3 -222924       3  16.0   0.0   0                        M  21 
N6532 175913.8 +561355 14.7  8   1.8   0.9 123  61220 UGC 11085             
N6533 180404.0 -242349       5   0.0   0.0   0                              
N6534 175718.9 +641812       0   0.0   0.0   0                              
N6535 180350.7 -001747       4   3.4   0.0   0        GCL 83                
N6536 175716.3 +645616 14.2  8   1.2   1.1 117  61166 UGC 11077             
N6537 180513.0 -195032 12.5  6   0.2   0.0   0        PK 10+0.1             
N6538 175417.1 +732527 14.3  8   1.0   0.5  48  61072 UGC 11062             
N6539 180449.8 -073507       4   7.9   0.0   0        GCL 85                
N6540 180608.6 -274553       4   1.5   0.0   0        OCL 11                
N6541 180802.2 -434240       4  15.0   0.0   0        GCL 86                
N6542 175939.0 +612132 14.2  8   1.3   0.4  98  61239 UGC 11092             
