Aswan                           Egypt            23 57 53 N  32 49 12 E
Athens                          Georgia          33 57 24 N  83 22 59 W
Athens                          Greece           38  1 36 N  23 44  0 E
Athens                          Tennessee        35 25 58 N  84 35 59 W
Atkinson                        Nebraska         42 31 58 N  98 58  1 W
Atlanta                         Georgia          33 45 10 N  84 23 36 W
Atlantic City                   New Jersey       39 21 32 N  74 25 53 W
Atmore                          Alabama          31  1  1 N  87 31  1 W
Attleboro                       Massachusetts    41 57 28 N  71 17 30 W
Auburn                          Alabama          32 36 24 N  85 28 59 W
Auburn                          Maine            44  5 48 N  70 13 41 W
Auckland                        New Zealand      36 52 59 S 174 45  0 E
Augsburg                        Germany          48 22 00 N   10 53 00 E
Augusta                         Arkansas         35 16  1 N  91 20 59 W
Augusta                         Georgia          33 28 19 N  81 58  0 W
Augusta                         Maine            44 18 52 N  69 46 28 W
Aurora                          Colorado         39 44 24 N 104 52  4 W
Aurora                          Illinois         41 45 18 N  88 18 47 W
Aurora                          Minnesota        47 31  1 N  92 16 58 W
Austin                          Nevada           39 30  0 N 117  4 58 W
Austin                          Texas            30 16  9 N  97 44 36 W
Avalon                          Australia        38  1 59 S 144 28  0 E
Aviano                          Italy            46  1 58 N  12 35 59 E
Avon                            Connecticut      41 40  1 N  72 49 58 W
Ayase                           Japan            35 27  0 N 139 26 59 E
Aztec                           New Mexico       36 40  1 N 108  0  0 W
Babelthuap Island               Palau             7 21 51 N 134 33  5 E
Bacolod                         Philippines      10 39  0 N 122 55 59 E
Baden-Baden                     Germany          48 47 23 N   8 11 23 E
Baghdad                         Iraq             33 13 59 N  44 22  0 E
Bahrain                         U.A.E.           26 16  1 N  50 37 58 E
Baie-Comeau                     Canada           49  8 24 N  68 10 48 W
Baker                           Montana          46 21  0 N 104 12  0 W
Bakersfield                     California       35 22 30 N 119  1 19 W
Balboa                          Panama            8 55  0 N  79 35 59 W
Baldwin Park                    California       34  4 12 N 117 57 28 W
Bali                            Indonesia         8 45  0 S 115 10  0 E
Baltimore                       Maryland         39 17 25 N  76 36 44 W
Bamberg                         Germany          49 49 58 N  10 49 58 E
Bandar Abbass                   Iran             27 13 33 N  56 22 37 E
Bandar Lengeh                   Iran             26 31 58 N  54 49 30 E
Bandar Seri Begawan             Brunei            4 57  0 N 114 56 12 E
Bandirma                        Turkey           40 18 32 N  27 58 22 E
Banff                           Canada           51 10 47 N 115 32 59 W
Bangalore                       India            13 48  0 N  77 17 59 E
Bangkok                         Thailand         13 49 59 N 100 28 59 E
Bangor                          Maine            44 48 12 N  68 46 18 W
Banjul                          Gambia           13 20  9 N  16 39 35 W
Baraboo                         Wisconsin        43 28 58 N  89 43 58 W
Barcelona                       Spain            41 18  7 N   2  5 31 E
Bar Harbor                      Maine            44 22  1 N  68 13  1 W
Barnesville                     Ohio             40  0 11 N  81 11 30 W
Barranquilla                    Colombia         10 54  0 N  74 46 59 W
Barre                           Vermont          44 11 53 N  72 30  6 W
Barron                          Wisconsin        45 23 59 N  91 50 59 W
Barrow                          Alaska           71 19 58 N 156  0  0 W
Barstow                         California       34 52 58 N 117  2 59 W
Bartlesville                    Oklahoma         36 44 41 N  95 58 36 W
Barton                          Vermont          44 45  0 N  72  4 58 W
Basrah                          Iran             30 34  0 N  47 46 37 E
Batesburg                       South Carolina   33 52 58 N  81 34  1 W
Baton Rouge                     Louisiana        30 26 57 N  91 10 59 W
Battle Creek                    Michigan         42 18 57 N  85 10 48 W
Bay City                        Michigan         43 36  3 N  83 53 15 W
Bayonne                         New Jersey       40 40  0 N  74  7 12 W
Bay St. Louis                   Mississippi      30 19  1 N  89 19 58 W
Baytown                         Texas            29 43  5 N  94 58 36 W
Beach                           North Dakota     46 55  1 N 104  0  0 W
Beatty                          Nevada           36 58  1 N 116 47 59 W
Beaufort                        South Carolina   32 25  1 N  80 40  1 W
Beaumont                        Texas            30  5 20 N  94  6  9 W
Beaverton                       Oregon           45 29 17 N 122 48 25 W
Beaver                          Utah             38 15  0 N 112 40  1 W
Beckley                         West Virginia    37 46 36 N  81 11 23 W
Beijing                         China            39 54 59 N 116 22 59 E
Beirut                          Lebanon          33 52 59 N  35 30  0 E
Beja                            Portugal         38  8 45 N   7 55 19 W
Belem                           Brazil            1 22 59 S  48 28 59 W
Belen                           New Mexico       34 40  1 N 106 45  0 W
Belfast                         Northern Ireland 54 37 48 N   5 52 12 W
Belgrade                        Serbia           44 47 59 N  20 31 59 E
Belize City                     Belize           15 31 59 N  88 17 59 W
Belleville                      Illinois         38 31  1 N  89 58 58 W
Bellevue                        Nebraska         41  8 42 N  95 53 30 W
Bellevue                        Washington       47 37  0 N 122 12  0 W
Bellflower                      California       33 53 24 N 118  8 31 W
Bellingham                      Washington       48 45  1 N 122 28 37 W
Bellows Falls                   Vermont          43  7 59 N  72 27  0 W
Bend                            Oregon           44  4  1 N 121 16 58 W
