N 957 023319.0 +573411       3  10.0   0.0   0        OCL 362               
N 958 023042.5 -025627 12.9  8   2.9   0.9  10   9560 MCG -1-7-19           
N 959 023224.0 +352942 12.9  8   2.3   1.4  65   9665 UGC 2002              
N 960 023141.3 -091801 15.0  8   1.2   0.3 125   9621 MCG -2-7-28           
N 961 024102.2 -065608 13.4  8   1.9   1.4  49  10172 NGC 1051              
N 962 023239.9 +280415 14.0  8   1.4   1.2 175   9682 UGC 2013              
N 963 023031.1 -041256 14.5  8   0.7   0.7   0   9545 IC 1808               
N 964 023105.7 -360205 13.5  8   2.1   0.5  31   9582 IC 1814               
N 965 023225.1 -183825 14.9  8   1.0   0.8  10   9666 ESO 545-32            
N 966 023147.1 -195254 14.3  8   1.0   0.9 112   9626 ESO 545-30            
N 967 023212.8 -171259 13.6  8   1.6   1.0  33   9654 ESO 545-31            
N 968 023406.1 +342850 13.6  8   2.7   1.5  60   9779 UGC 2040              
N 969 023408.0 +325647 13.3  8   1.7   1.0   3   9781 UGC 2039              
N 970 023411.7 +325835 15.7  8   0.7   0.2  55   9786 MCG 5-7-9             
N 971 023415.7 +325917       1   0.0   0.0   0                              
N 972 023413.3 +291837 12.1  8   3.3   1.6 152   9788 UGC 2045              
N 973 023420.1 +323020 13.6  8   3.7   0.5  48   9795 UGC 2048              
N 974 023425.7 +325718 13.6  8   1.7   1.2  63   9802 UGC 2049              
N 975 023322.7 +093607 14.1  8   1.1   0.8   0   9735 UGC 2030              
N 976 023359.9 +205838 13.3  8   1.6   1.3 162   9776 UGC 2042              
N 977 023303.4 -104534 14.4  8   2.0   1.6  26   9713 MCG -2-7-31           
N 978 023447.0 +325042 13.2  8   1.3   1.0  62   9821 NGC 978A              
N 978A023447.0 +325042 13.2  8   1.3   1.0  62   9821 NGC 978               
N 978B023448.1 +325033 15.5  8   0.4   0.2 166   9823 MCG 5-7-17            
N 979 023138.7 -443127 13.8  8   0.9   0.7   0   9614 ESO 246-23            
N 980 023518.5 +405537 14.1  8   1.7   0.9 110   9831 UGC 2063              
N 981 023259.8 -105825 14.7  8   1.0   0.6   5   9710 MCG -2-7-30           
N 982 023524.8 +405210 13.4  8   1.5   0.6 132   9838 UGC 2066              
N 983 023855.7 +343719 14.0  8   1.2   0.9 146  10034 NGC 1002              
N 984 023443.0 +232449 14.5  8   2.0   1.2 120   9819 UGC 2059              
N 985 023437.4 -084706 14.5  8   1.0   0.9  69   9817 MCG -2-7-35           
N 986 023334.1 -390245 11.6  8   4.0   3.2 150   9747 ESO 299-7             
N 986A023242.0 -391743 14.6  8   1.8   0.7  75   9685 MCG -7-6-14A          
N 987 023649.5 +331938 13.4  8   1.6   1.1  39   9911 UGC 2093              
N 988 023527.3 -092118 11.7  8   4.1   1.6 114   9843 MCG -2-7-37           
N 989 023346.0 -163041 15.1  8   0.8   0.7  80   9762 MCG -3-7-34           
N 990 023618.1 +113832 13.5  8   1.8   1.5  42   9890 UGC 2089              
N 991 023532.6 -070918 12.4  8   3.0   2.7  60   9846 MCG -1-7-23           
N 992 023725.5 +210601 14.9  8   0.9   0.7   7   9938 UGC 2103              
N 993 023646.0 +020301 14.7  8   0.9   0.8 110   9910 NGC 994               
N 994 023646.0 +020301 14.7  8   0.9   0.8 110   9910 NGC 993               
N 995 023831.9 +413144 14.5  8   1.3   0.6  35  10008 UGC 2118              
N 996 023839.6 +413850 14.1  8   1.2   1.2   0  10015 UGC 2123              
N 997 023714.4 +071822 14.4  8   1.1   1.1   0   9932 UGC 2102              
N 998 023716.5 +072009 15.6  8   0.8   0.5 177   9934 MCG 1-7-15            
N 999 023847.4 +414016 14.5  8   1.2   0.8  48  10026 UGC 2127              
N1000 023849.7 +412737 15.6  8   0.7   0.7   0  10028 MCG 7-6-48            
N1001 023912.6 +414018 15.6  8   0.7   0.3 132  10050 MCG 7-6-50            
N1002 023855.7 +343719 14.0  8   1.2   0.9 146  10034 NGC 983               
N1003 023916.6 +405222 12.0  8   4.3   1.3  97  10052 UGC 2137              
N1004 023741.7 +015832 13.8  8   1.4   1.2 115   9961 UGC 2112              
N1005 023927.6 +412936 14.8  8   1.0   0.8  65  10062 MCG 7-6-52            
N1006 023734.8 -110131 14.8  8   0.8   0.8   0   9949 NGC 1010              
N1007 023752.2 +020920 16.8  8   0.6   0.2  48   9967 MCG 0-7-59            
N1008 023755.2 +020449 14.9  8   0.8   0.6  85   9970 UGC 2114              
N1009 023818.9 +021836 15.3  8   1.4   0.2 124   9995 UGC 2129              
N1010 023734.8 -110131 14.8  8   0.8   0.8   0   9949 NGC 1006              
N1011 023738.8 -110018 15.2  8   0.6   0.6   0   9955 MCG -2-7-45           
N1012 023914.7 +300905 13.1  8   2.5   1.1  24  10051 UGC 2141              
N1013 023750.4 -113024 14.9  8   0.8   0.6  75   9966 MCG -2-7-46           
N1014 023800.8 -093419       1   0.0   0.0   0                              
N1015 023811.6 -011906 13.1  8   2.0   1.7  16   9988 UGC 2124              
N1016 023819.6 +020709 12.6  8   2.0   2.0   0   9997 UGC 2128              
N1017 023749.9 -110038 15.0  8   0.7   0.6  50   9964 MCG -2-7-47           
N1018 023810.3 -093239 15.7  8   1.0   0.6 170   9986 MCG -2-7-48           
N1019 023827.4 +015429 14.4  8   1.0   0.9  40  10006 UGC 2132              
N1020 023844.3 +021352 15.2  8   0.8   0.2  20  10018 ZWG 388.81            
N1021 023847.9 +021302 15.1  8   0.7   0.5 160  10027 ZWG 388.84            
N1022 023832.5 -064039 12.2  8   2.4   2.2  12  10010 MCG -1-7-25           
N1023 024024.1 +390348 10.5  8   7.4   2.5  87  10123 UGC 2154              
N1023A024036.9 +390337 14.2  8   1.3   0.7  14  10139                       
N1024 023911.8 +105052 13.1  8   3.9   1.5 155  10048 UGC 2142              
N1025 023619.9 -545149 13.9  8   0.9   0.5   6   9891 ESO 154-4             
N1026 023919.2 +063240 13.7  8   1.7   1.3 114  10055 UGC 2145              
N1027 024235.0 +613540       3  15.0   0.0   0        OCL 357               
N1028 023937.1 +105036 15.5  8   0.9   0.3  15  10068 MCG 2-7-23            
N1029 023936.4 +104736 14.1  8   1.4   0.4  70  10078 UGC 2149              
N1030 023950.5 +180126 14.3  8   1.6   0.7   8  10088 UGC 2153              
N1031 023638.6 -545132 13.4  8   1.9   1.1  23   9907 ESO 154-5             
N1032 023923.6 +010538 12.7  8   3.4   1.1  68  10060 UGC 2147              
N1033 024016.1 -084635 14.5  8   1.2   1.0   0  10108 MCG -2-7-53           
N1034 023813.9 -154833 14.6  8   0.8   0.7 142   9991 MCG -3-7-43           
N1035 023929.0 -080757 12.9  8   2.2   0.6 150  10065 MCG -1-7-27           
N1036 024029.0 +191749 13.7  8   1.5   1.1   2  10127 IC 1828               
N1037 023958.3 -014403       0   0.0   0.0   0                              
N1038 024006.3 +013034 14.4  8   1.2   0.4  61  10096 UGC 2158              
N1039 024205.0 +424542       3  25.0   0.0   0                        M  34 
N1040 024312.5 +413001 13.9  8   1.7   0.8  40  10298 NGC 1053-1            
N1040 024312.1 +413054 16.3  8   0.4   0.2  50        NGC 1053-2            
N1041 024025.2 -052624 14.3  8   1.7   1.3  57  10125 MCG -1-7-30           
N1042 024023.9 -082603 11.7  8   4.3   3.6  18  10122 MCG -2-7-54           
