"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"130051","SN 2023jkl","14:02:02.315","+13:13:49.74","SN II","","","","ZTF, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS; ZTF","ZTF23aalwuua","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","SOAR - Goodman","1","1","","18.49","g-ZTF","2023-05-25 07:04:48.000","ZTF_Bot1","","2023TNSTR1230....1F","",""
"129953","SN 2023jgu","14:15:21.090","-02:26:41.38","SN Ia","0.05","","","ANTARES, Fink, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ANTARES; ATLAS; Fink; Pan-STARRS","ZTF23aakawpn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.052","r-ZTF","2023-05-23 08:23:34.080","ANTARES_bot","","2023TNSTR1198....1A","2023TNSCR1250....1F",""
"129854","SN 2023jda","19:47:23.438","+43:51:53.54","SN Ia","0.042862","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS23lbu","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.256","orange-ATLAS","2023-05-22 11:53:19.104","ATLAS_Bot1","","2023TNSTR1184....1T","2023TNSCR1210....1P",""
"129853","SN 2023jcz","15:25:17.721","+45:43:27.21","SN Ia","0.097721","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23lbp","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.818","orange-ATLAS","2023-05-22 09:00:18.144","ATLAS_Bot1","","2023TNSTR1184....1T","2023TNSCR1210....1P",""
"129804","SN 2023jbe","20:10:58.769","-56:42:50.88","SN Ia","0.052","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kzj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.882","cyan-ATLAS","2023-05-21 01:29:34.080","ATLAS_Bot1","","2023TNSTR1174....1T","2023TNSCR1192....1T",""
"129781","SN 2023jah","20:31:09.277","-44:15:44.77","SN Ia-91bg-like","0.03","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kws","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.111","cyan-ATLAS","2023-05-21 03:12:12.672","ATLAS_Bot1","","2023TNSTR1174....1T","2023TNSCR1192....1T",""
"129698","SN 2023ixf","14:03:38.562","+54:18:41.94","SN II","0.000804","M101","","ZTF, Pan-STARRS, YSE","ZTF, Pan-STARRS","None, ZTF","Pan-STARRS; YSE; ZTF","","Other - Other, P48 - ZTF-Cam, PS1 - GPC1","HCT-2m - HFOSC, LT - SPRAT, Other - Other, P60 - SEDM","1","1","","14.9","Clear-","2023-05-19 17:27:15.000","Itagaki","","2023TNSTR1158....1I","2023TNSCR1164....1P, 2023TNSCR1233....1T, 2023TNSCR1231....1B, 2023TNSCR1267....1Y",""
"129691","SN 2023iwy","18:00:18.622","+26:24:32.04","SN","0.02","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF23aakmewi","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","17.65","g-ZTF","2023-05-19 08:23:59.000","ZTF_Bot1","","2023TNSTR1160....1F","2023TNSCR1192....1T",""
"129684","SN 2023iwr","11:33:45.225","-23:38:22.84","SN Ia","0.065","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kuz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.572","cyan-ATLAS","2023-05-16 20:18:04.032","ATLAS_Bot1","","2023TNSTR1156....1T","2023TNSCR1192....1T",""
"129681","SN 2023iwo","15:58:22.793","+17:08:31.29","SN Ia","0.091","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kub","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","ESO-NTT - EFOSC2-NTT","1","1","","18.683","cyan-ATLAS","2023-05-13 09:58:22.656","ATLAS_Bot1","","2023TNSTR1156....1T","2023TNSCR1192....1T",""
"129635","SN 2023iuu","19:36:32.698","-23:56:29.42","SN Ia","0.08","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kpl","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.331","cyan-ATLAS","2023-05-17 00:43:11.136","ATLAS_Bot1","","2023TNSTR1145....1T","2023TNSCR1172....1T",""
"129616","SN 2023iuc","14:38:55.643","+02:17:14.15","SN Ibn","0.0768","","0.076762","ZTF, ATLAS, Pan-STARRS, YSE","ZTF, ATLAS, Pan-STARRS","LiONS, Global SN Project","ATLAS; Pan-STARRS; YSE; ZTF","ZTF23aakfysp","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","Lijiang-2.4m - YFOSC, SOAR - Goodman","1","1","","18.01","g-ZTF","2023-05-18 06:03:46.368","Hinds","","2023TNSTR1152....1H","2023TNSCR1163....1L",""
"129613","SN 2023itz","21:49:33.415","-15:13:12.32","SN Ib","0.022","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23koz","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.055","cyan-ATLAS","2023-05-16 03:36:13.824","ATLAS_Bot1","","2023TNSTR1145....1T","2023TNSCR1162....1H",""
"129564","SN 2023isf","19:31:22.756","-39:46:28.45","SN Ia","0.07","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23koh","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.883","cyan-ATLAS","2023-05-17 00:37:10.848","ATLAS_Bot1","","2023TNSTR1130....1T","2023TNSCR1162....1H",""
"129551","SN 2023irs","21:37:10.127","-20:38:05.96","SN Ia","0.074","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS23knw","ATLAS-STH - ATLAS-03, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","17.934","cyan-ATLAS","2023-05-17 02:33:58.752","ATLAS_Bot1","","2023TNSTR1130....1T","2023TNSCR1178....1M",""
"129550","SN 2023irr","21:13:34.372","-39:52:07.54","SN Ia","0.085","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23knv","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.514","cyan-ATLAS","2023-05-17 01:47:48.768","ATLAS_Bot1","","2023TNSTR1130....1T","2023TNSCR1178....1M",""
"129549","SN 2023irq","22:22:44.906","-15:42:16.65","SN Ia-91T-like","0.06","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23knt","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.202","cyan-ATLAS","2023-05-17 02:45:12.672","ATLAS_Bot1","","2023TNSTR1130....1T","2023TNSCR1192....1T",""
"129548","SN 2023irp","18:26:50.257","+25:23:58.91","SN II","0.015","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aajkfls","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.8","g-ZTF","2023-05-14 09:20:09.600","ZTF_Bot1","","2023TNSTR1134....1F","2023TNSCR1195....1S",""
"129451","SN 2023ioa","15:25:25.234","-18:07:37.31","SN Ia","0.023","","","ATLAS, ZTF, Fink, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ATLAS23klq","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.982","orange-ATLAS","2023-05-15 05:10:52.032","ATLAS_Bot1","","2023TNSTR1103....1T","2023TNSCR1212....1H",""
"129448","SN 2023inx","19:17:13.499","-29:03:33.14","SLSN-II","0.12","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kko","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.18","orange-ATLAS","2023-05-15 08:32:09.024","ATLAS_Bot1","","2023TNSTR1103....1T","2023TNSCR1162....1H",""
"129425","SN 2023inb","15:56:34.834","-31:22:05.84","SN Ia","0.015164","AM 1553-311 NED01","0.015164","ASAS-SN","ASAS-SN","None","ASAS-SN","ASASSN-23dv","ASASSN-3 - Paczynski","FTS - FLOYDS-S","1","1","","16.6","g-Sloan","2023-05-15 07:55:12.000","Stanek","","2023TNSTR1102....1S","2023TNSCR1137....1F",""
"129384","SN 2023ilm","22:22:51.063","-54:55:04.30","SN II","0.035","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kiw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.572","orange-ATLAS","2023-05-13 07:47:28.032","ATLAS_Bot1","","2023TNSTR1093....1T","2023TNSCR1178....1M",""
"129323","SN 2023ijd","12:36:32.470","+11:13:19.71","SN II","0.007446","NGC 4568","0.007446","ASAS-SN, Pan-STARRS, YSE, ZTF, ATLAS","ASAS-SN, Pan-STARRS, ZTF, ATLAS","None","ASAS-SN; ATLAS; Pan-STARRS; YSE; ZTF","ASASSN-23du","ASASSN-2 - Cassius, ASASSN-3 - Paczynski, ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","16.8","g-Sloan","2023-05-14 04:48:00.000","Stanek","","2023TNSTR1092....1S","2023TNSCR1112....1P",""
"129237","SN 2023ifv","16:05:04.253","+23:55:01.46","SN Ia","0.0531","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS23kgp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.068","cyan-ATLAS","2023-05-13 10:05:39.840","ATLAS_Bot1","","2023TNSTR1081....1T","2023TNSCR1165....1F",""
"129197","SN 2023iek","12:32:25.702","+09:44:21.15","SN Ia","0.064","","","YSE, ATLAS, Pan-STARRS","Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS; YSE","PS23dbo","ATLAS-CHL - ATLAS-04, PS1 - GPC1","NOT - ALFOSC","1","1","","18.26","g-P1","2023-05-13 06:10:41.088","YSE_Bot1","","2023TNSTR1084....1J","2023TNSCR1138....1A",""
"129120","SN 2023ibn","19:43:24.016","+51:32:31.13","SN Ia","0.08","","","ALeRCE, ATLAS","ZTF, ATLAS","SCAT","ALeRCE; ATLAS","","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.9","g-Sloan","2023-05-12 09:41:54.240","Ahumada","","2023TNSTR1066....1A","2023TNSCR1234....1D",""
"129074","SN 2023hzu","12:51:29.811","+31:48:50.97","SN Ia","0.0246","SDSS J125129.52+314852.4","0.02448088","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF23aajdtbw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.3854","g-ZTF","2023-05-12 06:47:48.998","ALeRCE","","2023TNSTR1061....1M","2023TNSCR1115....1J",""
"129069","SN 2023hzp","10:56:06.295","+45:11:27.20","SN Ia","0.084007","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23kfs","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.985","cyan-ATLAS","2023-05-12 08:30:52.992","ATLAS_Bot1","","2023TNSTR1062....1T","2023TNSCR1179....1H",""
"129063","SN 2023hzk","15:34:35.915","+30:35:18.11","SN Ia","0.059","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aaixaqp","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.9","r-ZTF","2023-05-12 08:57:07.200","ZTF_Bot1","","2023TNSTR1069....1F","2023TNSCR1074....1F",""
"129061","SN 2023hzi","10:55:06.994","+43:06:41.76","SN Ia","0.07786","","","ATLAS, ALeRCE, YSE","ATLAS, ZTF, Pan-STARRS","ZTF","ALeRCE; ATLAS; Pan-STARRS; YSE","ATLAS23kfp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.652","cyan-ATLAS","2023-05-12 08:25:24.672","ATLAS_Bot1","","2023TNSTR1062....1T","2023TNSCR1221....1F",""
"129058","SN 2023hzf","14:19:50.101","-09:18:00.64","SN Ia","0.052","","","ZTF, Fink","ZTF","SCAT","Fink; ZTF","ZTF23aaiwxqy","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.66","g-ZTF","2023-05-08 08:35:31.200","ZTF_Bot1","","2023TNSTR1069....1F","2023TNSCR1072....1T",""
"129038","SN 2023hym","14:13:35.180","-45:25:44.80","SN Iax[02cx-like]","0.01","ESO271m022","","DLT40, ATLAS","DLT40, ATLAS","ePESSTO+","ATLAS; DLT40","DLT23k","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.7411","Clear-","2023-05-11 06:37:22.944","DLT40_bot1","","2023TNSTR1053....1J","2023TNSCR1162....1H",""
"129032","SN 2023hyg","22:16:34.282","-19:19:40.83","SN Ia","0.065","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kff","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.592","orange-ATLAS","2023-05-09 08:38:00.672","ATLAS_Bot1","","2023TNSTR1052....1T","2023TNSCR1178....1M",""
"129028","SN 2023hyc","12:35:25.662","+45:50:27.18","SN Ia","0.079","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23kfc","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.955","orange-ATLAS","2023-05-08 08:48:54.720","ATLAS_Bot1","","2023TNSTR1052....1T","2023TNSCR1072....1T",""
"129014","SN 2023hxo","11:05:50.214","-09:52:12.53","SN Ia","0.025","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","SCAT","ATLAS; Pan-STARRS","PS23cxc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS1 - GPC1","UH88 - SNIFS","1","1","","18.32","w-P1","2023-05-11 06:10:49.728","PS1_Bot1","","2023TNSTR1057....1C","2023TNSCR1179....1H",""
"128985","SN 2023hwm","11:14:23.312","+53:11:57.92","SN Ia","0.0381","","","Pan-STARRS, ZTF, ATLAS, YSE","Pan-STARRS, ZTF, ATLAS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","PS23cwh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.99","i-P1","2023-05-09 10:01:13.728","PS1_Bot1","","2023TNSTR1045....1C","2023TNSCR1089....1F",""
"128979","SN 2023hwg","16:47:41.584","+09:40:11.63","SN Ia","0.044","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS23kdb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS2 - GPC2","UH88 - SNIFS","1","1","","18.345","orange-ATLAS","2023-05-10 00:39:33.408","ATLAS_Bot1","","2023TNSTR1044....1T","2023TNSCR1071....1T",""
"128964","SN 2023hvr","08:48:18.341","+01:23:09.02","SN Ia","0.066645","SDSS J084818.32+012311.0","0.06664456","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF23aaixqmc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.6521","r-ZTF","2023-05-09 04:06:45.996","ALeRCE","","2023TNSTR1034....1M","2023TNSCR1115....1J",""
"128956","SN 2023hvj","10:03:32.528","+41:37:43.54","SN Ia","0.066","SDSS J100333.15+413740.7","0.06604075","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE; ATLAS; Pan-STARRS","ZTF23aaixylr","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.4611","r-ZTF","2023-05-09 04:21:04.000","ALeRCE","","2023TNSTR1034....1M","2023TNSCR1101....1F",""
"128928","SN 2023hui","17:13:47.592","+70:34:46.83","SN Ia","0.042","","","ATLAS, ZTF, Fink","ATLAS, ZTF","ZTF","ATLAS; Fink; ZTF","ATLAS23kci","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.769","orange-ATLAS","2023-05-08 11:50:21.120","ATLAS_Bot1","","2023TNSTR1036....1T","2023TNSCR1140....1P",""
"128894","SN 2023hta","12:17:18.809","-03:16:18.23","SN Ia","0.067","","","ZTF","ZTF","ZTF","ZTF","ZTF23aaizmza","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.41","r-ZTF","2023-05-09 07:56:38.400","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1074....1F",""
"128892","SN 2023hsy","11:09:46.260","+11:11:33.16","SN Ia","0.03773","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF23aaiyjbk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.1","r-ZTF","2023-05-09 04:35:02.400","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1074....1F",""
"128891","SN 2023hsx","12:05:11.841","-09:39:42.83","SN Ia","0.052373","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aainpnc","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.91","r-ZTF","2023-04-30 06:34:33.600","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1115....1J",""
"128890","SN 2023hsw","11:08:19.961","+10:02:35.02","SN Ia","0.0417","","","ZTF, ATLAS","ZTF, ATLAS","DEbass","ATLAS; ZTF","ZTF21aamwlzd","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","ANU-2.3m - WiFeS","1","1","","18.47","r-ZTF","2023-05-09 04:35:02.400","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1088....1L",""
"128887","SN 2023hst","14:50:56.910","+24:55:11.51","SN Ia","0.0701","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aaiwwgd","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5","g-ZTF","2023-05-09 06:27:21.600","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1040....1F",""
"128886","SN 2023hss","14:05:09.079","+07:53:42.93","SN Ia","0.06","","","ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF23aaizjbj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.45","r-ZTF","2023-05-09 07:32:09.600","ZTF_Bot1","","2023TNSTR1038....1F","2023TNSCR1173....1F",""
"128869","SN 2023hsb","18:59:39.329","+55:22:54.17","SN Ia-91T-like","0.02","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS23kbx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","16.916","orange-ATLAS","2023-05-08 12:43:16.320","ATLAS_Bot1","","2023TNSTR1024....1T","2023TNSCR1072....1T",""
"128859","SN 2023hrr","17:38:32.960","+40:49:16.42","SN Ia","0.046","","","ZTF, ATLAS","ZTF, ATLAS","SCAT","ATLAS; ZTF","ZTF23aaiwunc","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.81","g-ZTF","2023-05-08 10:22:04.800","ZTF_Bot1","","2023TNSTR1028....1F","2023TNSCR1072....1T",""
"128856","SN 2023hro","12:43:46.625","-20:09:29.64","SN Ia","0.0276","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF, DEbass","ATLAS; Pan-STARRS; ZTF","ATLAS23kbn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","ANU-2.3m - WiFeS, P60 - SEDM","1","1","","17.492","orange-ATLAS","2023-05-07 22:52:37.344","ATLAS_Bot1","","2023TNSTR1024....1T","2023TNSCR1060....1F, 2023TNSCR1087....1M",""
"128855","SN 2023hrn","11:08:35.070","+04:48:52.11","SN Ia","0.0231","","","ATLAS, ZTF, Fink","ATLAS, ZTF","UCSC","ATLAS; Fink; ZTF","ATLAS23kbm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","18.43","orange-ATLAS","2023-05-08 02:02:30.912","ATLAS_Bot1","","2023TNSTR1024....1T","2023TNSCR1073....1R",""
"128852","SN 2023hrk","13:47:22.445","+26:23:04.88","SN Ia","0.061262","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS23kbc","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.768","orange-ATLAS","2023-05-07 09:17:39.264","ATLAS_Bot1","","2023TNSTR1021....1T","2023TNSCR1089....1F",""
"128850","SN 2023hri","19:14:23.158","-54:33:49.17","SN Ia","0.017129","","","ATLAS, MASTER","ATLAS, MASTER","MeerLICHT","ATLAS; MASTER","ATLAS23kat","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Other - Other","Other - Other","1","1","","17.617","orange-ATLAS","2023-05-07 06:09:50.112","ATLAS_Bot1","","2023TNSTR1021....1T","2023TNSCR1111....1M",""
"128833","SN 2023hqr","09:02:40.095","+22:13:39.75","SN Ia","0.065","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS23kaq","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.803","orange-ATLAS","2023-05-07 06:16:12.000","ATLAS_Bot1","","2023TNSTR1021....1T","2023TNSCR1089....1F",""
"128803","SN 2023hpp","22:03:52.069","+20:35:02.16","SN II","0.012422","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS23jya","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.844","orange-ATLAS","2023-05-03 14:24:35.424","ATLAS_Bot1","","2023TNSTR1000....1T","2023TNSCR1043....1S",""
"128747","SN 2023hnl","21:42:11.214","-34:09:46.94","SN Ia","0.0176","","","ATLAS","ATLAS","Global SN Project","ATLAS","ATLAS23jvn","ATLAS-STH - ATLAS-03","FTS - FLOYDS-S","1","1","","17.831","orange-ATLAS","2023-05-02 02:43:16.032","ATLAS_Bot1","","2023TNSTR.992....1T","2023TNSCR1017....1G",""
"128704","SN 2023hlu","23:01:15.698","+14:20:38.64","SN II","0.007428","UGC 12308","0.007428","ASAS-SN, ATLAS, MASTER","ASAS-SN, ATLAS, MASTER","None","ASAS-SN; ATLAS; MASTER","ASASSN-23dn","ASASSN-2 - Cassius, ASASSN-4 - Leavitt, ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, Other - Other","Other - Other","1","1","","16","g-Sloan","2023-05-01 09:50:24.000","Stanek","","2023TNSTR.977....1S","2023TNSCR1049....1T",""
"128688","SN 2023hlf","12:26:26.179","+31:13:32.35","SN II","0.0024","NGC 4414","0.00236","ZTF, DLT40","ZTF, DLT40","ZTF","DLT40; ZTF","ZTF23aaitpjv","Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.84","r-ZTF","2023-05-01 05:41:03.840","Karambelkar","","2023TNSTR.983....1K","2023TNSCR.990....1K",""
"128647","SN 2023hjq","13:33:12.759","-16:08:26.06","SN Ia","0.020764","","","ATLAS, ZTF, Pan-STARRS, Fink","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Fink; Pan-STARRS; ZTF","ATLAS23jtz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.725","orange-ATLAS","2023-04-30 20:48:50.400","ATLAS_Bot1","","2023TNSTR.978....1T","2023TNSCR1031....1D",""
"128460","SN 2023hcp","16:48:42.723","+35:56:57.43","SN II","0.031","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","SCAT","Pan-STARRS; ZTF","ZTF23aailjjs","P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","17.9","g-ZTF","2023-04-29 10:39:21.600","ZTF_Bot1","","2023TNSTR.967....1F","2023TNSCR.974....1T",""
"128210","SN 2023gti","22:09:00.156","+06:58:36.59","SN Ia","0.058","","","ATLAS, YSE","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; YSE","ATLAS23jpa","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, PS1 - GPC1","UH88 - SNIFS","1","1","","17.919","cyan-ATLAS","2023-04-25 14:29:36.960","ATLAS_Bot1","","2023TNSTR.912....1T","2023TNSCR.974....1T",""
"128194","SN 2023gss","14:04:23.541","-27:08:58.05","SN II","0.020541","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","Global SN Project","ATLAS; Pan-STARRS; ZTF","ZTF23aahqvtz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","FTS - FLOYDS-S","1","1","","18.88","r-ZTF","2023-04-25 07:03:21.600","ZTF_Bot1","","2023TNSTR.916....1F","2023TNSCR.944....1N",""
"128132","SN 2023gqi","21:29:40.056","-21:11:31.66","SN Ia","0.036","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23jml","ATLAS-CHL - ATLAS-04","UH88 - SNIFS","1","1","","18.755","cyan-ATLAS","2023-04-24 08:48:38.304","ATLAS_Bot1","","2023TNSTR.897....1T","2023TNSCR.974....1T",""
