"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"112133","SN 2022oxx","02:46:32.090","-01:36:37.98","SN Ia-91T-like","0.02","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","SCAT","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS22var","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","17.46","orange-ATLAS","2022-07-17 02:46:56.352","ATLAS_Bot1","","2022TNSTR2006....1T","2022TNSCR2104....1H",""
"112111","SN 2022oxb","17:54:07.649","+37:35:35.35","SN Ia","0.07","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS22uzj","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.733","orange-ATLAS","2022-07-16 09:11:33.792","ATLAS_Bot1","","2022TNSTR1992....1T","2022TNSCR2053....1T",""
"112107","SN 2022owx","14:24:36.230","+04:33:30.49","SN IIn","0.025984","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS22uze","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.322","orange-ATLAS","2022-07-16 07:10:23.232","ATLAS_Bot1","","2022TNSTR1992....1T","2022TNSCR2018....1H",""
"112098","SN 2022owp","13:32:43.740","+00:40:52.07","SN IIn","0.08","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS22uxt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.577","orange-ATLAS","2022-07-16 06:13:35.616","ATLAS_Bot1","","2022TNSTR1992....1T","2022TNSCR2018....1H",""
"112087","SN 2022owe","02:44:48.019","-08:27:08.25","SN Ia","0.03","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; ZTF","ATLAS22tyt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.264","orange-ATLAS","2022-07-13 03:46:22.080","ATLAS_Bot1","","2022TNSTR1992....1T","2022TNSCR2018....1H",""
"112072","SN 2022ovq","02:01:59.930","+21:06:23.44","SN Ia","0.030298","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","SCAT","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS22uxd","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","17.739","orange-ATLAS","2022-07-15 13:21:10.368","ATLAS_Bot1","","2022TNSTR1981....1T","2022TNSCR2018....1H",""
"112064","SN 2022ovi","04:11:58.090","+25:53:03.37","SN Ia","0.049","","","GaiaAlerts, ALeRCE, ATLAS","GaiaAlerts, ZTF, ATLAS","ZTF","ALeRCE; ATLAS; GaiaAlerts","Gaia22cxg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.99","G-Gaia","2022-07-13 16:33:35.000","Gaia_Bot1","","2022TNSTR1982....1H","2022TNSCR2085....1S",""
"112057","SN 2022ovb","22:22:29.550","+36:00:17.86","SN II","0.0183","","","ZTF, ATLAS, Pan-STARRS, YSE, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","TCD","ATLAS; GaiaAlerts; Pan-STARRS; YSE; ZTF","ZTF22aativsd","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","18.4606","r-ZTF","2022-07-14 09:49:22.656","ZTF_CLU_PUBLIC","","2022TNSTR1977....1D","2022TNSCR1986....1D, 2022TNSCR2033....1D",""
"112051","SN 2022ouv","16:30:26.960","+13:38:52.30","SN Ia","0.03","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS22uvo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.766","orange-ATLAS","2022-07-12 08:20:32.640","ATLAS_Bot1","","2022TNSTR1973....1T","2022TNSCR2018....1H",""
"111984","SN 2022osg","20:29:49.030","-02:01:41.16","SN Ia","0.01858","CGCG 373-018","0.018843","ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, DEbass","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS","ZTF22aasycgf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ANU-2.3m - WiFeS, P60 - SEDM","1","1","","18.5036","r-ZTF","2022-07-12 08:26:06.999","ALeRCE","","2022TNSTR1953....1M","2022TNSCR2003....1S, 2022TNSCR2000....1L",""
